pathway	category
Hemostasis	Hemostasis
Adaptive Immune System	Immune System
Disease	Disease
Complement cascade	Immune System
Initial triggering of complement	Immune System
Creation of C4 and C2 activators	Immune System
Innate Immune System	Immune System
Immune System	Immune System
Classical antibody-mediated complement activation	Immune System
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	Immune System
Cell surface interactions at the vascular wall	Hemostasis
Fcgamma receptor (FCGR) dependent phagocytosis	Immune System
FCGR activation	Immune System
Regulation of actin dynamics for phagocytic cup formation	Immune System
Role of phospholipids in phagocytosis	Immune System
Scavenging of heme from plasma	Vesicle-mediated transport
Binding and Uptake of Ligands by Scavenger Receptors	Vesicle-mediated transport
Fc epsilon receptor (FCERI) signaling	Immune System
Role of LAT2/NTAL/LAB on calcium mobilization	Immune System
FCERI mediated MAPK activation	Immune System
FCERI mediated Ca+2 mobilization	Immune System
FCERI mediated NF-kB activation	Immune System
Vesicle-mediated transport	Vesicle-mediated transport
Infectious disease	Disease
CD22 mediated BCR regulation	Immune System
Leishmania infection	Disease
Anti-inflammatory response favouring Leishmania parasite infection	Disease
FCGR3A-mediated IL10 synthesis	Disease
Parasite infection	Disease
Leishmania phagocytosis	Disease
FCGR3A-mediated phagocytosis	Disease
Leishmania parasite growth and survival	Disease
Potential therapeutics for SARS	Disease
SARS-CoV Infections	Disease
Regulation of Complement cascade	Immune System
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	Immune System
Signaling by the B Cell Receptor (BCR)	Immune System
Signal Transduction	Signal Transduction
Signaling by Rho GTPases	Signal Transduction
RHO GTPase cycle	Signal Transduction
RHOC GTPase cycle	Signal Transduction
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	Signal Transduction
TCR signaling	Immune System
Downstream TCR signaling	Immune System
Phosphorylation of CD3 and TCR zeta chains	Immune System
Translocation of ZAP-70 to Immunological synapse	Immune System
Generation of second messenger molecules	Immune System
Costimulation by the CD28 family	Immune System
PD-1 signaling	Immune System
Developmental Biology	Developmental Biology
Keratinization	Developmental Biology
Formation of the cornified envelope	Developmental Biology
Organelle biogenesis and maintenance	Organelle biogenesis and maintenance
Cilium Assembly	Organelle biogenesis and maintenance
Intraflagellar transport	Organelle biogenesis and maintenance
Metabolism of proteins	Metabolism of proteins
Post-translational protein modification	Metabolism of proteins
Protein ubiquitination	Metabolism of proteins
E3 ubiquitin ligases ubiquitinate target proteins	Metabolism of proteins
Generic Transcription Pathway	Gene expression (Transcription)
