Abbre	Gene
KSHV	K12C11.1
KSHV	ctbp-1
KSHV	sem-5
KSHV	ncbp-1
KSHV	math-33
KSHV	cul-5
KSHV	cul-3
KSHV	cul-1
KSHV	cgp-1
KSHV	prp-4
KSHV	prp-3
KSHV	snap-29
KSHV	cdk-5
KSHV	ral-1
KSHV	zer-1
KSHV	phb-2
KSHV	drp-1
KSHV	cpsf-3
KSHV	rbd-1
KSHV	ift-81
KSHV	aap-1
KSHV	cnt-1
KSHV	dnj-20
KSHV	W06B4.2
KSHV	atad-3
KSHV	cand-1
KSHV	rme-8
KSHV	pgam-5
KSHV	C14B9.2
KSHV	kin-18
KSHV	unc-23
KSHV	dut-1
KSHV	Y48G1C.12
KSHV	pro-1
KSHV	eri-1
KSHV	nex-2
KSHV	xpa-1
KSHV	gsp-1
KSHV	gos-28
KSHV	sec-10
KSHV	cdc-37
KSHV	tsr-1
KSHV	gop-3
KSHV	sec-3
KSHV	vang-1
KSHV	src-1
KSHV	cdk-9
KSHV	ogdh-1
KSHV	rskn-1
KSHV	isw-1
KSHV	hda-3
KSHV	paa-1
KSHV	obr-3
KSHV	gsp-2
KSHV	pdha-1
