Abbre	Gene
EBV	GC
EBV	RpL28
EBV	RpS5a
EBV	RhoGDI
EBV	mle
EBV	CG31999
EBV	Fs(2)Ket
EBV	alph
EBV	Prosalpha6T
EBV	Prosbeta3
EBV	Prosbeta7
EBV	Prosbeta2
EBV	Rpt1
EBV	CG31650
EBV	Upf1
EBV	RpA-70
EBV	La
EBV	emb
EBV	p115
EBV	AIF
EBV	Acsl
EBV	faf
EBV	Sec22
EBV	Ost48
EBV	gem
EBV	csul
EBV	Nedd8
EBV	RpII15
EBV	Tapdelta
EBV	TSG101
EBV	Prp8
EBV	Imp
EBV	CG4538
EBV	rept
EBV	CG5382
EBV	epsilonCOP
EBV	Slh
EBV	CG6230
EBV	l(3)72Ab
EBV	Ranbp9
EBV	Surf4
EBV	Sac1
EBV	SrpRbeta
EBV	CG10077
EBV	yata
EBV	Roe1
EBV	Pis
EBV	CG14767
EBV	PICK1
EBV	Tudor-SN
EBV	hyd
EBV	CG3061
EBV	CG6550
EBV	asrij
EBV	Kr-h2
EBV	Cand1
EBV	CG5027
EBV	Mgstl
EBV	CG13604
EBV	RhoGAP68F
EBV	Mmp1
EBV	kcc
EBV	Art1
EBV	ALiX
EBV	Ranbp16
EBV	mys
EBV	P32
EBV	CG7945
EBV	SF2
EBV	Myo61F
EBV	CG31475
EBV	CG32850
EBV	bsf
EBV	mfas
EBV	TfIIEbeta
EBV	Pka-R1
EBV	garz
EBV	S6kII
EBV	Hrs
EBV	TfIIEalpha
EBV	Sec61beta
EBV	Tes
EBV	CG9853
EBV	mRpS14
EBV	Nup205
EBV	emp
EBV	MSBP
EBV	heph
EBV	Rab5
EBV	CycA
EBV	Prosbeta5
EBV	Set
EBV	ClC-b
EBV	mRpS22
EBV	ttm50
EBV	Tpr2
EBV	bur
EBV	CG1275
EBV	mtSSB
EBV	Syx13
EBV	Rpt4
EBV	SRPK
EBV	RpS13
EBV	Ubi-p63E
EBV	RpS25
EBV	Ubqn
