Abbre	Gene
HCMV	Faa
HCMV	l(3)02640
HCMV	CG13397
HCMV	Ocrl
HCMV	Aprt
HCMV	gig
HCMV	CG8199
HCMV	RpII140
HCMV	svr
HCMV	Nop60B
HCMV	Acph-1
HCMV	arm
HCMV	CG7834
HCMV	CG17565
HCMV	drk
HCMV	Cbp80
HCMV	RpII33
HCMV	Rpb5
HCMV	Rpb7
HCMV	alph
HCMV	Prosbeta7
HCMV	CG31650
HCMV	RpA-70
HCMV	Ndae1
HCMV	loqs
HCMV	ds
HCMV	Sply
HCMV	Fen1
HCMV	CSN1b
HCMV	pch2
HCMV	MED20
HCMV	DhpD
HCMV	CG11034
HCMV	Txl
HCMV	CG10333
HCMV	MED23
HCMV	ebi
HCMV	Arp2
HCMV	Uch
HCMV	CG10576
HCMV	RpII15
HCMV	Atg7
HCMV	CG8963
HCMV	Imp
HCMV	CG4538
HCMV	rept
HCMV	cm
HCMV	und
HCMV	nclb
HCMV	Fic
HCMV	CG5220
HCMV	atms
HCMV	RluA-2
HCMV	CG6388
HCMV	Slh
HCMV	CG6230
HCMV	CG15014
HCMV	CG3909
HCMV	Prp31
HCMV	Nmd3
HCMV	Sac1
HCMV	CG12004
HCMV	Rs1
HCMV	AcCoAS
HCMV	CG2656
HCMV	Rat1
HCMV	Roe1
HCMV	nop5
HCMV	Bruce
HCMV	CG14767
HCMV	CG31368
HCMV	bigmax
HCMV	Ube3a
HCMV	l(1)G0007
HCMV	mRpL18
HCMV	CG6693
HCMV	CG8209
HCMV	hyd
HCMV	CG6179
HCMV	mRpS7
HCMV	Der-2
HCMV	isopeptidase-T-3
HCMV	CG11710
HCMV	CG1161
HCMV	Csp
HCMV	FucT6
HCMV	CG6962
HCMV	CG6550
HCMV	asrij
HCMV	Atg2
HCMV	mib1
HCMV	CG9062
HCMV	mRpS35
HCMV	mRpS25
HCMV	pasha
HCMV	mRpL38
HCMV	Der-1
HCMV	CG8111
HCMV	Edem2
HCMV	Ppat-Dpck
HCMV	CG10347
HCMV	CG4789
HCMV	Oscillin
HCMV	robl
HCMV	mRpL9
HCMV	CG30291
HCMV	CG4332
HCMV	ft
HCMV	CG1316
HCMV	CG3744
HCMV	Ublcp1
HCMV	Ncc69
HCMV	Dhc93AB
HCMV	Pi3K68D
HCMV	RhoGAP68F
HCMV	kcc
HCMV	TM9SF4
HCMV	CG2691
HCMV	Rab30
HCMV	CG10376
HCMV	Ranbp16
HCMV	CG8170
HCMV	P32
HCMV	CG7945
HCMV	Su(z)12
HCMV	Nup160
HCMV	mRpS9
HCMV	nrv3
HCMV	TfIIEbeta
HCMV	CG8507
HCMV	Pglym78
HCMV	mts
HCMV	S6kII
HCMV	cyp33
HCMV	Hsc70-5
HCMV	Cpsf160
HCMV	Gcn2
HCMV	CG10375
HCMV	CG32409
HCMV	CG9853
HCMV	CG32576
HCMV	Rab10
HCMV	CG12975
HCMV	CG4679
HCMV	CG17593
HCMV	rumi
HCMV	CG12321
HCMV	Spase22-23
HCMV	Mat89Ba
HCMV	CG9286
HCMV	cl
HCMV	CG2698
HCMV	Cap-G
HCMV	aralar1
HCMV	ome
HCMV	CG14621
HCMV	Cdk8
HCMV	Cdk9
HCMV	Pkc53E
HCMV	Set
HCMV	gek
HCMV	Ciao1
HCMV	CSN5
HCMV	ClC-b
HCMV	Bx42
HCMV	Ced-12
HCMV	mRpS22
HCMV	shrb
HCMV	Tpr2
HCMV	gammaTub23C
HCMV	CG8745
HCMV	CG5276
HCMV	mRpL13
HCMV	Rpt4
HCMV	CG18815
HCMV	CG4666
HCMV	CkIalpha
HCMV	Syx6
HCMV	CG33172
HCMV	CG30491
HCMV	Act79B
HCMV	Ubi-p63E
HCMV	Rpb10
HCMV	Atg8a
