Abbre	Gene
HCV	CG3999
HCV	Mtp
HCV	Mfe2
HCV	GC
HCV	Cpr
HCV	mle
HCV	Fib
HCV	arm
HCV	CG7834
HCV	CG31999
HCV	drk
HCV	Fs(2)Ket
HCV	l(2)37Cc
HCV	Prosbeta7
HCV	Srp19
HCV	La
HCV	LBR
HCV	emb
HCV	Atg6
HCV	Pabp2
HCV	Ddx1
HCV	Ost48
HCV	Cortactin
HCV	glu
HCV	ergic53
HCV	Tapdelta
HCV	TSG101
HCV	SMC1
HCV	CG8963
HCV	CG6512
HCV	wbl
HCV	dre4
HCV	Ak6
HCV	Ranbp9
HCV	Surf4
HCV	Sac1
HCV	SrpRbeta
HCV	waw
HCV	CG10077
HCV	Rat1
HCV	CG9246
HCV	Pis
HCV	PICK1
HCV	CG3226
HCV	hyd
HCV	Der-2
HCV	mRpS16
HCV	mRpS18C
HCV	Kr-h2
HCV	CG5027
HCV	CG10470
HCV	mRpL38
HCV	CG8111
HCV	CG9630
HCV	CG9213
HCV	Fancd2
HCV	CG3652
HCV	Tsp96F
HCV	crq
HCV	TM9SF4
HCV	mys
HCV	CG5745
HCV	Zir
HCV	CG5641
HCV	P32
HCV	CG14805
HCV	nrv3
HCV	Sec61beta
HCV	Hsc70-5
HCV	CG10375
HCV	CG9853
HCV	Cyt-b5
HCV	Tom20
HCV	MSBP
HCV	FANCI
HCV	gek
HCV	Smox
HCV	pug
HCV	mRpL22
HCV	wds
HCV	mats
HCV	Tpr2
HCV	Ranbp21
HCV	ema
HCV	mtSSB
HCV	SmD1
HCV	CkIalpha
HCV	Ubqn
