Abbre	Gene
KSHV	spel1
KSHV	RpII140
KSHV	Fib
KSHV	Btk29A
KSHV	drk
KSHV	Cbp80
KSHV	RpII33
KSHV	Rpb5
KSHV	Rpb7
KSHV	CG31650
KSHV	RpA-70
KSHV	mor
KSHV	Pmi
KSHV	Sply
KSHV	Dgp-1
KSHV	faf
KSHV	HERC2
KSHV	VhaAC39-1
KSHV	U4-U6-60K
KSHV	ergic53
KSHV	gem
KSHV	csul
KSHV	RpII15
KSHV	TSG101
KSHV	CG11779
KSHV	Jafrac2
KSHV	CG8963
KSHV	Sgt1
KSHV	CG5220
KSHV	CG7414
KSHV	CG14544
KSHV	Sac1
KSHV	Drp1
KSHV	CG2656
KSHV	CG5793
KSHV	Roc1a
KSHV	eIF6
KSHV	Ppt1
KSHV	mRpS33
KSHV	Tudor-SN
KSHV	FucT6
KSHV	Cand1
KSHV	CG9135
KSHV	CG10914
KSHV	CG30291
KSHV	CG42672
KSHV	beg
KSHV	Art1
KSHV	Ranbp16
KSHV	Art3
KSHV	CG7945
KSHV	CG14805
KSHV	nrv3
KSHV	S6kII
KSHV	cyp33
KSHV	Rpp30
KSHV	smt3
KSHV	Hsc70-5
KSHV	l(2)37Cd
KSHV	CG7849
KSHV	CG32576
KSHV	CG5828
KSHV	CG31935
KSHV	lin-28
KSHV	Cdk9
KSHV	Iswi
KSHV	Ciao1
KSHV	CSN5
KSHV	mRpS24
KSHV	Tpr2
KSHV	CG42668
KSHV	HtrA2
KSHV	Vha68-1
KSHV	Ubi-p63E
KSHV	Rpb10
