Abbre	Gene
LCMV	CG7430
LCMV	RpL28
LCMV	RpS5a
LCMV	mle
LCMV	Clc
LCMV	Cbp80
LCMV	l(2)37Cc
LCMV	Rpt1
LCMV	RpA-70
LCMV	mRpL12
LCMV	mor
LCMV	U2A
LCMV	beta-Spec
LCMV	La
LCMV	AIF
LCMV	CG4849
LCMV	Lon
LCMV	CG10333
LCMV	Ddx1
LCMV	Prp8
LCMV	Imp
LCMV	rept
LCMV	Prx3
LCMV	CG6227
LCMV	l(3)72Ab
LCMV	mRpL11
LCMV	CG10077
LCMV	Myo95E
LCMV	Alg-2
LCMV	abs
LCMV	mRpL37
LCMV	CG9346
LCMV	CG5641
LCMV	SF2
LCMV	Myo61F
LCMV	RpS20
LCMV	pAbp
LCMV	Hsc70-5
LCMV	CG5913
LCMV	Prosbeta5
LCMV	Set
LCMV	ttm50
LCMV	RpL38
LCMV	SmD1
LCMV	U2af50
LCMV	RpS13
LCMV	RpS25
