Abbre	Gene
ZIKV	Msh6
ZIKV	RpL28
ZIKV	RpS5a
ZIKV	Nop60B
ZIKV	Fs(2)Ket
ZIKV	stc
ZIKV	l(2)37Cc
ZIKV	CG31650
ZIKV	Gnf1
ZIKV	Top1
ZIKV	Pmi
ZIKV	AIF
ZIKV	faf
ZIKV	Ost48
ZIKV	glu
ZIKV	CG7488
ZIKV	Nop56
ZIKV	SMC2
ZIKV	CG5382
ZIKV	CG5589
ZIKV	dbe
ZIKV	atms
ZIKV	CG11679
ZIKV	Ranbp9
ZIKV	CG7414
ZIKV	l(2)34Fd
ZIKV	Mys45A
ZIKV	Surf4
ZIKV	CG4866
ZIKV	CG14544
ZIKV	Sac1
ZIKV	CG8611
ZIKV	kz
ZIKV	l(2)09851
ZIKV	mRpL11
ZIKV	Roc1a
ZIKV	CG11837
ZIKV	CG7728
ZIKV	Pis
ZIKV	CG31368
ZIKV	mRpS33
ZIKV	Mhcl
ZIKV	ECSIT
ZIKV	l(1)G0007
ZIKV	mRpL18
ZIKV	mRpL19
ZIKV	CG6693
ZIKV	CG5989
ZIKV	CG12320
ZIKV	mRpS7
ZIKV	mtTFB1
ZIKV	Der-2
ZIKV	mRpS16
ZIKV	CG11710
ZIKV	mRpL37
ZIKV	140up
ZIKV	mRpS30
ZIKV	FucT6
ZIKV	mRpL39
ZIKV	CG6962
ZIKV	Kr-h2
ZIKV	sno
ZIKV	CG11583
ZIKV	Cand1
ZIKV	CG5027
ZIKV	CG10470
ZIKV	CG10914
ZIKV	mRpS35
ZIKV	mRpS25
ZIKV	CG13126
ZIKV	mRpL44
ZIKV	mRpL38
ZIKV	hyx
ZIKV	CG9630
ZIKV	mRpL24
ZIKV	mRpL9
ZIKV	Spf45
ZIKV	CG9346
ZIKV	Rab35
ZIKV	Art1
ZIKV	TM9SF4
ZIKV	CG2691
ZIKV	CG10417
ZIKV	mRpL3
ZIKV	Nup133
ZIKV	Nup160
ZIKV	mRpL17
ZIKV	mRpS9
ZIKV	mRpL45
ZIKV	mRpS5
ZIKV	RpS20
ZIKV	nrv3
ZIKV	mtRNApol
ZIKV	CG7650
ZIKV	Sec61beta
ZIKV	Tim9a
ZIKV	Cpsf160
ZIKV	wcd
ZIKV	mRpS23
ZIKV	CG32576
ZIKV	CG4679
ZIKV	CG17593
ZIKV	mRpS14
ZIKV	Mat89Ba
ZIKV	mRpL10
ZIKV	SMSr
ZIKV	CG17652
ZIKV	CG2698
ZIKV	Wdr82
ZIKV	CG11030
ZIKV	Nup205
ZIKV	aralar1
ZIKV	MSBP
ZIKV	Set
ZIKV	gek
ZIKV	mRpL22
ZIKV	CG7006
ZIKV	CG13601
ZIKV	mRpS22
ZIKV	ttm50
ZIKV	mRpL2
ZIKV	CG5276
ZIKV	RpL38
ZIKV	mRpL13
ZIKV	SRPK
ZIKV	Atpalpha
ZIKV	Syx6
ZIKV	RpS13
ZIKV	RpS25
