Abbre	Gene
DENV-2	GLYR1
DENV-2	CEP63
DENV-2	SART3
DENV-2	GOLGA6L10
DENV-2	ALG10
DENV-2	ERLIN2
DENV-2	AQR
DENV-2	EARS2
DENV-2	SAMM50
DENV-2	GOLT1B
DENV-2	RRP1B
DENV-2	BUB3
DENV-2	CEP250
DENV-2	GDAP1
DENV-2	RPL12
DENV-2	HLA-B
DENV-2	PSMC1
DENV-2	GCN1
DENV-2	FAF2
DENV-2	EXTL2
DENV-2	ARF1
DENV-2	GTF3C5
DENV-2	TMEM245
DENV-2	YTHDC2
DENV-2	KPNA2
DENV-2	NF1
DENV-2	GBF1
DENV-2	SAAL1
DENV-2	SSR4
DENV-2	AKR7A3
DENV-2	ERC1
DENV-2	RPS21
DENV-2	MRPS26
DENV-2	FAR1
DENV-2	RRP15
DENV-2	AKAP1
DENV-2	APOB
DENV-2	EMG1
DENV-2	TMEM115
DENV-2	RSL1D1
DENV-2	ESYT2
DENV-2	ERGIC1
DENV-2	EWSR1
DENV-2	BCLAF1
DENV-2	SCLT1
DENV-2	YIF1B
DENV-2	TMPO
DENV-2	VTI1B
DENV-2	HM13
DENV-2	GOLGB1
DENV-2	EMILIN1
DENV-2	RAI14
DENV-2	CIP2A
DENV-2	VPS26C
DENV-2	VKORC1L1
DENV-2	SEC16A
DENV-2	ESF1
DENV-2	ETFA
DENV-2	VAC14
DENV-2	RNASET2
DENV-2	EXOSC7
DENV-2	AIFM1
DENV-2	SAE1
DENV-2	FAM3C
DENV-2	WWC1
DENV-2	SLC25A13
DENV-2	FANCI
DENV-2	TNFRSF10B
DENV-2	DYNC1H1
DENV-2	COPG2
DENV-2	HACD3
DENV-2	AKAP9
DENV-2	PSME3
DENV-2	RPP14
DENV-2	GOLGA8O
DENV-2	XPO7
DENV-2	GCDH
DENV-2	MRPL12
DENV-2	HADHA
DENV-2	TUBAL3
DENV-2	RRP1
DENV-2	SH3GLB1
DENV-2	SEL1L
DENV-2	RASEF
DENV-2	RBM27
DENV-2	CCDC66
DENV-2	ALDH3A2
DENV-2	MRPS27
DENV-2	FAM210A
DENV-2	LAMB1
DENV-2	RPL24
DENV-2	CCDC167
DENV-2	FLNA
DENV-2	XRN2
DENV-2	LPCAT1
DENV-2	LEO1
DENV-2	G6PC3
DENV-2	NUBP2
DENV-2	BAZ1A
DENV-2	ESYT1
DENV-2	GPR89B
DENV-2	FIS1
DENV-2	BCS1L
DENV-2	IMMT
DENV-2	EI24
DENV-2	CCDC124
DENV-2	RARS2
DENV-2	CTNND1
DENV-2	USE1
DENV-2	GGA1
DENV-2	SRBD1
DENV-2	GPAT4
DENV-2	XRCC6
DENV-2	GALNT2
DENV-2	DAP3
DENV-2	EXOSC3
DENV-2	FKBP8
DENV-2	ANKS1B
DENV-2	AGPAT5
DENV-2	AGGF1
DENV-2	SCAMP3
DENV-2	WRNIP1
DENV-2	ANKRD12
DENV-2	HAUS6
DENV-2	NCAPG2
DENV-2	ATP2A1
DENV-2	SDCCAG8
DENV-2	BRAT1
DENV-2	RCC2
DENV-2	SFXN1
DENV-2	BNIP1
DENV-2	TOMM40
DENV-2	TOP1
DENV-2	TUBA1B
DENV-2	SLC25A11
DENV-2	FUNDC2
DENV-2	SLC3A2
DENV-2	ATXN2
DENV-2	CHCHD6
DENV-2	NPM1
DENV-2	ERLEC1
DENV-2	GADD45GIP1
DENV-2	VAPA
DENV-2	DAD1
DENV-2	WFS1
DENV-2	BRIX1
DENV-2	FAM184A
DENV-2	VPS37A
DENV-2	TM9SF3
DENV-2	CCT4
DENV-2	TMED9
DENV-2	KLHL22
DENV-2	PSME2
DENV-2	POM121C
DENV-2	TMEM43
DENV-2	ALG1
DENV-2	BMS1
DENV-2	ARF4
DENV-2	ILVBL
DENV-2	ZC3HAV1
DENV-2	TMED10
DENV-2	ZC3H4
DENV-2	ZC3H8
DENV-2	LARP7
DENV-2	ATP1A1
DENV-2	APOA1
DENV-2	EML2
DENV-2	FUCA2
DENV-2	ATP5F1C
DENV-2	GRWD1
DENV-2	RUVBL1
DENV-2	GOLGA2
DENV-2	RPS27L
DENV-2	ANKRD50
DENV-2	RFC4
DENV-2	UBE3A
DENV-2	NDUFA5
DENV-2	UFL1
DENV-2	DHX57
DENV-2	UQCRH
DENV-2	RMDN3
DENV-2	EMD
DENV-2	MRPS25
DENV-2	TNPO1
DENV-2	SEC61G
DENV-2	PA2G4
DENV-2	MRPS35
DENV-2	MRPS9
DENV-2	MRPS7
DENV-2	MSI1
DENV-2	HAX1
DENV-2	SEC61A1
DENV-2	HLA-A
DENV-2	HNRNPF
DENV-2	YIPF2
DENV-2	HSD17B12
DENV-2	GC
DENV-2	WDR6
DENV-2	ABCC4
DENV-2	FAM120A
DENV-2	CAT
DENV-2	ANAPC5
DENV-2	ANP32A
DENV-2	FASN
DENV-2	ANP32B
DENV-2	NAP1L4
DENV-2	ZNF507
DENV-2	CCDC88C
DENV-2	CCNK
DENV-2	AMER1
DENV-2	PRKRA
DENV-2	AGK
DENV-2	RFC2
DENV-2	CAMTA2
DENV-2	RFC1
DENV-2	MTMR14
DENV-2	ACTB
DENV-2	NDUFS5
DENV-2	G3BP1
DENV-2	HSPB1
DENV-2	NDUFS3
DENV-2	NOMO1
DENV-2	NTPCR
DENV-2	RPF2
DENV-2	SSR3
DENV-2	CAMK2B
DENV-2	FIGNL1
DENV-2	RPS2
DENV-2	RPS25
DENV-2	ACAD11
DENV-2	TIMM8B
DENV-2	RPS27
DENV-2	PDS5A
DENV-2	KPNA3
DENV-2	PHB
DENV-2	SFI1
DENV-2	HSP90AB1
DENV-2	SFXN4
DENV-2	SLC16A1
DENV-2	GRSF1
DENV-2	CYC1
DENV-2	IPO7
DENV-2	IVNS1ABP
DENV-2	JAK1
DENV-2	KPNB1
DENV-2	ATG9A
DENV-2	LMBR1
DENV-2	ATP1B3
DENV-2	PSMC6
DENV-2	FRG1
DENV-2	FN1
