Abbre	Gene
EBOV	MRPS18B
EBOV	CHD4
EBOV	HNRNPA1L2
EBOV	RPN2
EBOV	DNAJC9
EBOV	MRPL43
EBOV	HNRNPA2B1
EBOV	CCT7
EBOV	MRPS14
EBOV	RCN2
EBOV	HNRNPA1
EBOV	ATXN2L
EBOV	RPS27A
EBOV	TIMM13
EBOV	TUBB
EBOV	RPLP1
EBOV	MRPL4
EBOV	MRPS17
EBOV	RPLP0
EBOV	HNRNPH3
EBOV	ADAR
EBOV	REXO5
EBOV	TRIM28
EBOV	HNRNPAB
EBOV	RO60
EBOV	H2BU1
EBOV	H2BC9
EBOV	EDC4
EBOV	DYNLL2
EBOV	PPAN
EBOV	BORCS5
EBOV	PGRMC1
EBOV	POM121
EBOV	RPS3
EBOV	TUFM
EBOV	ADNP
EBOV	H2AW
EBOV	RCC2
EBOV	TMX1
EBOV	DDB1
EBOV	COX5B
EBOV	C8orf33
EBOV	EEF1A2
EBOV	H2BC11
EBOV	GTF3C1
EBOV	H1-0
EBOV	GTPBP4
EBOV	SEC24C
EBOV	EMD
EBOV	TP53
EBOV	PARP10
EBOV	MRPS11
EBOV	KMT2A
EBOV	HNRNPUL1
EBOV	DNAJA1
EBOV	VDAC2
EBOV	CCAR2
EBOV	PHGDH
EBOV	UQCRH
EBOV	POM121C
EBOV	HNRNPF
EBOV	BAG2
EBOV	TCP1
EBOV	TCERG1
EBOV	ABT1
EBOV	H2AC7
EBOV	PRKDC
EBOV	CGGBP1
EBOV	MRPS10
EBOV	CD3EAP
EBOV	CCT5
EBOV	SPTLC1
EBOV	KLHL7
EBOV	HNRNPH2
EBOV	RPS27
EBOV	RPS27L
EBOV	DYNLL1
EBOV	RPN1
EBOV	RPS15
EBOV	GRN
EBOV	H2BC5
EBOV	CAD
EBOV	LARP1
EBOV	KPNA1
EBOV	TIMM8A
EBOV	AIFM1
EBOV	H2AC12
EBOV	H2AC14
EBOV	TMED10
EBOV	PON2
EBOV	SSR4
EBOV	RIF1
EBOV	DHX9
EBOV	H2BC3
EBOV	USP9X
EBOV	H2BC1
EBOV	BAZ1B
EBOV	RPL12
EBOV	MYBBP1A
EBOV	BLOC1S1
EBOV	PCNA
EBOV	CPSF3
EBOV	RAB11B
EBOV	RPL39
EBOV	DDX54
EBOV	XRN2
EBOV	S100P
EBOV	H2BC15
EBOV	RBBP4
EBOV	BSG
EBOV	MRM3
EBOV	MYO5A
EBOV	SMARCE1
EBOV	EXOSC10
EBOV	HNRNPH1
EBOV	GATAD2A
EBOV	NEDD4
EBOV	CANX
EBOV	DDX24
EBOV	H2BS1
EBOV	TIMM8B
EBOV	GRSF1
EBOV	GTF3C3
EBOV	WTAP
EBOV	LGALS8
EBOV	CPSF1
EBOV	SMARCC2
EBOV	PHB2
EBOV	GTF3C5
EBOV	NAT10
EBOV	MYEF2
EBOV	REEP5
EBOV	WDR33
EBOV	RAB7A
EBOV	SNRPC
EBOV	SAFB
EBOV	SLC25A3
EBOV	POP1
EBOV	NFATC3
EBOV	MYO5C
EBOV	C7orf50
EBOV	BORCS7
EBOV	FAM120A
EBOV	RFC4
EBOV	DDX18
EBOV	MATR3
EBOV	AP1M1
EBOV	H2BC18
EBOV	H2BC21
EBOV	LMNB1
EBOV	GNL2
EBOV	LYZ
EBOV	HNRNPU
EBOV	HSPA1A
EBOV	H3-5
EBOV	RRP1B
EBOV	RPS17
EBOV	FAF2
EBOV	FUS
EBOV	RBBP7
EBOV	H2AJ
EBOV	GNL3
EBOV	RBM4
EBOV	RBMX
EBOV	FUT8
EBOV	PDCD2
EBOV	ZC3H18
EBOV	PHB
EBOV	PRKCSH
EBOV	SPOP
EBOV	RBM8A
EBOV	KPNA5
EBOV	H2AC6
EBOV	RPL22
EBOV	SRSF10
EBOV	SLC1A5
EBOV	EXOSC6
EBOV	NEFH
EBOV	HSP90AB1
EBOV	PTBP1
EBOV	SLC3A2
EBOV	RBM34
EBOV	BYSL
EBOV	CDC5L
EBOV	GADD45GIP1
EBOV	YME1L1
EBOV	GART
EBOV	FIP1L1
EBOV	H2AC20
EBOV	SAFB2
EBOV	IKBKE
EBOV	MBD3
EBOV	H2BC12
EBOV	ATXN10
EBOV	PNN
EBOV	EXOSC1
EBOV	HSPA8
EBOV	RPS20
EBOV	SLC25A5
EBOV	SRPRB
EBOV	REEP6
EBOV	PSEN2
EBOV	FTSJ3
EBOV	OLA1
EBOV	TBL2
EBOV	DLAT
EBOV	HNRNPL
EBOV	ZC3H4
EBOV	SMARCA4
EBOV	C17orf49
EBOV	PTCD3
EBOV	SSR3
EBOV	CPSF2
EBOV	H2BC17
EBOV	SDF2L1
EBOV	TSR1
EBOV	H1-4
EBOV	CLGN
EBOV	KPNA6
EBOV	PIP
EBOV	HNRNPK
EBOV	YTHDC1
EBOV	EEF1A1
EBOV	H2BC13
EBOV	CALM1
EBOV	MRPS21
EBOV	ILF3
EBOV	NCL
EBOV	MAP7D1
EBOV	TRMT1L
EBOV	RRP9
EBOV	SART3
EBOV	MRPS35
EBOV	NPM3
EBOV	HAX1
EBOV	IARS1
EBOV	NPC1
EBOV	MRPS22
EBOV	NCOA5
EBOV	RNPS1
EBOV	PEG10
EBOV	RBBP6
EBOV	LLPH
EBOV	AIMP1
EBOV	EXOSC5
EBOV	CASC3
EBOV	TBK1
EBOV	NUP153
EBOV	PPP2R2A
EBOV	ZNF326
