Abbre	Gene
EBV	LZTS2
EBV	SPTLC1
EBV	SPNS1
EBV	VAT1
EBV	ATRX
EBV	ZW10
EBV	LTBP4
EBV	S100A16
EBV	RRAS
EBV	RCN3
EBV	ESYT2
EBV	SLC3A2
EBV	PARP1
EBV	ANK3
EBV	CREB3
EBV	AP2A2
EBV	ESYT1
EBV	RRBP1
EBV	PDGFRB
EBV	TM9SF3
EBV	TMEM161A
EBV	MTCL1
EBV	DNAJC7
EBV	XPO7
EBV	ABLIM3
EBV	MRPS2
EBV	TARS2
EBV	STX12
EBV	SQSTM1
EBV	PTTG1IP
EBV	VWA8
EBV	WLS
EBV	PTPRK
EBV	TMEM159
EBV	MAP2K3
EBV	NPM1
EBV	SEC22B
EBV	MRPS14
EBV	PRAF2
EBV	RPS27L
EBV	NEDD8
EBV	RNF167
EBV	RPN2
EBV	EVA1B
EBV	F2R
EBV	FAS
EBV	XPO1
EBV	USP10
EBV	PLPP6
EBV	MOV10
EBV	RHOT2
EBV	TFRC
EBV	VAPA
EBV	SSRP1
EBV	TM9SF2
EBV	SNX17
EBV	SCCPDH
EBV	TMEM165
EBV	MAP7D1
EBV	MARCKS
EBV	CTBP1
EBV	VCP
EBV	PLXDC2
EBV	SCAMP3
EBV	MTUS2
EBV	TGFBR2
EBV	STX10
EBV	PREB
EBV	HNRNPA2B1
EBV	HNRNPAB
EBV	SNAP23
EBV	PSMD11
EBV	RAB32
EBV	RAB34
EBV	SEC61A1
EBV	SEC61B
EBV	SEC63
EBV	TAP2
EBV	NAALADL2
EBV	MYO1C
EBV	RHOT1
EBV	ERGIC3
EBV	ERLIN2
EBV	PTK7
EBV	RRAS2
EBV	PTPRF
EBV	PSMD4
EBV	UBE2M
EBV	USP7
EBV	PEX5
EBV	MOGS
EBV	SLAIN2
EBV	OBI1
EBV	TM9SF1
EBV	IPO5
EBV	JAK1
EBV	KLHL12
EBV	KPNB1
EBV	SCO2
EBV	TMEM175
EBV	COPE
EBV	MARS1
EBV	MBOAT7
EBV	MDFI
EBV	MID2
EBV	SLC12A4
EBV	NOTCH1
EBV	SLC2A1
EBV	TRPV2
EBV	UBE2I
EBV	UNC93B1
EBV	VKORC1
EBV	TRIM25
EBV	WWOX
EBV	UBE2A
EBV	C1orf94
EBV	NFKB1
EBV	PSMA3
EBV	TNPO1
EBV	ACTN1
EBV	ERGIC1
EBV	BAG6
EBV	TFG
EBV	SEC62
EBV	ILF3
EBV	IQGAP2
EBV	KHDRBS1
EBV	TBC1D15
EBV	S1PR3
EBV	SCAMP2
EBV	SAYSD1
EBV	NIPSNAP1
EBV	NIPSNAP2
EBV	NME1
EBV	LAMB2
EBV	CD74
EBV	ABCC1
EBV	ABHD12
EBV	PCBP1
EBV	ADAM9
EBV	TMEM30A
EBV	ALG5
EBV	RFX6
EBV	UPRT
EBV	ELF2
EBV	SDCBP2
EBV	TP53I11
EBV	TRAM1
EBV	NOTCH4
EBV	SFN
EBV	TRAF2
EBV	PVR
EBV	QPCTL
EBV	RAB18
EBV	OSMR
EBV	RIMBP3
EBV	PPP6R3
EBV	KDSR
EBV	POGZ
EBV	LAMTOR1
EBV	RARA
EBV	PLOD2
EBV	PPFIA1
EBV	PSMC1
EBV	PSMC4
EBV	PSMD1
EBV	CD44
EBV	RNF11
EBV	MCCC2
EBV	MLF2
EBV	TRAF1
EBV	RPS6KA3
EBV	SDF4
EBV	KIFC3
EBV	SCAMP4
EBV	SCARB2
EBV	CNTNAP1
EBV	COA7
EBV	SCFD1
EBV	COPB1
EBV	AGK
EBV	TMEM200A
EBV	CPT1A
EBV	PSMA6
EBV	CRIM1
EBV	WWP2
EBV	YWHAH
EBV	GFPT1
EBV	HNRNPA1
EBV	ADAR
EBV	SLC30A7
EBV	SLC30A9
EBV	SLC35F6
EBV	ATP13A1
EBV	SPTLC2
EBV	PSMD14
EBV	EGFR
EBV	PSMD7
EBV	KIRREL1
EBV	HSPA8
EBV	RFTN1
EBV	STOML2
EBV	STT3A
EBV	DDB1
EBV	DHX30
EBV	SLF2
EBV	SORT1
EBV	PLEKHA5
EBV	RSU1
EBV	FBLN2
EBV	SACM1L
EBV	TBC1D17
EBV	TBL2
EBV	SPAG5
EBV	MCM4
EBV	HNRNPK
EBV	INF2
EBV	NONO
EBV	GNS
EBV	P4HA1
EBV	PCBP2
EBV	PCCA
EBV	TMPO
EBV	TMX1
EBV	TMX3
EBV	TNFRSF10B
EBV	PSMD2
EBV	PTBP1
EBV	PYCR2
EBV	QARS1
EBV	RAD50
EBV	RBBP4
EBV	TPR
EBV	TRAF6
EBV	UBC
EBV	SLIT3
EBV	IPO9
EBV	RPL11
EBV	RCN2
EBV	PRMT1
EBV	RPL17
EBV	RPL18
EBV	RXRA
EBV	RNH1
EBV	YWHAB
EBV	UBN1
EBV	CASKIN2
EBV	STUB1
EBV	LDHB
EBV	TGFBI
EBV	HTATSF1
EBV	TFIP11
EBV	TRIM27
EBV	TECR
EBV	ZBED1
EBV	CCHCR1
EBV	AKAP11
EBV	MARCO
EBV	NUCB1
EBV	ACBD3
EBV	GAPDH
EBV	NR4A1
EBV	RPL4
EBV	TAZ
EBV	UCKL1
EBV	FAM168B
EBV	PKD2
EBV	PNPLA6
EBV	LAMB1
EBV	IFNGR1
EBV	ITM2C
EBV	LAPTM4A
EBV	UBXN11
EBV	USHBP1
EBV	VIM
EBV	NOTCH2
EBV	OSTM1
EBV	RAB3IP
EBV	RPL12
EBV	RAP1A
EBV	RDH14
EBV	PHLDB2
EBV	CALR
EBV	CAND1
EBV	CCT6B
EBV	CAVIN3
EBV	FASN
EBV	IGFBP4
EBV	CDCP1
EBV	FZD6
EBV	TNS3
EBV	RNF149
EBV	PRKACB
EBV	SERPINE2
EBV	DHX9
EBV	COL6A2
EBV	SLC20A1
EBV	COL6A3
EBV	SERTAD1
EBV	SNX3
EBV	SUSD6
EBV	SDCBP
EBV	GCHFR
EBV	TMEM59
EBV	TOLLIP
EBV	VAMP7
EBV	H1-3
EBV	H2BC8
EBV	SLC25A22
EBV	HLA-DQB1
EBV	HNRNPA0
EBV	LYN
EBV	SRC
EBV	SYK
EBV	DHRS7
EBV	HNRNPD
EBV	ATP2B1
EBV	CSTF2
EBV	CUL1
EBV	HSPA5
EBV	ENG
EBV	COX20
EBV	CSRP2
EBV	HSPB1
EBV	HSPD1
EBV	IDH3A
EBV	IDH3B
EBV	COL6A1
EBV	COMT
EBV	MICAL2
EBV	CLTC
EBV	DYNC1H1
EBV	FHL2
EBV	NCL
EBV	GOLGA2
EBV	GPRASP2
EBV	ZNF350
EBV	POLB
EBV	GGT7
EBV	NUP93
EBV	GLIPR1
EBV	RIPK3
EBV	NUP107
EBV	PCCB
EBV	PHB2
EBV	PRPF8
EBV	PSMB6
EBV	PPP1CA
EBV	RAD18
EBV	RANGAP1
EBV	RBM14
EBV	SMARCA5
EBV	PTMA
EBV	LMNB1
EBV	VAMP5
EBV	SH3GLB2
EBV	ESRRG
EBV	RFC3
EBV	ISG15
EBV	ITGB1
EBV	PNMA1
EBV	PPM1B
EBV	RPL13
EBV	LRP10
EBV	LRPPRC
EBV	RPL13A
EBV	RPS27
EBV	RTN4
EBV	S100A10
EBV	TAF6L
EBV	TAPBP
EBV	SRRM2
EBV	MRC2
EBV	FBLN5
EBV	UBR5
EBV	HOMER3
EBV	ADAM10
EBV	GCA
EBV	ZNF250
EBV	ABCA13
EBV	IGF2BP1
EBV	IGF2BP3
EBV	KPNA1
EBV	ADCY6
EBV	KPNA6
EBV	KRT36
EBV	RPL3
EBV	PIGT
EBV	TES
EBV	TSG101
EBV	CDS2
EBV	GAS6
EBV	CAP2
EBV	LAYN
EBV	LIFR
EBV	LRP12
EBV	NDFIP1
EBV	DVL2
EBV	ATP5PF
EBV	RAB5C
EBV	OGT
EBV	PDLIM4
EBV	PALM
EBV	BDKRB2
EBV	SRPK1
EBV	SRPK2
EBV	CANX
EBV	CCDC155
EBV	TLE5
EBV	PDIA4
EBV	TNKS2
EBV	CDIPT
EBV	CSE1L
EBV	PRKACA
EBV	DDX5
EBV	CHRM2
EBV	TNFRSF10D
EBV	CLU
EBV	PJA2
EBV	PPM1A
EBV	PPP6R1
EBV	PRKAR1A
EBV	SYT11
EBV	PSMA1
EBV	PSMA4
EBV	PSMA5
EBV	MAPK7
EBV	PSMA7
EBV	H1-10
EBV	UGCG
EBV	PSMB4
EBV	PSMC2
EBV	PSMC3
EBV	PSMC5
EBV	PSMC6
EBV	AP2A1
EBV	PSMD12
EBV	PSMD13
EBV	DPP7
EBV	PSMD3
EBV	EI24
EBV	CEPT1
EBV	PSMD8
EBV	ERBB2
EBV	RBMS2
EBV	RIN1
EBV	RNF126
EBV	UBQLN1
EBV	DPY19L1
EBV	EIF4G1
EBV	CTSB
EBV	DNAJA1
EBV	SURF4
EBV	POLD2
EBV	POLDIP2
EBV	TREX2
EBV	TRIM28
EBV	KARS1
EBV	RELA
EBV	CSF1
EBV	MARCKSL1
EBV	MGARP
EBV	MT-CO2
EBV	TNFAIP3
EBV	NUP153
EBV	DAXX
EBV	PFAS
EBV	LAMA3
EBV	GMPS
EBV	HNRNPA3
EBV	BEND7
EBV	COIL
EBV	KHDRBS2
EBV	MAPRE1
EBV	PDE4DIP
EBV	RBBP7
EBV	SLIT2
EBV	SH3BP4
EBV	IKBIP
EBV	RPL10
EBV	PLXNB2
EBV	SSR4
EBV	TAB1
EBV	TMEM33
EBV	NFKB2
EBV	RPL22
EBV	MAVS
EBV	MFSD10
EBV	MGST1
EBV	MICOS13
EBV	MMP14
EBV	SRPRA
EBV	MPZL1
EBV	EGFL7
EBV	TGFB1I1
EBV	EBNA1BP2
EBV	FARP1
EBV	FCHSD1
EBV	MYLK
EBV	NCEH1
EBV	CERS4
EBV	CIR1
EBV	CLK1
EBV	PDIA3
EBV	HBB
EBV	HLA-A
EBV	HLA-B
EBV	NUCB2
EBV	PI4K2A
EBV	PIP4P2
EBV	FHL3
EBV	FN1
EBV	MKRN3
EBV	NECAB2
EBV	PDE6G
EBV	MAGED1
EBV	PDLIM7
EBV	PNKD
EBV	ATP5PD
EBV	S100A6
EBV	AGR2
EBV	AXL
EBV	PDCD6IP
EBV	BSG
EBV	TBXAS1
EBV	TOR1AIP2
EBV	ZDHHC17
EBV	CAPN1
EBV	CAD
EBV	CCNDBP1
EBV	CCDC168
EBV	ITIH3
EBV	CDKN2A
EBV	CGRRF1
EBV	CHCHD3
EBV	CHP1
EBV	H3C1
EBV	DNAJB1
EBV	DNAJB5
EBV	TPP1
EBV	EIF2S1
EBV	EIF3B
EBV	FKBP14
EBV	PRRC2C
EBV	FLNC
EBV	CCDC14
EBV	CTSC
EBV	VWF
EBV	GRPEL1
EBV	KANK2
EBV	PSMB1
EBV	HAX1
EBV	LCK
EBV	IGLL1
EBV	AIMP2
EBV	ANXA11
EBV	SEC16A
EBV	RCN1
EBV	TOR4A
EBV	HNRNPM
EBV	HNRNPR
EBV	EFNB1
EBV	XPC
EBV	STIM1
EBV	STOM
EBV	CUL4A
EBV	CUL4B
EBV	CUL5
EBV	DNAJB12
EBV	CEP44
EBV	ENPP1
EBV	EVA1A
EBV	STX7
EBV	GLG1
EBV	TAP1
EBV	CRTC1
EBV	HUWE1
EBV	IPO7
EBV	RACK1
EBV	GCN1
EBV	GGCX
EBV	TRIM65
EBV	GJA1
EBV	UBL4A
EBV	P4HA2
EBV	NAP1L4
EBV	PML
EBV	TAF1A
EBV	TAF1B
EBV	HDLBP
EBV	POLD1
EBV	BAG4
EBV	CENPJ
EBV	DDX20
EBV	PRMT2
EBV	RPS5
EBV	SDHB
EBV	ATP5MD
EBV	IGF2R
EBV	RBMX
EBV	IL6ST
EBV	IMMT
EBV	SPPL2B
EBV	P4HB
EBV	BACE2
EBV	SNRPD2
