Abbre	Gene
HAdV	VAPA
HAdV	MAGED1
HAdV	TMEM165
HAdV	RACK1
HAdV	TMEM43
HAdV	UPF1
HAdV	TLE5
HAdV	CSPG4
HAdV	PTK7
HAdV	STAT1
HAdV	TAPBP
HAdV	ROPN1
HAdV	NPM1
HAdV	PIK3CA
HAdV	TMPO
HAdV	MCRIP1
HAdV	PSMC6
HAdV	IGF2BP2
HAdV	TBC1D19
HAdV	RAB18
HAdV	TMEM30A
HAdV	RBMS1
HAdV	VKORC1
HAdV	PPM1B
HAdV	TMX3
HAdV	CSPP1
HAdV	PRKDC
HAdV	PREB
HAdV	BAK1
HAdV	SMCO1
HAdV	FN1
HAdV	DDX6
HAdV	PIP4P2
HAdV	TAF1
HAdV	IGF2BP1
HAdV	DDX5
HAdV	MED28
HAdV	THRA
HAdV	PRPF31
HAdV	NFU1
HAdV	RAN
HAdV	SRSF1
HAdV	RBMS2
HAdV	PSMC5
HAdV	SORT1
HAdV	PDGFRB
HAdV	STING1
HAdV	PSMF1
HAdV	MRPS6
HAdV	PRAF2
HAdV	ATP5MD
HAdV	CNP
HAdV	PPP1R13L
HAdV	NUP205
HAdV	CCT6A
HAdV	BNIP3L
HAdV	PSMD2
HAdV	MPZL1
HAdV	BAX
HAdV	POU2F1
HAdV	SEC23A
HAdV	IGF2BP3
HAdV	MDM4
HAdV	TRRAP
HAdV	CCT5
HAdV	ABHD12
HAdV	CTBP1
HAdV	ATF1
HAdV	SET
HAdV	ATP2A2
HAdV	SDCBP
HAdV	SLC9A3R2
HAdV	CTBP2
HAdV	RBPMS
HAdV	PML
HAdV	PPM1A
HAdV	REL
HAdV	STT3A
HAdV	CD44
HAdV	POU5F1
HAdV	ELAVL1
HAdV	CARD10
HAdV	RPN1
HAdV	PTTG1IP
HAdV	RARB
HAdV	C1QBP
HAdV	PDLIM4
HAdV	TRPV2
HAdV	STIM1
HAdV	CAD
HAdV	BSG
HAdV	RFTN1
HAdV	MLEC
HAdV	MBOAT7
HAdV	MRE11
HAdV	BNIP2
HAdV	E2F1
HAdV	SPNS1
HAdV	MOGS
HAdV	NDUFA4
HAdV	PGRMC2
HAdV	COPB2
HAdV	SRPRB
HAdV	LARP4
HAdV	L3MBTL2
HAdV	BCLAF1
HAdV	RBL1
HAdV	ABAT
HAdV	ATF3
HAdV	GLIPR2
HAdV	MXRA8
HAdV	HSD17B14
HAdV	TBP
HAdV	PGRMC1
HAdV	TPP1
HAdV	BIK
HAdV	PBXIP1
HAdV	RB1
HAdV	RAB34
HAdV	KRTAP13-1
HAdV	CCT3
HAdV	CDCP1
HAdV	MMP14
HAdV	PPP1R16B
HAdV	MTCH2
HAdV	SCAMP4
HAdV	USF1
HAdV	NCEH1
HAdV	PSMC3
HAdV	AMOTL2
HAdV	RP2
HAdV	PPP1R13B
HAdV	ARCN1
HAdV	ATF2
HAdV	ATXN2
HAdV	HNRNPUL1
HAdV	GNB1
HAdV	HSPB6
HAdV	SEC22B
HAdV	TSPY1
HAdV	MAPK9
HAdV	COPG1
HAdV	LOX
HAdV	KAT2B
HAdV	BANP
HAdV	ENG
HAdV	UBE2I
HAdV	IGF2R
HAdV	ITGB3
HAdV	CITED1
HAdV	SACM1L
HAdV	DAXX
HAdV	FUBP3
HAdV	EFCAB5
HAdV	COPB1
HAdV	NPTN
HAdV	MYOF
HAdV	ATP1A1
HAdV	ANKRD13A
HAdV	FAM161A
HAdV	CCDC198
HAdV	INCA1
HAdV	NFKBID
HAdV	CXADR
HAdV	ESYT2
HAdV	KPNA2
HAdV	SEC61B
HAdV	HSD17B4
HAdV	BCL6
HAdV	RDH14
HAdV	COPA
HAdV	RAB5C
HAdV	CCNA1
HAdV	MARCKS
HAdV	EXPH5
HAdV	S100A6
HAdV	CBY2
HAdV	KAT2A
HAdV	ABL1
HAdV	EMD
HAdV	CDK1
HAdV	ITGB1
HAdV	SQOR
HAdV	RAP1A
HAdV	EP400
HAdV	SUMO1
HAdV	GPX8
HAdV	F7
HAdV	IKBIP
HAdV	DLG1
HAdV	DDOST
HAdV	FAS
HAdV	RTN4
HAdV	ZMYND11
HAdV	SCARB2
HAdV	SP1
HAdV	SRPRA
HAdV	TP53
HAdV	CXCL13
HAdV	IMMT
HAdV	SASS6
HAdV	GLIPR1
HAdV	EMILIN1
HAdV	SLC2A1
HAdV	DFFA
HAdV	HDAC1
HAdV	LAMTOR1
HAdV	DYRK1B
HAdV	HNRNPH2
HAdV	NPHP1
HAdV	F10
HAdV	FRMPD4
HAdV	DNAJC1
HAdV	LMNA
HAdV	EP300
HAdV	TAF4
HAdV	GZMB
HAdV	SDHA
HAdV	CREBBP
HAdV	ITGA3
HAdV	BNIP3
HAdV	NFIA
HAdV	NFKB1
HAdV	GNG2
HAdV	CCHCR1
HAdV	SRCAP
HAdV	ENY2
HAdV	NINL
HAdV	RBL2
HAdV	ERGIC1
HAdV	GJA1
HAdV	CSRP2
HAdV	CDC23
HAdV	CNTRL
