Abbre	Gene
HCMV	A2M
HCMV	A2ML1
HCMV	ACAA1
HCMV	ACOX1
HCMV	ACP7
HCMV	AKR1B10
HCMV	AKR1B15
HCMV	ALDH4A1
HCMV	ANXA1
HCMV	ANXA8L1
HCMV	APOA1
HCMV	APOB
HCMV	APRT
HCMV	ARHGAP1
HCMV	ARPC1A
HCMV	ASAP1
HCMV	ASS1
HCMV	ATP6V1E1
HCMV	BLVRB
HCMV	C1QC
HCMV	C3
HCMV	CA1
HCMV	CAB39
HCMV	CALML3
HCMV	CAPNS2
HCMV	CARHSP1
HCMV	CFB
HCMV	CILP2
HCMV	CLIC3
HCMV	CMPK1
HCMV	COASY
HCMV	CP
HCMV	CRABP2
HCMV	CSNK1A1
HCMV	CSTB
HCMV	CTNNBIP1
HCMV	CYCS
HCMV	CYP4F22
HCMV	DDX58
HCMV	DDX60
HCMV	DHRS1
HCMV	DOHH
HCMV	DSC2
HCMV	DSG3
HCMV	EFHD2
HCMV	EPPK1
HCMV	EPS8L1
HCMV	EVPL
HCMV	FAM25A
HCMV	FAM83H
HCMV	FCHSD1
HCMV	FERMT1
HCMV	FGA
HCMV	FGB
HCMV	FGG
HCMV	GLRX
HCMV	GLRX3
HCMV	H2AX
HCMV	H2BC18
HCMV	HAL
HCMV	HBB
HCMV	HBD
HCMV	HBG1
HCMV	HELZ2
HCMV	HEPHL1
HCMV	HK2
HCMV	HMGCS1
HCMV	HMOX1
HCMV	HP
HCMV	HPSE
HCMV	HRG
HCMV	IGHG1
HCMV	IGHG2
HCMV	IGHM
HCMV	IL1RN
HCMV	IL36A
HCMV	IL36G
HCMV	IL36RN
HCMV	ITIH4
HCMV	KLK10
HCMV	KLK13
HCMV	KLK6
HCMV	KLK9
HCMV	KRTDAP
HCMV	KYNU
HCMV	LAD1
HCMV	LCN2
HCMV	LCP1
HCMV	MAB21L4
HCMV	MACROH2A1
HCMV	MANF
HCMV	MINK1
HCMV	MX1
HCMV	NAMPT
HCMV	NAPA
HCMV	NAPB
HCMV	NAPRT
HCMV	NCCRP1
HCMV	NDRG2
HCMV	NEU2
HCMV	NOS2
HCMV	NT5C3A
HCMV	OASL
HCMV	OTUB1
HCMV	OXCT1
HCMV	PA2G4
HCMV	PFDN6
HCMV	PGAM1
HCMV	PGLS
HCMV	PGM2
HCMV	PKP3
HCMV	PLA2G4B
HCMV	PLA2G4D
HCMV	PLA2G4E
HCMV	PLBD1
HCMV	PLG
HCMV	POF1B
HCMV	PPL
HCMV	PRSS22
HCMV	PSAT1
HCMV	PYCARD
HCMV	QSOX1
HCMV	RAB25
HCMV	RALY
HCMV	RDH12
HCMV	RHCG
HCMV	S100A2
HCMV	S100A7A
HCMV	SAMD9
HCMV	SBSN
HCMV	SDR9C7
HCMV	SERPINA1
HCMV	SERPINB1
HCMV	SERPINB13
HCMV	SERPINB2
HCMV	SERPINB5
HCMV	SERPINB7
HCMV	SFN
HCMV	SH3GLB2
HCMV	SLC9A3R1
HCMV	SNX12
HCMV	SNX3
HCMV	SP100
HCMV	SPTBN2
HCMV	STAT3
HCMV	STX12
HCMV	SULT2B1
HCMV	TAX1BP3
HCMV	TF
HCMV	TJP2
HCMV	TPD52
HCMV	TPT1
HCMV	TREX2
HCMV	TRIM29
HCMV	TWF1
HCMV	TWF2
HCMV	TXNDC17
HCMV	TYMP
HCMV	UBE2L3
HCMV	UBE2L6
HCMV	UBE2N
HCMV	UBE2V1
HCMV	UCHL3
HCMV	VPS50
HCMV	YOD1
HCMV	ZFP36
HCMV	ZNF185
HCMV	ARHGAP31
HCMV	ARHGEF1
HCMV	ARHGEF17
HCMV	ARHGEF5
HCMV	ASAP3
HCMV	BABAM1
HCMV	BRCC3
HCMV	CASC3
HCMV	CAVIN3
HCMV	CCDC8
HCMV	CCDC9
HCMV	CCSER2
HCMV	CDCA2
HCMV	CEP170
HCMV	DENND2B
HCMV	DENND3
HCMV	DHX38
HCMV	ERCC4
HCMV	FRMD4A
HCMV	FST
HCMV	GIGYF1
HCMV	GKAP1
HCMV	GPBP1L1
HCMV	HDAC3
HCMV	HECW2
HCMV	JCAD
HCMV	KLF12
HCMV	KLF3
HCMV	LMO7
HCMV	MAP3K20
HCMV	MAP7D1
HCMV	MTREX
HCMV	NCOR1
HCMV	NDE1
