Abbre	Gene
HCV	HSD17B4
HCV	SORBS2
HCV	CIC
HCV	SACM1L
HCV	GLRX5
HCV	HS2ST1
HCV	STAB1
HCV	IFT88
HCV	SLIT1
HCV	HADHA
HCV	HSDL2
HCV	TXN
HCV	HSP90B1
HCV	SEC61B
HCV	GREB1
HCV	GATM
HCV	SLIT3
HCV	SMYD3
HCV	EHHADH
HCV	SLF2
HCV	APOB
HCV	ENO1
HCV	WDR5
HCV	GCSH
HCV	COG2
HCV	SMURF2
HCV	LTBR
HCV	IQGAP2
HCV	CD81
HCV	STING1
HCV	HSPA8
HCV	HSD17B12
HCV	SSR3
HCV	EGFL7
HCV	CHST13
HCV	PCNA
HCV	DYNC1I1
HCV	PCNX4
HCV	EFEMP2
HCV	HMGCR
HCV	GET4
HCV	JAK1
HCV	MTTP
HCV	RTRAF
HCV	LPGAT1
HCV	SBF1
HCV	GUF1
HCV	TTC4
HCV	CLPTM1
HCV	STOM
HCV	LMAN1
HCV	TF
HCV	GEMIN7
HCV	SERPINB4
HCV	CCT3
HCV	TRIM44
HCV	SIAH1
HCV	SAAL1
HCV	CELF1
HCV	SLC4A2
HCV	CHCHD2
HCV	SLC39A1
HCV	LRRCC1
HCV	PARVG
HCV	LRRTM1
HCV	TTLL7
HCV	ITSN2
HCV	HUWE1
HCV	HNRNPA1L2
HCV	SPICE1
HCV	CDK1
HCV	LMF2
HCV	SSX2IP
HCV	SPTLC3
HCV	SPTAN1
HCV	GLIPR2
HCV	SPCS2
HCV	SLC25A24
HCV	CLN6
HCV	AFG3L2
HCV	TP73
HCV	IPO9
HCV	ACIN1
HCV	LRRC59
HCV	RTN3
HCV	MOGS
HCV	GGCX
HCV	SEPTIN10
HCV	HACD3
HCV	UBD
HCV	LPCAT1
HCV	RTCB
HCV	FAM135A
HCV	CFAP100
HCV	CLIP4
HCV	SERPIND1
HCV	MT-ATP6
HCV	SLC31A2
HCV	HRG
HCV	NELL2
HCV	LDB1
HCV	CEP63
HCV	DENND6B
HCV	APOE
HCV	HCAR1
HCV	APOH
HCV	COG1
HCV	PDE4DIP
HCV	SLC46A1
HCV	ELOF1
HCV	KTN1
HCV	SRPX2
HCV	STAT3
HCV	SRRT
HCV	SPG7
HCV	MFSD5
HCV	EFEMP1
HCV	CLEC16A
HCV	LRRC18
HCV	SRPRB
HCV	TBC1D20
HCV	GEMIN4
HCV	EI24
HCV	PRDX1
HCV	MAP3K11
HCV	RUSC2
HCV	TMEM252
HCV	TPI1
HCV	SETD2
HCV	GORASP2
HCV	ATP5PD
HCV	HM13
HCV	STRBP
HCV	CBWD1
HCV	TGFBR2
HCV	MSI2
HCV	DHX9
HCV	CCT6A
HCV	SLC1A5
HCV	ZNF239
HCV	KRT19
HCV	LCK
HCV	MAPKAPK3
HCV	AGT
HCV	RAI14
HCV	PARP4
HCV	LRG1
HCV	IMMT
HCV	PDLIM5
HCV	ST6GAL1
HCV	SOX3
HCV	SORBS3
HCV	LINS1
HCV	TATDN1
HCV	SPON1
HCV	TBC1D22B
HCV	FUBP3
HCV	GATAD2A
HCV	SRFBP1
HCV	ATXN2L
HCV	BAG6
HCV	TBK1
HCV	CWF19L2
HCV	RPS9
HCV	ADAR
HCV	ELAC2
HCV	C4A
HCV	STX18
HCV	SCP2
HCV	SCAMP3
HCV	SETSIP
HCV	UBE2S
HCV	SEC63
HCV	SERPINA1
HCV	CINP
HCV	ALDH3A2
HCV	SERPINB3
HCV	VPS35
HCV	MTX2
HCV	H2AW
HCV	VRK1
HCV	LTF
HCV	RAN
HCV	EIF3L
HCV	APOA5
HCV	APOA1
HCV	MSL3
HCV	NCBP3
HCV	SLIT2
HCV	EIF2AK2
HCV	SLC3A2
HCV	DNAJC7
HCV	SLMAP
HCV	SPOCK3
HCV	SUPT16H
HCV	FOS
HCV	SPCS1
HCV	METTL7B
HCV	ATXN10
HCV	TMA7
HCV	RSPH3
HCV	SSB
HCV	ABCD3
HCV	GLRX3
HCV	SRSF11
HCV	ITGB1
HCV	CELSR2
HCV	AIMP1
HCV	SECISBP2
HCV	ZNF638
HCV	SERTAD1
HCV	IPO4
HCV	TCP1
HCV	CAV2
HCV	MRPS16
HCV	CCAR2
HCV	FANCI
HCV	CCDC88C
HCV	SLC16A1
HCV	YTHDC2
