Abbre	Gene
HHV-1	CCDC172
HHV-1	PPIA
HHV-1	GJA5
HHV-1	PLSCR1
HHV-1	ZDHHC7
HHV-1	KRTAP4-12
HHV-1	RPL36A
HHV-1	MCRS1
HHV-1	KCTD4
HHV-1	DNAJC16
HHV-1	VPS37B
HHV-1	ZBED1
HHV-1	CSNK1D
HHV-1	NUDT3
HHV-1	COMMD4
HHV-1	EIF5A
HHV-1	RPL32
HHV-1	TSPO
HHV-1	RPL36AL
HHV-1	RPS28
HHV-1	PML
HHV-1	JTB
HHV-1	TMEM182
HHV-1	BOLL
HHV-1	EWSR1
HHV-1	ING5
HHV-1	MRPL24
HHV-1	NME1
HHV-1	FGFBP1
HHV-1	ORM2
HHV-1	LDHA
HHV-1	GNG7
HHV-1	HPGDS
HHV-1	RPL10A
HHV-1	RAD50
HHV-1	RUVBL1
HHV-1	MTUS2
HHV-1	HBG2
HHV-1	ZC2HC1A
HHV-1	IFIH1
HHV-1	TSPYL1
HHV-1	IFI27L1
HHV-1	EIF4G1
HHV-1	KRT33B
HHV-1	SH3GL2
HHV-1	TNFRSF14
HHV-1	NUSAP1
HHV-1	RPS15A
HHV-1	GMPPA
HHV-1	RPL37A
HHV-1	TUBA1C
HHV-1	NCOA5
HHV-1	IKBKG
HHV-1	HCFC1
HHV-1	ACTA2
HHV-1	UBE2E1
HHV-1	YES1
HHV-1	C1orf94
HHV-1	ACTG2
HHV-1	NECTIN1
HHV-1	SYNJ2BP
HHV-1	DPPA4
HHV-1	PIM2
HHV-1	USP15
HHV-1	USHBP1
HHV-1	SMARCA2
HHV-1	RPL30
HHV-1	LDLRAP1
HHV-1	USP9X
HHV-1	SCRIB
HHV-1	DPY30
HHV-1	PPL
HHV-1	TRAF4
HHV-1	SPEG
HHV-1	VASH1
HHV-1	CTSD
HHV-1	POU2AF1
HHV-1	RANBP10
HHV-1	ZSCAN21
HHV-1	TUBA1A
HHV-1	TAB2
HHV-1	MRAS
HHV-1	PRKDC
HHV-1	UBE2D1
HHV-1	TMEM254
HHV-1	POTEF
HHV-1	H4C1
HHV-1	PRPF19
HHV-1	RPS11
HHV-1	SCG5
HHV-1	RPS12
HHV-1	PCDHGC5
HHV-1	PCNP
HHV-1	IFITM1
HHV-1	PRR22
HHV-1	PREPL
HHV-1	RDH11
HHV-1	ACP1
HHV-1	TPSAB1
HHV-1	POTEE
HHV-1	RPL36
HHV-1	RIPK3
HHV-1	XRCC6
HHV-1	RPL28
HHV-1	SF3B4
HHV-1	RPL3
HHV-1	DRAM1
HHV-1	USP7
HHV-1	RBM45
HHV-1	SSNA1
HHV-1	EIF3F
HHV-1	CCT2
HHV-1	ARID3A
HHV-1	GOPC
HHV-1	MED25
HHV-1	HSPA8
HHV-1	PLSCR3
HHV-1	NFKB1
HHV-1	FYN
HHV-1	RPL4
HHV-1	RPS27
HHV-1	HMGN1
HHV-1	HOXA10
HHV-1	INSIG1
HHV-1	HSPBP1
HHV-1	IKZF3
HHV-1	RPL27
HHV-1	SERPINF1
HHV-1	CCDC33
HHV-1	KCNE3
HHV-1	KRT6B
HHV-1	PIMREG
HHV-1	HCN3
HHV-1	IL17RA
HHV-1	POLR1D
HHV-1	PLIN2
HHV-1	SMARCC2
HHV-1	ZNF446
HHV-1	ATP6V1C2
HHV-1	ANK2
HHV-1	RPL26L1
HHV-1	SCNM1
HHV-1	SUPT16H
HHV-1	XRCC4
HHV-1	TMEM167A
HHV-1	S100A7
HHV-1	SPEF1
HHV-1	RIPK1
HHV-1	NR2C2
HHV-1	TAB1
HHV-1	SPINK6
HHV-1	SUMO3
HHV-1	RPL9
HHV-1	FLNB
HHV-1	MCCC1
HHV-1	UNC119
HHV-1	RPL35A
HHV-1	HGF
HHV-1	PILRA
HHV-1	RPS27L
HHV-1	CTBP1
HHV-1	KAT7
HHV-1	GLYR1
HHV-1	RPS10
HHV-1	DCAF8
HHV-1	TRAF2
HHV-1	MAP2K1
HHV-1	S100A16
HHV-1	CCND3
HHV-1	RHEB
HHV-1	MEIS2
HHV-1	SPIN3
HHV-1	OPRM1
HHV-1	RPL13A
HHV-1	PLA2G2A
HHV-1	PACC1
HHV-1	RPL18A
HHV-1	RPLP1
HHV-1	SAA1
HHV-1	APPBP2
HHV-1	TSPOAP1
HHV-1	RPL26
HHV-1	RAB6B
HHV-1	RPS14
HHV-1	RPL27A
HHV-1	SMARCE1
HHV-1	CCL19
HHV-1	NONO
HHV-1	CCNK
HHV-1	PRPF38B
HHV-1	CREBL2
HHV-1	DEFB1
HHV-1	RPL31
HHV-1	DDX21
HHV-1	TNFSF14
HHV-1	CCDC36
HHV-1	C1QBP
HHV-1	NDUFV3
HHV-1	SLC16A10
HHV-1	STX11
HHV-1	OLAH
HHV-1	NPM1
HHV-1	NUP35
HHV-1	PCCB
HHV-1	ATP5PF
HHV-1	ITCH
HHV-1	ACOT8
HHV-1	PHB2
HHV-1	RBP5
HHV-1	TRIM21
HHV-1	H2AC14
HHV-1	H2BC11
