Abbre	Gene
HIV-1	PSPC1
HIV-1	VDAC2
HIV-1	PRPF6
HIV-1	RPL35A
HIV-1	ATP5F1B
HIV-1	PSMA7
HIV-1	EXOSC7
HIV-1	RSBN1L
HIV-1	SF3A2
HIV-1	PJA2
HIV-1	MCCC1
HIV-1	PRPF4B
HIV-1	ORC5
HIV-1	GIMAP5
HIV-1	PNN
HIV-1	RBM39
HIV-1	PAFAH1B1
HIV-1	FLCN
HIV-1	PON2
HIV-1	RPL17
HIV-1	RPL32
HIV-1	EPPK1
HIV-1	PHB
HIV-1	RPL3
HIV-1	ATP5PB
HIV-1	ATP2B1
HIV-1	ARFGEF1
HIV-1	PSMB2
HIV-1	SMU1
HIV-1	PBRM1
HIV-1	PURA
HIV-1	RECQL
HIV-1	EIF2S2
HIV-1	PES1
HIV-1	RFC1
HIV-1	RTRAF
HIV-1	SF3A1
HIV-1	SF3A3
HIV-1	SFPQ
HIV-1	PLK1
HIV-1	ATP5F1D
HIV-1	POLR2A
HIV-1	FBXW11
HIV-1	HERC5
HIV-1	FECH
HIV-1	INTS2
HIV-1	FKBP4
HIV-1	IFI16
HIV-1	SNRPC
HIV-1	LRP1
HIV-1	PLRG1
HIV-1	NUP205
HIV-1	PPP2R2A
HIV-1	PSMB1
HIV-1	CDC6
HIV-1	ATP2A3
HIV-1	RBM14
HIV-1	PABPC1
HIV-1	RBBP6
HIV-1	SGPL1
HIV-1	HERC2
HIV-1	RBM42
HIV-1	EIF3I
HIV-1	UBB
HIV-1	UGGT1
HIV-1	TXNDC11
HIV-1	EXOSC5
HIV-1	IFT122
HIV-1	LIMD1
HIV-1	RPSA
HIV-1	NPM1
HIV-1	RPS4X
HIV-1	TOR3A
HIV-1	RPS3A
HIV-1	CEP57
HIV-1	PARP4
HIV-1	CYB5R1
HIV-1	ATP1B3
HIV-1	PSMB10
HIV-1	DAGLB
HIV-1	CCND3
HIV-1	ANP32E
HIV-1	EIF3K
HIV-1	PURB
HIV-1	CTDP1
HIV-1	NOP58
HIV-1	PLOD1
HIV-1	TMEM109
HIV-1	AP1B1
HIV-1	EIF3L
HIV-1	IARS1
HIV-1	KDR
HIV-1	NUP85
