Abbre	Gene
HPV-6b	PTTG1IP
HPV-6b	AFG3L2
HPV-6b	PTK7
HPV-6b	GLG1
HPV-6b	CNTNAP1
HPV-6b	GAS6
HPV-6b	BSG
HPV-6b	UBE2A
HPV-6b	RAB18
HPV-6b	RMDN3
HPV-6b	SQOR
HPV-6b	PGRMC2
HPV-6b	RAB34
HPV-6b	CAVIN1
HPV-6b	H1-0
HPV-6b	PHB2
HPV-6b	AXL
HPV-6b	TFDP1
HPV-6b	PIEZO1
HPV-6b	PTDSS2
HPV-6b	ADAM10
HPV-6b	BDKRB2
HPV-6b	ERBB2
HPV-6b	DNAJB14
HPV-6b	AUP1
HPV-6b	RAP1A
HPV-6b	RFTN1
HPV-6b	RFT1
HPV-6b	FNDC3B
HPV-6b	RETREG3
HPV-6b	UBIAD1
HPV-6b	PGRMC1
HPV-6b	VAPB
HPV-6b	VMP1
HPV-6b	RNF170
HPV-6b	UNC93B1
HPV-6b	TRPV2
HPV-6b	PIGO
HPV-6b	PDGFRB
HPV-6b	PLD3
HPV-6b	MGRN1
HPV-6b	ATP5MD
HPV-6b	CDKAL1
HPV-6b	CREB3L1
HPV-6b	UBAC2
HPV-6b	S1PR3
HPV-6b	ENG
HPV-6b	VAPA
HPV-6b	BAG2
HPV-6b	TIMM50
HPV-6b	BSCL2
HPV-6b	RAB32
HPV-6b	CAV1
HPV-6b	ATRN
HPV-6b	RETREG2
HPV-6b	GPD2
HPV-6b	S100A16
HPV-6b	RTN4
HPV-6b	RER1
HPV-6b	MFGE8
HPV-6b	B4GAT1
HPV-6b	LRRC59
HPV-6b	TRPA1
HPV-6b	SARS2
HPV-6b	SLAIN2
HPV-6b	ALG1
HPV-6b	CANX
HPV-6b	RAB5C
HPV-6b	RABL3
HPV-6b	PLXNB2
HPV-6b	RDH11
HPV-6b	RP2
HPV-6b	S100A13
HPV-6b	TRPM4
HPV-6b	ATP13A1
HPV-6b	ITGB1
HPV-6b	RPS13
HPV-6b	RPS27
HPV-6b	ATP5PD
HPV-6b	ATP5PF
HPV-6b	ATP9A
HPV-6b	ATP5PO
HPV-6b	SRRM2
HPV-6b	PLPP6
HPV-6b	PON2
HPV-6b	PRAF2
HPV-6b	ECE1
HPV-6b	SLC27A4
HPV-6b	STIM1
HPV-6b	SLC35F5
HPV-6b	SLC3A2
HPV-6b	ERP44
HPV-6b	CD44
HPV-6b	SLC4A2
HPV-6b	SLC5A3
HPV-6b	DNAJB9
HPV-6b	TMEM120A
HPV-6b	PIAS1
HPV-6b	PIAS2
HPV-6b	GRAMD2B
HPV-6b	GREM1
HPV-6b	PBXIP1
HPV-6b	CHP1
HPV-6b	MICAL2
