Abbre	Gene
HRSV	ATAD3B
HRSV	ARFGEF2
HRSV	ATP1A1
HRSV	NUP93
HRSV	RPL3
HRSV	DDX20
HRSV	ARFGEF1
HRSV	RTN4
HRSV	CLCC1
HRSV	DDOST
HRSV	NUP210
HRSV	YWHAB
HRSV	NOMO1
HRSV	YME1L1
HRSV	RAB11A
HRSV	RPN1
HRSV	DDB1
HRSV	PHGDH
HRSV	TALDO1
HRSV	OSBPL8
HRSV	ATAD3A
HRSV	SCO2
HRSV	CYB5R3
HRSV	SEC22B
HRSV	UBE3C
HRSV	CLPB
HRSV	KPNA2
HRSV	HSPA8
HRSV	CYP51A1
HRSV	SLC25A5
HRSV	PTMA
HRSV	PPP6C
HRSV	ZNF502
HRSV	ZCCHC7
HRSV	SEC61A1
HRSV	ALDH3A2
HRSV	HUWE1
HRSV	SCCPDH
HRSV	HSPD1
HRSV	VAC14
HRSV	TNPO1
HRSV	HSPA5
HRSV	RHOA
HRSV	XPO1
HRSV	SLC7A5
HRSV	PGRMC2
HRSV	NUP205
HRSV	RPL7
HRSV	AIFM1
HRSV	APMAP
HRSV	NSDHL
HRSV	RDH13
HRSV	CIP2A
HRSV	TUBB4B
HRSV	VCP
HRSV	LETM1
HRSV	AUP1
HRSV	TRAP1
HRSV	ARL8B
HRSV	AKAP8L
HRSV	TUBA1C
HRSV	NLRX1
HRSV	SCFD1
HRSV	ATP2B4
HRSV	SACM1L
HRSV	UNC45A
HRSV	RDH11
HRSV	PIK3CG
HRSV	TRAFD1
HRSV	CALR
HRSV	XPO5
HRSV	KLHDC2
HRSV	PIKFYVE
HRSV	PGRMC1
HRSV	AGPS
HRSV	CERS1
HRSV	COPB2
HRSV	COPB1
HRSV	RFC3
HRSV	TRIP13
HRSV	HM13
HRSV	HECTD1
HRSV	IPO7
HRSV	RAB5B
HRSV	ATP5PB
HRSV	ZNF501
HRSV	RAB8A
HRSV	YWHAZ
HRSV	CSTF1
HRSV	RPS13
HRSV	PTGES2
HRSV	VAT1
HRSV	CCNC
HRSV	ATP5F1C
HRSV	GCN1
HRSV	MED9
HRSV	GPAT4
HRSV	TOMM70
HRSV	POLR2A
HRSV	VDAC1
HRSV	AFG3L2
HRSV	PRKDC
HRSV	CANX
HRSV	NOP58
HRSV	SCAMP3
HRSV	TUFM
HRSV	RAI14
HRSV	HACD3
HRSV	RAB14
HRSV	HSD17B12
HRSV	PTPN1
HRSV	RAB5C
HRSV	PGAM5
HRSV	DHRS7B
HRSV	ACSL4
HRSV	TPM3
HRSV	POLR2B
HRSV	DNAJA2
HRSV	PTOV1
HRSV	TUBA1B
HRSV	PRKAR2A
HRSV	MED26
HRSV	RAB4A
HRSV	MON2
HRSV	MED4
HRSV	RAB2A
HRSV	ATP5PO
HRSV	DHRS7
HRSV	ATP1B3
HRSV	HSPA1A
HRSV	RPL14
HRSV	CDK19
HRSV	RAB7A
HRSV	PIK3CB
HRSV	EMD
HRSV	TMED9
HRSV	ATP5F1B
HRSV	PYCR2
HRSV	MTDH
HRSV	TOMM22
HRSV	SUMO3
HRSV	CLPTM1
HRSV	COPA
HRSV	NDUFS2
HRSV	NDUFS3
HRSV	HLA-C
HRSV	ATP2A2
HRSV	RAD23B
HRSV	ATP5F1A
HRSV	NPM1
HRSV	TMX1
HRSV	ATR
HRSV	WRNIP1
HRSV	TBCD
HRSV	BCAP31
HRSV	YWHAE
HRSV	YWHAG
HRSV	LMBR1
HRSV	PPT1
HRSV	TOR1AIP1
HRSV	PSMC6
HRSV	FDFT1
HRSV	DYNC1LI2
HRSV	STT3B
HRSV	ESYT2
HRSV	SRPRB
HRSV	PPIA
HRSV	CLPX
HRSV	RAB6A
HRSV	HSPB2
HRSV	CAD
HRSV	CAPRIN1
HRSV	TRIM28
HRSV	TMEM161A
HRSV	SPTLC2
HRSV	FANCD2
HRSV	TM9SF4
HRSV	MED27
HRSV	GNPAT
HRSV	MED15
HRSV	ESYT1
HRSV	SMAD3
HRSV	NIPSNAP1
HRSV	RUVBL1
HRSV	COMT
HRSV	LPCAT1
HRSV	SPAG5
HRSV	GLUD1
HRSV	DNAJB12
HRSV	DYNC1LI1
HRSV	SRP68
HRSV	SUCLA2
HRSV	EPHX1
HRSV	STT3A
HRSV	RELA
HRSV	YWHAQ
HRSV	DHCR7
HRSV	SMC1A
HRSV	WDR77
HRSV	CFL1
HRSV	LRPPRC
HRSV	GDPD1
HRSV	MED25
HRSV	SPTLC1
HRSV	DYNC1I2
HRSV	MED12
HRSV	SRP72
HRSV	RAB11B
HRSV	B4GAT1
HRSV	FAR1
HRSV	CAV3
HRSV	DDX58
HRSV	SLC25A3
HRSV	PRMT5
HRSV	SLC3A2
HRSV	MED29
HRSV	MED23
HRSV	MED8
HRSV	MED20
HRSV	SMC3
HRSV	MED14
HRSV	ACSL3
HRSV	ACSL1
HRSV	NCLN
HRSV	LMAN2
HRSV	FAF2
HRSV	TBC1D15
HRSV	CAV2
HRSV	AMOTL2
HRSV	AMOT
HRSV	DPM1
HRSV	ACP1
HRSV	IPO8
HRSV	MDN1
HRSV	MED13L
HRSV	DNAJA1
HRSV	CAV1
HRSV	EXOC6
HRSV	HAX1
HRSV	MTX1
HRSV	HEATR1
HRSV	TIMM50
HRSV	TTI1
HRSV	GOLGA2
HRSV	MED24
HRSV	MED16
HRSV	MED17
HRSV	MED13
HRSV	DYNC1H1
HRSV	MOGS
HRSV	TFRC
HRSV	HADHA
HRSV	LRRC59
