Abbre	Gene
KSHV	ZNF316
KSHV	HADHB
KSHV	LIPE
KSHV	LIG3
KSHV	SDF2
KSHV	MARK2
KSHV	ID1
KSHV	IRF6
KSHV	PAWR
KSHV	RMND5A
KSHV	CDK2AP1
KSHV	CTSA
KSHV	PHB2
KSHV	GPC4
KSHV	IRF7
KSHV	FAHD1
KSHV	KAT5
KSHV	TPP1
KSHV	GFPT2
KSHV	TBRG4
KSHV	TUBA3C
KSHV	MECP2
KSHV	CREBBP
KSHV	SDCCAG8
KSHV	KDM3A
KSHV	LTN1
KSHV	CENPU
KSHV	HERC5
KSHV	GTF3C5
KSHV	IL6ST
KSHV	RANBP10
KSHV	HIGD2A
KSHV	UBC
KSHV	PPP1R7
KSHV	MT-CO1
KSHV	SLC25A3
KSHV	CUL4A
KSHV	PPP1CC
KSHV	IRF1
KSHV	RCN2
KSHV	PPP1CA
KSHV	PTTG1IP
KSHV	SUMO1
KSHV	UNG
KSHV	TNPO2
KSHV	WASF1
KSHV	FKBP10
KSHV	RPA1
KSHV	PPP2R3A
KSHV	BBX
KSHV	SDF2L1
KSHV	RCN1
KSHV	RPP40
KSHV	PRMT3
KSHV	HDAC1
KSHV	WWP1
KSHV	REEP5
KSHV	PPP1CB
KSHV	TRIM28
KSHV	HOMEZ
KSHV	TBP
KSHV	TOMM40
KSHV	MTX2
KSHV	HLA-A
KSHV	IRF3
KSHV	IL17B
KSHV	ATF2
KSHV	NHSL1
KSHV	HNRNPUL1
KSHV	FOXK2
KSHV	TRMT61A
KSHV	ZBTB38
KSHV	GTF3C4
KSHV	EMC10
KSHV	CCDC25
KSHV	MBOAT7
KSHV	REEP2
KSHV	RELL2
KSHV	PRMT5
KSHV	XPA
KSHV	TRAF2
KSHV	TRMT10C
KSHV	USP10
KSHV	DSC3
KSHV	LMO7
KSHV	UGGT2
KSHV	TCEAL6
KSHV	LMAN1
KSHV	TWNK
KSHV	RBX1
KSHV	UBE2O
KSHV	TRIM25
KSHV	CANX
KSHV	RPP30
KSHV	SAAL1
KSHV	DHX29
KSHV	EPPK1
KSHV	XPC
KSHV	HIF1A
KSHV	XRCC1
KSHV	HCFC2
KSHV	CCDC86
KSHV	CIAO1
KSHV	RBM19
KSHV	MNDA
KSHV	DNMT3B
KSHV	CAMSAP2
KSHV	DIABLO
KSHV	PRSS2
KSHV	KNOP1
KSHV	RECQL5
KSHV	ENKD1
KSHV	PGAM5
KSHV	RBM4B
KSHV	RGL2
KSHV	TUBA1C
KSHV	USP9X
KSHV	HIRA
KSHV	MYC
KSHV	IKBKG
KSHV	TRUB2
KSHV	SRSF11
KSHV	CHUK
KSHV	SNAP29
KSHV	TXNDC11
KSHV	SEC23IP
KSHV	KHDRBS1
KSHV	TFAP2C
KSHV	COA3
KSHV	ZMAT2
KSHV	ANKRD44
KSHV	ANKRD28
KSHV	DNMT3A
KSHV	HDAC2
KSHV	UBN2
KSHV	VRK3
KSHV	CDK9
KSHV	H4C1
KSHV	PRMT2
KSHV	TBCD
KSHV	PRMT6
KSHV	KCTD2
KSHV	RPL3L
KSHV	XPO7
KSHV	RNF31
KSHV	IFT81
KSHV	NEK1
KSHV	PAIP1
KSHV	HNRNPK
KSHV	CS
KSHV	RALGAPA1
KSHV	GANAB
KSHV	ERCC2
KSHV	RGS14
KSHV	TJP2
KSHV	TAOK3
KSHV	WASF3
KSHV	RAD51D
KSHV	CMC4
KSHV	YARS2
KSHV	IKBKB
KSHV	CDC37
KSHV	SNRNP70
KSHV	TM9SF2
KSHV	ASPM
KSHV	COPS5
KSHV	NDUFV1
KSHV	CNPY2
KSHV	NOL9
KSHV	CCT8
KSHV	SDC2
KSHV	TERF1
KSHV	SENP3
KSHV	CHCHD6
KSHV	ASF1B
KSHV	SNX4
KSHV	PRMT1
KSHV	PRKDC
KSHV	CDKN1B
KSHV	CDKN2C
KSHV	RAB7A
KSHV	XPO6
KSHV	SRRM1
KSHV	BCL2
KSHV	CUL3
KSHV	GOLPH3
KSHV	CALR
KSHV	CUL1
KSHV	THOC5
KSHV	APEX1
KSHV	GTF2I
KSHV	LYN
KSHV	GTF3C1
KSHV	CCDC127
KSHV	GLB1
KSHV	GPX8
KSHV	HLA-DRA
KSHV	MAP2K2
KSHV	MAP2K7
KSHV	MTCH2
KSHV	MGST2
KSHV	SMARCC2
KSHV	RBM22
KSHV	RNF181
KSHV	RAB3GAP1
KSHV	SELENOF
KSHV	P4HB
KSHV	TNKS1BP1
KSHV	TBC1D10B
KSHV	ZZEF1
KSHV	PELP1
KSHV	KDSR
KSHV	RPF2
KSHV	COX4I1
KSHV	ATP6V0D1
KSHV	CDK3
KSHV	ATF7
KSHV	CDK6
KSHV	PRPF4
KSHV	H3C14
KSHV	HERC2
KSHV	FIP1L1
KSHV	CPVL
KSHV	GID8
KSHV	KCTD17
KSHV	ATP6AP1
KSHV	NAGK
KSHV	HMGB1
KSHV	CCDC126
KSHV	DDX28
KSHV	MSH2
KSHV	TENT4B
KSHV	POM121
KSHV	NCL
KSHV	TUBA1A
KSHV	S100A7
KSHV	RANBP9
KSHV	SLBP
KSHV	RBL1
KSHV	ZC3H8
KSHV	NRF1
KSHV	NDUFB8
KSHV	DUT
KSHV	PTPN9
KSHV	PDIA4
KSHV	SDR16C5
KSHV	ELOC
KSHV	CNOT6
KSHV	ERI1
KSHV	FBXO11
KSHV	TP53
KSHV	PAICS
KSHV	TDP1
KSHV	PCNA
KSHV	SUN2
KSHV	EIF3M
KSHV	CHD3
KSHV	PPP5C
KSHV	ALYREF
KSHV	COX7C
KSHV	PGLYRP2
KSHV	RNF41
KSHV	POLR2A
KSHV	SURF6
KSHV	XPO4
KSHV	RAD51C
KSHV	PYGO2
KSHV	RBPJ
KSHV	POLR2L
KSHV	ATAD3A
KSHV	CAMLG
KSHV	NVL
KSHV	FUCA1
KSHV	PRKCSH
KSHV	IL6R
KSHV	RLIM
KSHV	NUP62
KSHV	CARM1
KSHV	PRKACA
KSHV	RPA3
KSHV	MRPS6
KSHV	PRR3
KSHV	MRPS33
KSHV	CNOT1
KSHV	MAT2B
KSHV	PTCD1
KSHV	CXorf56
KSHV	DCAF10
KSHV	SUMO2
KSHV	EPB41L3
KSHV	VKORC1L1
KSHV	FHL1
KSHV	GRB2
KSHV	FBXW7
KSHV	GNPAT
KSHV	LSM3
KSHV	NOMO1
KSHV	VHL
KSHV	RRM1
KSHV	CPSF6
KSHV	COX7A2L
KSHV	CDKN2A
KSHV	UBE3C
KSHV	NPM1
KSHV	EXOC2
KSHV	EXOC1
KSHV	ACAD11
KSHV	EIF6
KSHV	DNAJB11
KSHV	FAM8A1
KSHV	ASPSCR1
KSHV	ARL6IP4
KSHV	CHPT1
KSHV	ITSN2
KSHV	ATP6V1H
KSHV	NCK1
KSHV	EIF2A
KSHV	RBM27
KSHV	LAMTOR1
KSHV	RAB11FIP5
KSHV	ITM2B
KSHV	ITCH
KSHV	CREM
KSHV	NOA1
KSHV	CASP8
KSHV	SRR
KSHV	TIMM44
KSHV	NDUFS5
KSHV	ZCCHC17
KSHV	KIDINS220
KSHV	UBE2D1
KSHV	NOP9
KSHV	ATP6V0A1
KSHV	CRK
KSHV	GTF3C2
KSHV	NPS
KSHV	H2AC21
KSHV	TRIM41
KSHV	H2AZ1
KSHV	P3H4
KSHV	GOSR1
KSHV	H2AZ2
KSHV	GID4
KSHV	SLC39A10
KSHV	GPN3
KSHV	HTRA2
KSHV	KLHL4
KSHV	CALML5
KSHV	ACAP2
KSHV	HLTF
KSHV	HMGA1
KSHV	MAEA
KSHV	MKLN1
KSHV	HOXA5
KSHV	PDHA1
KSHV	PLOD1
KSHV	URI1
KSHV	NUP214
KSHV	RPAP3
KSHV	SNX18
KSHV	VMA21
KSHV	SNX9
KSHV	USP9Y
KSHV	TFCP2
KSHV	OLIG3
KSHV	GPX4
KSHV	CERS2
KSHV	CNOT2
KSHV	CNOT3
KSHV	PPT1
KSHV	HEATR3
KSHV	PPP2R2A
KSHV	EPB41
KSHV	OS9
KSHV	PUS7
KSHV	PRDX4
KSHV	IPO11
KSHV	BAZ1A
KSHV	CDC27
KSHV	H2AW
KSHV	CDK5
KSHV	BRD4
KSHV	BRD2
KSHV	ERCC6L
KSHV	PRMT8
KSHV	MRPS18A
KSHV	PHF8
KSHV	HPR
KSHV	PTPA
KSHV	GTPBP1
KSHV	PUM3
KSHV	SRSF3
KSHV	NSA2
KSHV	BOLA1
KSHV	RBM5
KSHV	NUP42
KSHV	TAOK1
KSHV	LIN28B
KSHV	MAPK3
KSHV	NUP88
KSHV	RBM6
KSHV	MRPS24
KSHV	FAT1
KSHV	SLC4A1AP
KSHV	FBN2
KSHV	SND1
KSHV	YTHDF3
KSHV	DPYSL3
KSHV	ELOB
KSHV	CNOT7
KSHV	ATP11C
KSHV	TRIM26
KSHV	OSBPL6
KSHV	OSBPL3
KSHV	UBE2I
KSHV	SCOC
KSHV	GSPT1
KSHV	PPP2R2D
KSHV	UBN1
KSHV	CDK2
KSHV	RALA
KSHV	COX7A2
KSHV	WDR18
KSHV	ERLEC1
KSHV	STAT3
KSHV	VAT1
KSHV	POLR2D
KSHV	ANO10
KSHV	EXOC7
KSHV	MPP7
KSHV	ZRANB2
KSHV	GLG1
KSHV	ZNF622
KSHV	FOXK1
KSHV	FUT8
KSHV	VANGL2
KSHV	CTNNA1
KSHV	SNRNP40
KSHV	RPAP2
KSHV	PIK3R1
KSHV	GALNT2
KSHV	RPS6KA1
KSHV	SRC
KSHV	RPS6KA3
KSHV	SACM1L
KSHV	ZER1
KSHV	DPPA2
KSHV	ISCA2
KSHV	COG8
KSHV	DCUN1D5
KSHV	EP300
KSHV	PTPN11
KSHV	TMEM106C
