Abbre	Gene
LCMV	ALDOA
LCMV	RPS26
LCMV	PRPF8
LCMV	RPS12
LCMV	EEF1B2
LCMV	TPR
LCMV	TCP1
LCMV	SNRPC
LCMV	RPL27A
LCMV	RPL28
LCMV	TPM4
LCMV	RPS14
LCMV	MYL12B
LCMV	AIFM1
LCMV	MYH4
LCMV	SNRPD3
LCMV	TPM1
LCMV	MYL12A
LCMV	H2AZ1
LCMV	RPS27
LCMV	TFG
LCMV	CALM1
LCMV	PRKDC
LCMV	SERBP1
LCMV	RPS24
LCMV	RPS10
LCMV	GNB1
LCMV	MYH9
LCMV	GAPDH
LCMV	ACP1
LCMV	AHNAK
LCMV	TNRC6B
LCMV	ACTN4
LCMV	CHERP
LCMV	RBMX
LCMV	RBM25
LCMV	RBMS1
LCMV	MYO6
LCMV	OGDH
LCMV	GNAI3
LCMV	GATAD2B
LCMV	THRAP3
LCMV	RPL18A
LCMV	PRDX1
LCMV	PDCD6
LCMV	PRPF38A
LCMV	SNRPA
LCMV	PARP1
LCMV	EIF3F
LCMV	SRSF7
LCMV	EPRS1
LCMV	RPS23
LCMV	RPLP2
LCMV	MRPL37
LCMV	RPL19
LCMV	RPL23
LCMV	PHGDH
LCMV	PCMT1
LCMV	SNRPD1
LCMV	RPL18
LCMV	RPS8
LCMV	C1orf35
LCMV	PHB
LCMV	PRDX3
LCMV	ALDH3A2
LCMV	RPS21
LCMV	RPL9
LCMV	ACTN1
LCMV	MRPL43
LCMV	RPL8
LCMV	SRSF4
LCMV	SPTBN1
LCMV	BAG4
LCMV	SNRNP40
LCMV	RARS1
LCMV	RACK1
LCMV	RPL27
LCMV	LASP1
LCMV	NCKAP1
LCMV	RPS20
LCMV	PCBP1
LCMV	AHCY
LCMV	PABPC1
LCMV	BCLAF1
LCMV	SRSF3
LCMV	DHX9
LCMV	PABPC4
LCMV	SPTAN1
LCMV	EEF1D
LCMV	SYNE1
LCMV	PRPF19
LCMV	AHNAK2
LCMV	ATP1A1
LCMV	FAU
LCMV	RPL5
LCMV	SRSF6
LCMV	FAM98A
LCMV	MRPS18B
LCMV	MRPL12
LCMV	RPS3
LCMV	PDIA6
LCMV	PGAM5
LCMV	RPS5
LCMV	RPS7
LCMV	DDX21
LCMV	SF3B2
LCMV	NUFIP2
LCMV	RPS15A
LCMV	NONO
LCMV	RPS29
LCMV	PCBP2
LCMV	ATP5F1B
LCMV	SNRPB
LCMV	LUC7L2
LCMV	PSMD13
LCMV	CYFIP2
LCMV	MYO1C
LCMV	SLC25A5
LCMV	KRT81
LCMV	PSMB6
LCMV	RPLP1
LCMV	ERH
LCMV	ELOB
LCMV	SRSF1
LCMV	RPL12
LCMV	SNU13
LCMV	MRPL11
LCMV	RPL11
LCMV	EEF1A1
LCMV	SNRPF
LCMV	SSB
LCMV	TIMM50
LCMV	NCBP1
LCMV	NCBP2
LCMV	NOP2
LCMV	TUBA4B
LCMV	H2BC11
LCMV	TUFM
LCMV	P4HB
LCMV	U2SURP
LCMV	YWHAE
LCMV	CCT2
LCMV	HNRNPL
LCMV	HNRNPH2
LCMV	RTCB
LCMV	CLTB
LCMV	PSMB5
LCMV	DDX3X
LCMV	SFPQ
LCMV	DYNLL1
LCMV	DLAT
LCMV	DHX15
LCMV	RBM14
LCMV	LARP1
LCMV	SF3B3
LCMV	RPL24
LCMV	CUL5
LCMV	SET
LCMV	MYO1B
LCMV	RPA1
LCMV	RPL6
LCMV	RPL4
LCMV	MOV10
LCMV	MAP1B
LCMV	SRRM1
LCMV	NPM1
LCMV	NKRF
LCMV	SRRM2
LCMV	SNRPD2
LCMV	DNAJA1
LCMV	DYNC1H1
