Abbre	Gene
MERS-CoV	KPNA3
MERS-CoV	SMAD2
MERS-CoV	PIGS
MERS-CoV	RTKN
MERS-CoV	ASCC2
MERS-CoV	UBR5
MERS-CoV	RBMS2
MERS-CoV	CREG1
MERS-CoV	ZNF346
MERS-CoV	KPNA2
MERS-CoV	FAM189B
MERS-CoV	PPP2R2A
MERS-CoV	RDH13
MERS-CoV	TIMM8A
MERS-CoV	TUT7
MERS-CoV	RCHY1
MERS-CoV	CSNK2A2
MERS-CoV	PRKRA
MERS-CoV	PWP2
MERS-CoV	MAPK1
MERS-CoV	KPNA1
MERS-CoV	UNK
MERS-CoV	AKAP9
MERS-CoV	SUMF2
MERS-CoV	TCF25
MERS-CoV	YTHDC2
MERS-CoV	KPNA5
MERS-CoV	SEL1L
MERS-CoV	TOR1AIP2
MERS-CoV	NNT
MERS-CoV	PPP1R7
MERS-CoV	ACADL
MERS-CoV	USP7
MERS-CoV	CLCC1
MERS-CoV	TPP2
MERS-CoV	RRS1
MERS-CoV	C1QBP
MERS-CoV	SUGP2
MERS-CoV	UBL4A
MERS-CoV	MAP7
MERS-CoV	UTP11
MERS-CoV	NGLY1
MERS-CoV	ZFR
MERS-CoV	ATP6AP2
MERS-CoV	DIPK2A
MERS-CoV	ARMCX3
MERS-CoV	ATAD1
MERS-CoV	ATP13A1
MERS-CoV	POR
MERS-CoV	ACSL3
MERS-CoV	NOL8
MERS-CoV	CEP85L
MERS-CoV	PSMC4
MERS-CoV	TGS1
MERS-CoV	CSNK2A1
MERS-CoV	MAPK3
MERS-CoV	CEP170
MERS-CoV	RNH1
MERS-CoV	PSMD9
MERS-CoV	TNPO3
MERS-CoV	SARM1
MERS-CoV	EBNA1BP2
MERS-CoV	ZNF691
MERS-CoV	NINL
MERS-CoV	LETMD1
MERS-CoV	DNPEP
MERS-CoV	ERLEC1
MERS-CoV	KPNA6
MERS-CoV	IGHV3-72
MERS-CoV	TMEM43
MERS-CoV	NUP153
MERS-CoV	EIF3M
MERS-CoV	FAM162A
MERS-CoV	GPHN
MERS-CoV	BRI3BP
MERS-CoV	ERCC3
MERS-CoV	USP28
MERS-CoV	TFRC
MERS-CoV	IPO7
MERS-CoV	GTSE1
MERS-CoV	WDR59
MERS-CoV	MARC1
MERS-CoV	RRP36
MERS-CoV	MPHOSPH6
MERS-CoV	RCBTB1
MERS-CoV	NME4
MERS-CoV	MTOR
MERS-CoV	TIMM9
MERS-CoV	AGK
MERS-CoV	TP53
MERS-CoV	ZFPL1
MERS-CoV	NOL6
MERS-CoV	CEP72
MERS-CoV	STXBP3
MERS-CoV	STAT3
MERS-CoV	NDUFAF3
MERS-CoV	P4HA1
MERS-CoV	DCAKD
MERS-CoV	CEBPZOS
MERS-CoV	ZCCHC9
MERS-CoV	CBX8
MERS-CoV	TXNRD1
MERS-CoV	EIF3C
MERS-CoV	ZNF787
MERS-CoV	DAP3
MERS-CoV	NUP210
MERS-CoV	FANCI
MERS-CoV	KPNA4
MERS-CoV	TBC1D15
MERS-CoV	ATAD3B
MERS-CoV	ATL3
MERS-CoV	MAN2B2
MERS-CoV	CNPY4
MERS-CoV	B4GAT1
MERS-CoV	RNASEH1
MERS-CoV	MOCOS
MERS-CoV	BAG6
MERS-CoV	CHPF
MERS-CoV	QSOX2
MERS-CoV	FOXC1
MERS-CoV	VWA8
MERS-CoV	GSPT1
MERS-CoV	DNAJB9
MERS-CoV	PPP2R1A
MERS-CoV	NAGLU
MERS-CoV	SLC27A2
MERS-CoV	NME1
MERS-CoV	HEATR1
MERS-CoV	PDK1
MERS-CoV	TELO2
MERS-CoV	OS9
MERS-CoV	AATF
MERS-CoV	ZNF609
MERS-CoV	MIB1
MERS-CoV	IPO11
MERS-CoV	LMAN1
MERS-CoV	CEP135
MERS-CoV	ZBTB16
MERS-CoV	CYB5R3
MERS-CoV	DIS3L
MERS-CoV	SAE1
MERS-CoV	PIGK
MERS-CoV	TUBGCP2
MERS-CoV	LMAN2L
MERS-CoV	GDPD1
MERS-CoV	PIGT
MERS-CoV	PCM1
MERS-CoV	LARP7
MERS-CoV	STIM1
MERS-CoV	IGF2R
MERS-CoV	FTSJ3
MERS-CoV	FXR2
MERS-CoV	NUP50
MERS-CoV	GOLGA2
MERS-CoV	GNL2
MERS-CoV	GOLGA3
MERS-CoV	EXOSC8
MERS-CoV	CCAR1
MERS-CoV	GCN1
MERS-CoV	KEAP1
MERS-CoV	ALDH7A1
MERS-CoV	GPRASP2
MERS-CoV	SELENOS
MERS-CoV	YIPF6
MERS-CoV	ATP6V1B2
MERS-CoV	CCDC28A
MERS-CoV	MARK2
MERS-CoV	ASCC1
MERS-CoV	MTREX
MERS-CoV	WDR11
MERS-CoV	ASCC3
MERS-CoV	B3GAT3
MERS-CoV	RAD23B
MERS-CoV	MYL6B
MERS-CoV	SRP54
MERS-CoV	AKAP8L
MERS-CoV	TRMT2A
MERS-CoV	XPNPEP3
MERS-CoV	MYO1E
MERS-CoV	AKAP17A
MERS-CoV	TPM1
MERS-CoV	NIN
MERS-CoV	DDX27
MERS-CoV	TPM4
MERS-CoV	RRP7A
MERS-CoV	CCDC86
MERS-CoV	WDTC1
MERS-CoV	EXOSC1
MERS-CoV	NSFL1C
MERS-CoV	IMP4
MERS-CoV	PDE4DIP
MERS-CoV	METTL16
MERS-CoV	DNAJB1
MERS-CoV	WDR12
MERS-CoV	MRPL11
MERS-CoV	OCIAD1
MERS-CoV	PRKAR2A
MERS-CoV	GIGYF2
MERS-CoV	PRKAR2B
MERS-CoV	GARS
MERS-CoV	MRE11
MERS-CoV	MRPS28
MERS-CoV	DCP1A
MERS-CoV	MRPS33
MERS-CoV	NVL
MERS-CoV	MRPS5
MERS-CoV	QTRT1
MERS-CoV	SLC27A4
MERS-CoV	RRP9
MERS-CoV	RAD50
MERS-CoV	ABHD12
MERS-CoV	RBMS1
MERS-CoV	GALNT2
MERS-CoV	ACOT8
MERS-CoV	TCF3
MERS-CoV	LSM3
MERS-CoV	TNRC6B
MERS-CoV	PCNT
MERS-CoV	CEP131
MERS-CoV	CENPF
MERS-CoV	CEBPZ
MERS-CoV	DDX10
MERS-CoV	ALDH9A1
MERS-CoV	CEP250
MERS-CoV	PTGES2
MERS-CoV	RSL24D1
MERS-CoV	PRKACA
MERS-CoV	DICER1
MERS-CoV	ERC1
MERS-CoV	WLS
MERS-CoV	SRP72
MERS-CoV	FYCO1
