Abbre	Gene
MV	CCT7
MV	XPOT
MV	GLTP
MV	DNAJB11
MV	RPL5
MV	EEF1A1
MV	UQCRC2
MV	SLC25A6
MV	SF3B3
MV	DOCK3
MV	XPO5
MV	COPB1
MV	SLC25A4
MV	COA7
MV	SLC37A4
MV	DNAJA3
MV	RPL6
MV	VCP
MV	SERBP1
MV	TAGLN2
MV	NDUFAF3
MV	UQCRC1
MV	CDIPT
MV	NDUFA8
MV	UFL1
MV	UBE2S
MV	DNAJA4
MV	STIP1
MV	NDUFA5
MV	DNAJA2
MV	PPP2R5A
MV	AIFM1
MV	NDUFAF4
MV	CCT5
MV	RPN2
MV	RPS18
MV	RCHY1
MV	RPS26
MV	RPS27
MV	CFL1
MV	TIMM13
MV	ASPH
MV	GANAB
MV	DHRS7B
MV	DNAJA1
MV	DHRS7
MV	NDUFA13
MV	SYNJ2BP
MV	GID8
MV	UBE2C
MV	AGK
MV	DNAJB1
MV	CLPX
MV	PRKDC
MV	FOXK1
MV	STAT2
MV	FKBP8
MV	CAD
MV	SEC61A1
MV	NDUFA4
MV	XPO1
MV	PCBP2
MV	ATP2A2
MV	CD46
MV	SLC25A5
MV	DNAJC7
MV	ECPAS
MV	RPL4
MV	CHCHD3
MV	THOC2
MV	KDELR2
MV	DDX6
MV	PRDX1
MV	PRDX3
MV	GIGYF1
MV	AFG3L2
MV	SV2A
MV	CCT6A
MV	EIF3I
MV	SLC2A1
MV	PPP6C
MV	CALM1
MV	FAR1
MV	TUBB2A
MV	EEF1B2
MV	VAPA
MV	SDF4
MV	EIF4A1
MV	LARS1
MV	LAMP1
MV	CLN6
MV	CDC42EP1
MV	PPP6R3
MV	CPSF6
MV	CEPT1
MV	TIMM10
MV	DDX58
MV	FANCI
MV	ST13
MV	DHCR7
MV	CCT4
MV	SDHA
MV	CCDC85C
MV	TUBB6
MV	VIM
MV	TUFM
MV	CLTA
MV	LMAN2
MV	STAT1
MV	COX17
MV	DPM1
MV	GTF3C1
MV	FANCD2
MV	STT3A
MV	MTHFD2
MV	SLC25A22
MV	SLC25A18
MV	SYNGR1
MV	CLPP
MV	TUBB
MV	TUBA1B
MV	DNAJC11
MV	C1QBP
MV	HNRNPD
MV	XRCC5
MV	GTF3C3
MV	NAP1L1
MV	VDAC1
MV	FOXK2
MV	STOML2
MV	SLC25A19
MV	GCN1
MV	NDUFS3
MV	PPP2R5D
MV	ELOC
MV	ARCN1
MV	TRIM28
MV	TTC1
MV	BSG
MV	TUBA1C
MV	STAT3
MV	WDR6
MV	TMEM109
MV	ACOT8
MV	SLC25A3
MV	SLC25A33
MV	PCMT1
MV	DAD1
MV	HNRNPDL
MV	RPL31
MV	NUDT21
MV	GOPC
MV	SLC1A5
MV	HADHB
MV	STUB1
MV	TUBB2B
MV	TIMMDC1
MV	CCDC124
MV	RPL26
MV	DDOST
MV	TARS2
MV	TUBA1A
MV	CHP1
MV	PELO
MV	PCYOX1
MV	RPS6
MV	XRCC6
MV	VDAC2
MV	EIF3H
MV	CCT3
MV	RAB5C
MV	HIGD1A
MV	TCP1
MV	HNRNPF
MV	RPL35
MV	MLF2
MV	S100A11
MV	DDB1
MV	DARS1
MV	MTA1
MV	SEC61B
MV	SEC22B
MV	RPN1
MV	CCT2
MV	ADRM1
MV	HNRNPC
MV	FAM162A
MV	RPS14
MV	SF3B6
MV	PSMD2
MV	SFXN1
MV	TECR
MV	AP1G1
MV	USP7
MV	VAT1
MV	SDF2L1
MV	RPL9
MV	KRTCAP2
MV	ACTB
MV	TXN
MV	FAM186B
MV	EIF3B
MV	ATP5F1B
MV	TMPO
MV	TMEM205
MV	COPG2
MV	NECTIN4
MV	M6PR
MV	TMED2
MV	IARS1
MV	CBWD6
MV	RPLP2
MV	PCBP1
MV	UVRAG
MV	BCAP31
MV	PPP2CB
MV	AURKB
MV	PPP2R5C
MV	RPL19
MV	BZW1
MV	SSR4
MV	TUBB4A
MV	EIF2S1
MV	SLC25A21
MV	TUBB4B
MV	RPL24
MV	ATP1B3
MV	IMPDH2
MV	RPL36
MV	RPL3
MV	PSMC5
MV	IRF7
MV	KNDC1
MV	TFRC
MV	ARL8A
MV	C3
MV	HUWE1
MV	OSGEP
MV	SLC25A11
MV	GCDH
MV	SLC25A12
MV	RAB6A
MV	CLPB
MV	LETM1
MV	RAD23A
MV	ELOB
MV	HNRNPH1
MV	YBX1
MV	CHD4
MV	RPLP0
MV	HSPH1
MV	GATAD2A
MV	TMA7
MV	PPP2R5E
MV	TP53
MV	AUP1
MV	RUVBL2
MV	RPL17
MV	CYB5B
MV	MLLT11
MV	HYOU1
MV	NCL
MV	MT-CO2
MV	HEATR1
MV	RAB1B
MV	TUBB3
MV	CCDC47
MV	PRPF8
MV	IMMT
MV	IPO7
MV	IRS4
MV	RPL29
MV	PSMD3
MV	NIPSNAP1
MV	KPNA2
MV	CHCHD6
MV	MMS19
MV	RPLP1
MV	LAGE3
MV	RPL7
MV	RAB14
MV	ATP1A1
MV	PARP1
MV	HM13
MV	MICOS13
MV	PCNA
MV	LYPLAL1
MV	HNRNPK
MV	RPS3A
MV	HAX1
MV	ERP44
MV	PPP2R1B
MV	PPP2R1A
MV	SSBP1
MV	CSE1L
MV	RPL13
MV	SRSF2
MV	PSMC2
MV	SACM1L
MV	BAX
MV	MTA2
MV	DDX3X
MV	HSPA5
MV	KPNB1
MV	EEF2
MV	HSPA1A
MV	CANX
MV	IFIH1
MV	RPL23A
MV	IRF3
MV	PABPC1
MV	RPL27
MV	RACK1
MV	GNB3
MV	NOMO3
MV	VAMP3
MV	SCAMP3
MV	YWHAZ
MV	OSBPL8
MV	SLC25A13
MV	CALR
MV	NUP205
MV	RAB21
MV	HSPA4L
MV	RPL15
MV	ATXN10
MV	PGAM5
MV	COPA
MV	RPS4X
MV	TYK2
MV	HADHA
MV	SSR3
MV	PPP2CA
MV	BAG2
MV	PHGDH
MV	MGME1
MV	SQSTM1
MV	IRAK1
MV	MAGED2
MV	RUVBL1
MV	DLST
MV	CYB5R3
MV	RARS1
MV	HSP90AB1
MV	TIMM23
MV	RPL21
MV	RPL22
MV	DOCK7
MV	ABHD12
MV	RAB10
MV	MBD3
MV	ATXN2L
MV	ATP5F1A
MV	TNPO2
MV	PTRH2
MV	RPL18
MV	HSPBP1
MV	TNPO3
MV	TMED10
MV	TIMM50
MV	SLC25A1
MV	RAB11A
MV	SNRPF
MV	TRAP1
MV	CPT2
MV	RHBDD2
MV	HSPA1L
MV	ATP5MF
MV	PTMA
MV	SKP1
MV	RELA
MV	FAF2
MV	ESYT2
MV	SSR1
MV	TRAFD1
MV	RPL23
MV	TNS2
MV	COX5A
MV	RPL12
MV	MAIP1
MV	SCO2
MV	SLAMF1
MV	RPS28
MV	MAD2L1
MV	EEF1G
MV	DHX58
MV	RPL8
MV	KRT10
MV	ERLIN2
MV	COX6C
MV	PNKD
MV	YWHAB
MV	MARS1
MV	TMEM33
MV	HSPA6
MV	ATP5PD
MV	ALG1
MV	LZTR1
MV	POLDIP2
MV	ZMPSTE24
MV	POLR2H
MV	TOMM70
MV	JAK1
MV	SLC25A10
MV	PI4KA
MV	ATP5PO
MV	ATP5PF
MV	RAB7A
MV	ATP5PB
MV	RANBP9
MV	SLC16A1
MV	GTF3C6
