Abbre	Gene
SARS-CoV-2	NF1
SARS-CoV-2	RAB8A
SARS-CoV-2	MCFD2
SARS-CoV-2	SLC4A4
SARS-CoV-2	NCAPG2
SARS-CoV-2	INTS8
SARS-CoV-2	MTHFD1L
SARS-CoV-2	SLC23A2
SARS-CoV-2	TM9SF3
SARS-CoV-2	LTN1
SARS-CoV-2	TMED10
SARS-CoV-2	TM9SF4
SARS-CoV-2	TM9SF2
SARS-CoV-2	RAB18
SARS-CoV-2	NDUFA12
SARS-CoV-2	MAIP1
SARS-CoV-2	SLC16A6
SARS-CoV-2	RABL3
SARS-CoV-2	MALL
SARS-CoV-2	RAB7A
SARS-CoV-2	SCAMP4
SARS-CoV-2	PFKP
SARS-CoV-2	TIMM17B
SARS-CoV-2	SLC30A1
SARS-CoV-2	PIGS
SARS-CoV-2	ACSF2
SARS-CoV-2	MT-CO2
SARS-CoV-2	SNX1
SARS-CoV-2	ACAT1
SARS-CoV-2	RBM41
SARS-CoV-2	MED24
SARS-CoV-2	STK11IP
SARS-CoV-2	LMNB1
SARS-CoV-2	MGRN1
SARS-CoV-2	RTN4
SARS-CoV-2	INTS5
SARS-CoV-2	TLCD4
SARS-CoV-2	TMEM159
SARS-CoV-2	RAB32
SARS-CoV-2	MYOF
SARS-CoV-2	SMS
SARS-CoV-2	MFSD3
SARS-CoV-2	CAVIN1
SARS-CoV-2	SYMPK
SARS-CoV-2	SLC12A6
SARS-CoV-2	MTFR1L
SARS-CoV-2	P3H4
SARS-CoV-2	HSPA7
SARS-CoV-2	SLC12A7
SARS-CoV-2	SLC39A14
SARS-CoV-2	TMED9
SARS-CoV-2	TIMM17A
SARS-CoV-2	FAF2
SARS-CoV-2	SLC6A6
SARS-CoV-2	LMBRD2
SARS-CoV-2	TCIRG1
SARS-CoV-2	SAAL1
SARS-CoV-2	SLK
SARS-CoV-2	SLC30A7
SARS-CoV-2	TMEM135
SARS-CoV-2	OPA3
SARS-CoV-2	PC
SARS-CoV-2	RHBDD3
SARS-CoV-2	MCM3AP
SARS-CoV-2	SNX2
SARS-CoV-2	SLC4A2
SARS-CoV-2	STIM1
SARS-CoV-2	SERPINH1
SARS-CoV-2	CTSB
SARS-CoV-2	SRXN1
SARS-CoV-2	NDUFA10
SARS-CoV-2	INTS1
SARS-CoV-2	MGLL
SARS-CoV-2	SHTN1
SARS-CoV-2	MET
SARS-CoV-2	CAV1
SARS-CoV-2	TMED2
SARS-CoV-2	RAP1GDS1
SARS-CoV-2	TMED4
SARS-CoV-2	NDFIP1
SARS-CoV-2	STAM2
SARS-CoV-2	INTS12
SARS-CoV-2	YIF1A
SARS-CoV-2	SELENOK
SARS-CoV-2	ARF6
SARS-CoV-2	PDS5A
SARS-CoV-2	METTL7B
SARS-CoV-2	MROH1
SARS-CoV-2	RAB10
SARS-CoV-2	FOXRED2
SARS-CoV-2	SLC6A15
SARS-CoV-2	MACO1
SARS-CoV-2	NCOA4
SARS-CoV-2	SLC35F6
SARS-CoV-2	COG4
SARS-CoV-2	SLC26A2
SARS-CoV-2	INHBE
SARS-CoV-2	RELL1
SARS-CoV-2	DPY19L2
SARS-CoV-2	RNF130
SARS-CoV-2	SYNGR3
SARS-CoV-2	NUP93
SARS-CoV-2	RAB14
SARS-CoV-2	SLC7A6
SARS-CoV-2	KIAA0355
SARS-CoV-2	SGCE
SARS-CoV-2	SHC1
SARS-CoV-2	REEP6
SARS-CoV-2	NCAPD3
SARS-CoV-2	RHBDF2
SARS-CoV-2	DNMT1
SARS-CoV-2	PEX2
SARS-CoV-2	SLC12A4
SARS-CoV-2	PRKAR2A
SARS-CoV-2	PIGU
SARS-CoV-2	ORC4
SARS-CoV-2	AK4
SARS-CoV-2	CAV2
SARS-CoV-2	SLC19A2
SARS-CoV-2	RALA
SARS-CoV-2	SEMA4C
SARS-CoV-2	SLC20A1
SARS-CoV-2	FADS2
SARS-CoV-2	AP2M1
SARS-CoV-2	NDRG1
SARS-CoV-2	MIPEP
SARS-CoV-2	IL13RA1
SARS-CoV-2	TMEM106C
SARS-CoV-2	SNAP25
SARS-CoV-2	PTDSS2
SARS-CoV-2	TARS2
SARS-CoV-2	STOM
SARS-CoV-2	RNPEP
SARS-CoV-2	NAPG
SARS-CoV-2	STX2
SARS-CoV-2	IL17RA
SARS-CoV-2	SCAI
SARS-CoV-2	SLC27A2
SARS-CoV-2	TTC13
SARS-CoV-2	FXYD2
SARS-CoV-2	RHEB
SARS-CoV-2	IPO13
SARS-CoV-2	ERO1B
SARS-CoV-2	ERP44
SARS-CoV-2	NIPA1
SARS-CoV-2	MYRF
SARS-CoV-2	REEP5
SARS-CoV-2	L2HGDH
SARS-CoV-2	RAB5B
SARS-CoV-2	SYPL1
SARS-CoV-2	CD44
SARS-CoV-2	SEMA4B
SARS-CoV-2	PTPRD
SARS-CoV-2	C6orf120
SARS-CoV-2	CALU
SARS-CoV-2	FANCI
SARS-CoV-2	PMEPA1
SARS-CoV-2	IRAK1
SARS-CoV-2	JAK2
SARS-CoV-2	MT-ATP6
SARS-CoV-2	RAB5C
SARS-CoV-2	HEATR3
SARS-CoV-2	SLC33A1
SARS-CoV-2	HYOU1
SARS-CoV-2	UTP20
SARS-CoV-2	RDX
SARS-CoV-2	LOX
SARS-CoV-2	RIPK1
