Abbre	Gene
VACV	SPRR2A
VACV	UBE3A
VACV	LAMC2
VACV	TUBB8B
VACV	LUC7L
VACV	RBM12B
VACV	H2AC7
VACV	EGLN1
VACV	H2BC12
VACV	H2AJ
VACV	MAST1
VACV	JUP
VACV	RNF11
VACV	PHLDA1
VACV	H2AW
VACV	NABP1
VACV	MYOZ1
VACV	NCOR1
VACV	PDLIM1
VACV	STAU2
VACV	TUBB8
VACV	IFNG
VACV	LRIG1
VACV	SYNCRIP
VACV	TUBB4B
VACV	CCL1
VACV	CDC37
VACV	C6orf58
VACV	PDIA6
VACV	MAST4
VACV	ZFPM2
VACV	EIF2S2
VACV	F8
VACV	SPRR2G
VACV	SKP1
VACV	H2BC14
VACV	RPL27A
VACV	ANXA1
VACV	MBD2
VACV	MBTD1
VACV	SBSN
VACV	MYH14
VACV	CNTRL
VACV	NPM1
VACV	KIF2C
VACV	H2AC6
VACV	BAP1
VACV	SPRR2E
VACV	VASP
VACV	TNNI2
VACV	CIR1
VACV	PPIG
VACV	SUN2
VACV	NCOR2
VACV	ZNF436
VACV	RPS23
VACV	QSOX1
VACV	EEF1A2
VACV	HSPA5
VACV	PF4
VACV	SPIRE1
VACV	CIT
VACV	ABHD5
VACV	ILF3
VACV	TUBB2A
VACV	H2BC18
VACV	SEPTIN6
VACV	CHUK
VACV	TUBA1C
VACV	H1-6
VACV	RBM3
VACV	CCL21
VACV	H2AC12
VACV	SLK
VACV	SLC25A6
VACV	BTRC
VACV	URI1
VACV	H2BC13
VACV	USP9X
VACV	TUBB
VACV	DDX3X
VACV	PLSCR4
VACV	CD2BP2
VACV	KRT4
VACV	COBLL1
VACV	GTF3C3
VACV	SNX5
VACV	ANXA2
VACV	SCRIB
VACV	HSPB1
VACV	TIRAP
VACV	TCTA
VACV	CRYAB
VACV	ERLIN1
VACV	H2BC15
VACV	ZG16B
VACV	WNK1
VACV	COL6A3
VACV	LARP7
VACV	EEF1A1
VACV	TNF
VACV	XPA
VACV	RPL22
VACV	MAPK8IP1
VACV	IL32
VACV	MAST2
VACV	EXOC7
VACV	PIK3CA
VACV	TP53
VACV	CDR2
VACV	BIN1
VACV	CCL17
VACV	RBMX
VACV	H2AC20
VACV	H2AC14
VACV	HNRNPC
VACV	MIA3
VACV	SPTBN1
VACV	PCCB
VACV	PDCD6IP
VACV	PIP
VACV	CTNNA1
VACV	HNRNPA1
VACV	APPBP2
VACV	SLC25A4
VACV	HNRNPD
VACV	IL4I1
VACV	PPBP
VACV	STAU1
VACV	OFD1
VACV	CAND1
VACV	MAP2K7
VACV	KLC3
VACV	CLTC
VACV	RUNDC1
VACV	TBK1
VACV	NUS1
VACV	S100A7
VACV	IRS4
VACV	UBC
VACV	HNRNPK
VACV	HNRNPAB
VACV	TRIM11
VACV	TCHP
VACV	SPRR2B
VACV	BBC3
VACV	HNRNPU
VACV	ENO1
VACV	ENO2
VACV	ACACA
VACV	PALMD
VACV	GOLGA2
VACV	DEAF1
VACV	CEP135
VACV	CXCL3
VACV	LMNB2
VACV	TRAF6
VACV	HLA-DRA
VACV	LMNB1
VACV	CTNNBIP1
VACV	LMO7
VACV	ILF2
VACV	RAD50
VACV	ATP6V0C
VACV	KHDRBS1
VACV	CCDC80
VACV	VCPIP1
VACV	SON
VACV	CCL28
VACV	SPRR2D
VACV	SLC25A5
VACV	TMED7
VACV	BCL2L11
VACV	HNRNPA2B1
VACV	MFSD3
VACV	MYOM1
VACV	RILPL1
VACV	UNG
VACV	STAT1
VACV	TNNI1
VACV	ST8SIA4
VACV	TLR4
VACV	H2BC9
VACV	TICAM1
VACV	CCL25
VACV	STRN
VACV	HNRNPR
VACV	HRNR
VACV	LCN1
VACV	CDC42BPB
VACV	EIF2AK2
VACV	AHNAK2
VACV	AP2B1
VACV	AZI2
VACV	PIK3R1
VACV	CCL26
VACV	NYNRIN
VACV	H3-4
VACV	ARNTL
VACV	FYCO1
VACV	TUBA1A
VACV	ENO3
VACV	MATN2
VACV	UTRN
VACV	SLC25A3
VACV	LAMA1
VACV	APLP2
VACV	ZC3H11A
VACV	PIK3CB
VACV	NEFH
VACV	ERP44
VACV	ACAP2
VACV	N4BP1
VACV	BAD
VACV	COL4A3
VACV	ATP1A3
VACV	BID
VACV	CKB
VACV	TPD52
VACV	H2BS1
VACV	UBE2L6
VACV	JUN
VACV	DDX19B
VACV	RPL21
VACV	GPS2
VACV	H2BC5
VACV	CUL3
VACV	PRDX4
VACV	LAP3
VACV	KPNA2
VACV	IRAK2
VACV	TUBB2B
VACV	TRAPPC5
VACV	DDX19A
VACV	H1-1
VACV	SEPTIN8
VACV	TSPYL2
VACV	WNK2
VACV	MCCC2
VACV	ADAR
VACV	DUSP1
VACV	AKIRIN2
VACV	PMAIP1
VACV	BAK1
VACV	R3HCC1
VACV	BPIFB1
VACV	WNK3
VACV	PIK3R3
VACV	RAI14
VACV	YBX1
VACV	KIF5B
VACV	RPS27A
VACV	SMAD1
VACV	DHX9
VACV	CWF19L2
VACV	TNIP2
VACV	DSP
VACV	RANBP2
VACV	SPTBN2
VACV	PIK3R2
VACV	SFPQ
VACV	TANK
VACV	YAF2
VACV	SYNE2
VACV	BAX
VACV	ATP5PB
VACV	TBKBP1
VACV	CGRRF1
VACV	IKBKG
VACV	HSPA2
VACV	TRIP11
VACV	LZTS2
VACV	KHNYN
VACV	PRKAR2A
VACV	IKBKB
VACV	KPNA5
VACV	ATP1A1
VACV	HSP90AB1
VACV	AUP1
