Abbre	Gene
ZIKV	SAAL1
ZIKV	RSL1D1
ZIKV	ALG2
ZIKV	MTAP
ZIKV	RBBP6
ZIKV	RRP1B
ZIKV	SACM1L
ZIKV	RPS9
ZIKV	RPL34
ZIKV	MT-CO2
ZIKV	MRPL41
ZIKV	SMDT1
ZIKV	MSH6
ZIKV	AGPAT5
ZIKV	MRPL38
ZIKV	RALA
ZIKV	PSME3IP1
ZIKV	AHCYL1
ZIKV	SC5D
ZIKV	WDR83
ZIKV	RBM10
ZIKV	ANKRD52
ZIKV	NAT10
ZIKV	ANKLE2
ZIKV	SLC49A4
ZIKV	SELENOF
ZIKV	EIF2B4
ZIKV	RAB35
ZIKV	PRPF38A
ZIKV	NAP1L1
ZIKV	RPSA
ZIKV	RPL30
ZIKV	RPL6
ZIKV	MRPL13
ZIKV	MRPL16
ZIKV	C7orf50
ZIKV	RPL27A
ZIKV	RPN1
ZIKV	SLC4A1AP
ZIKV	RPL7A
ZIKV	AQR
ZIKV	RPL7
ZIKV	ANO10
ZIKV	MRPL37
ZIKV	RPL5
ZIKV	ABCB6
ZIKV	ZNF668
ZIKV	BRIX1
ZIKV	RRP12
ZIKV	RPL35A
ZIKV	UTP20
ZIKV	MRTO4
ZIKV	ANKS3
ZIKV	ANKS6
ZIKV	PUF60
ZIKV	RPS2
ZIKV	NAP1L4
ZIKV	PIGO
ZIKV	FIG4
ZIKV	AGK
ZIKV	AFF4
ZIKV	MRPL39
ZIKV	STAT2
ZIKV	EED
ZIKV	BCLAF1
ZIKV	RPS15A
ZIKV	EIF3M
ZIKV	RPS19
ZIKV	RPL38
ZIKV	RPL4
ZIKV	MYBBP1A
ZIKV	CEP63
ZIKV	SCAMP3
ZIKV	ATE1
ZIKV	RPS8
ZIKV	DDX31
ZIKV	BSG
ZIKV	OTULIN
ZIKV	SLC44A1
ZIKV	APC
ZIKV	MTCH2
ZIKV	RPS17
ZIKV	ATP2B2
ZIKV	CASC4
ZIKV	RPL3
ZIKV	ABHD12
ZIKV	ADAMTS12
ZIKV	NCL
ZIKV	ATR
ZIKV	EVI5L
ZIKV	RPL35
ZIKV	YTHDC2
ZIKV	ZBTB11
ZIKV	EIF3C
ZIKV	DERL2
ZIKV	C1orf198
ZIKV	WDR76
ZIKV	PQBP1
ZIKV	PREPL
ZIKV	PRMT1
ZIKV	PIEZO1
ZIKV	WDR70
ZIKV	MRPL3
ZIKV	SRSF8
ZIKV	RPL8
ZIKV	BCR
ZIKV	BLM
ZIKV	RPN2
ZIKV	MTDH
ZIKV	EXTL2
ZIKV	C12orf57
ZIKV	CEP250
ZIKV	CBLL1
ZIKV	MRPL24
ZIKV	MRPL28
ZIKV	USP15
ZIKV	RPL18A
ZIKV	USP24
ZIKV	UTP23
ZIKV	VAMP7
ZIKV	UXS1
ZIKV	RPS16
ZIKV	RPS18
ZIKV	RPL31
ZIKV	RPS5
ZIKV	PFKL
ZIKV	ACAD9
ZIKV	CBY2
ZIKV	RPS6
ZIKV	RPS7
ZIKV	MRPS6
ZIKV	DHX37
ZIKV	MRPS9
ZIKV	DDX24
ZIKV	PPWD1
ZIKV	RPL36AL
ZIKV	ATP2A2
ZIKV	SMIM20
ZIKV	FANCM
ZIKV	SPEN
ZIKV	DDX10
ZIKV	SRPRA
ZIKV	SRRM1
ZIKV	ZNF574
ZIKV	BAZ1B
ZIKV	CAMK2G
ZIKV	RPLP2
ZIKV	MRPL45
ZIKV	MRPL54
ZIKV	RPS15
ZIKV	C18orf25
ZIKV	BET1L
ZIKV	RHOT1
ZIKV	SPTLC2
ZIKV	GPR107
ZIKV	HDGFL2
ZIKV	MRPL9
ZIKV	RMDN3
ZIKV	LPGAT1
ZIKV	PACC1
ZIKV	RPL23
ZIKV	RPL26
ZIKV	RPL32
ZIKV	RPS4Y1
ZIKV	RPL29
ZIKV	DDB1
ZIKV	PHF8
ZIKV	AAR2
ZIKV	EPHX1
ZIKV	ERMP1
ZIKV	XPOT
ZIKV	YTHDC1
ZIKV	AIFM1
ZIKV	PLIN3
ZIKV	DDX3Y
ZIKV	EME2
ZIKV	MEX3C
ZIKV	ZC3H14
ZIKV	GADD45GIP1
ZIKV	ZC3H7B
ZIKV	ZCCHC17
ZIKV	ZER1
ZIKV	ZMPSTE24
ZIKV	DIMT1
ZIKV	MRPL35
ZIKV	SCD
ZIKV	SEC61A1
ZIKV	SEC61B
ZIKV	SERBP1
ZIKV	RPS13
ZIKV	RPS12
ZIKV	EIF2B3
ZIKV	RHEB
ZIKV	CEPT1
ZIKV	UQCRB
ZIKV	MRPL58
ZIKV	ERLIN2
ZIKV	ESYT1
ZIKV	UTP18
ZIKV	RPL22
ZIKV	RPS25
ZIKV	RPL23A
ZIKV	RPL24
ZIKV	RPS28
ZIKV	ABCB8
ZIKV	PEX11B
ZIKV	DDOST
ZIKV	RPS3A
ZIKV	RPS4X
ZIKV	CTNNBL1
ZIKV	DDX18
ZIKV	ACIN1
ZIKV	MRPS7
ZIKV	SLC30A7
ZIKV	SLC35B2
ZIKV	DDX50
ZIKV	MEPCE
ZIKV	METTL17
ZIKV	DHCR24
ZIKV	SPATS2
ZIKV	DHCR7
ZIKV	DHX57
ZIKV	DICER1
ZIKV	TRMT10A
ZIKV	FRMD5
ZIKV	GOLPH3
ZIKV	GOLT1B
ZIKV	MRPL42
ZIKV	AHCYL2
ZIKV	SET
ZIKV	EI24
ZIKV	ARHGEF2
ZIKV	ELOVL1
ZIKV	GPBP1L1
ZIKV	MRPL55
ZIKV	RPL17
ZIKV	USE1
ZIKV	OMA1
ZIKV	RPL19
ZIKV	RPS21
ZIKV	OSBPL9
ZIKV	CDC73
ZIKV	RPS24
ZIKV	PAF1
ZIKV	VPS45
ZIKV	RPS3
ZIKV	RPL27
ZIKV	TMED4
ZIKV	MRPL1
ZIKV	MRPL10
ZIKV	MRPL11
ZIKV	RAB18
ZIKV	XXYLT1
ZIKV	PIKFYVE
ZIKV	PIP5K1A
ZIKV	PPIG
ZIKV	RPL36
ZIKV	MRPL2
ZIKV	ATP2A1
ZIKV	MRPL21
ZIKV	GALNT12
ZIKV	ATP5MD
ZIKV	AUP1
ZIKV	BMS1
ZIKV	BOP1
ZIKV	STARD3NL
ZIKV	DNAJA1
ZIKV	STK11
ZIKV	SDAD1
ZIKV	ANP32A
ZIKV	RPS10
ZIKV	EBP
ZIKV	B3GAT3
ZIKV	BET1
ZIKV	BRPF1
ZIKV	GPBP1
ZIKV	ERAL1
ZIKV	ERLIN1
ZIKV	MTCH1
ZIKV	RPL21
ZIKV	CHP1
ZIKV	LPCAT1
ZIKV	PGRMC1
ZIKV	CMSS1
ZIKV	RPL28
ZIKV	VKORC1L1
ZIKV	CLASP2
ZIKV	AAAS
ZIKV	LMF2
ZIKV	LNPK
ZIKV	LUC7L3
ZIKV	VGF
ZIKV	SFXN5
ZIKV	SIRT1
ZIKV	MAVS
ZIKV	DDX21
ZIKV	RBM28
ZIKV	RBM34
ZIKV	MBLAC2
ZIKV	MCUB
ZIKV	MFAP1
ZIKV	MGAT1
ZIKV	RPL10
ZIKV	TRIM13
ZIKV	MGAT2
ZIKV	GLYR1
ZIKV	ZRANB2
ZIKV	MKI67
ZIKV	GOSR1
ZIKV	IFT27
ZIKV	KLHL12
ZIKV	MRPL47
ZIKV	NUP107
ZIKV	NUP133
ZIKV	CEND1
ZIKV	MRPL52
ZIKV	NT5C3A
ZIKV	RPL18
ZIKV	TOMM22
ZIKV	RPS20
ZIKV	TFB1M
ZIKV	CDC42BPA
ZIKV	LYAR
ZIKV	TIMM10
ZIKV	COPG2
ZIKV	RPS29
ZIKV	RPL26L1
ZIKV	DAP3
ZIKV	TMED3
ZIKV	TMED7
ZIKV	TMEM11
ZIKV	MRPS5
ZIKV	PUM3
ZIKV	TMEM214
ZIKV	RAB39A
ZIKV	DDX20
ZIKV	MRPL17
ZIKV	PNISR
ZIKV	RBX1
ZIKV	RCN2
ZIKV	RETREG3
ZIKV	RFC1
ZIKV	MRPL22
ZIKV	MRPL23
ZIKV	TRIP4
ZIKV	DKC1
ZIKV	SCAMP5
ZIKV	MICU1
ZIKV	DNAJA2
ZIKV	CANX
ZIKV	CCDC137
ZIKV	EBNA1BP2
ZIKV	CDIPT
ZIKV	CDS2
ZIKV	MRPL48
ZIKV	UQCC2
ZIKV	STX4
ZIKV	STX6
ZIKV	STX7
ZIKV	OPA1
ZIKV	OPA3
ZIKV	OSBPL11
ZIKV	CLGN
ZIKV	EIF2B1
ZIKV	EIF2B2
ZIKV	MACROH2A1
ZIKV	RPS26
ZIKV	TMED1
ZIKV	MPDU1
ZIKV	ELOVL7
ZIKV	EMC4
ZIKV	VPS16
ZIKV	WDR33
ZIKV	ZC3H8
ZIKV	ADGRL2
ZIKV	EXD2
ZIKV	MRPS35
ZIKV	RACK1
ZIKV	ZC3H13
ZIKV	ATP1B1
ZIKV	G6PC3
ZIKV	ZNF629
ZIKV	TOMM6
ZIKV	TPST2
ZIKV	GHDC
ZIKV	GLCE
ZIKV	GLT8D1
ZIKV	CTR9
ZIKV	TRMT61A
ZIKV	DNAJC13
ZIKV	DNAJC9
ZIKV	GOSR2
ZIKV	STRBP
ZIKV	KPNA1
ZIKV	UQCC1
ZIKV	RFC2
ZIKV	TMEM126A
ZIKV	KPNB1
ZIKV	KRI1
ZIKV	STX8
ZIKV	CHCHD3
ZIKV	CHD8
ZIKV	LLPH
ZIKV	IMP3
ZIKV	CLN6
ZIKV	KIF7
ZIKV	PATZ1
ZIKV	PDCL
ZIKV	SDHA
ZIKV	SDHB
ZIKV	SELENOS
ZIKV	SETD2
ZIKV	ACBD5
ZIKV	CTSD
ZIKV	DCAF5
ZIKV	MRPS34
ZIKV	TMEM245
ZIKV	YIF1A
ZIKV	TNIK
ZIKV	TOE1
ZIKV	TOMM40
ZIKV	TOMM5
ZIKV	FUT8
ZIKV	ZNF768
ZIKV	H1-10
ZIKV	HACD3
ZIKV	MIA2
ZIKV	NDUFB3
ZIKV	HADHA
ZIKV	ZSWIM8
ZIKV	RPLP0
ZIKV	NDC1
ZIKV	AGAP3
ZIKV	REEP6
ZIKV	REPIN1
ZIKV	STX2
ZIKV	GPATCH8
ZIKV	KPNA6
ZIKV	SFXN3
ZIKV	NUMA1
ZIKV	MTOR
ZIKV	MTPAP
ZIKV	CCNB1
ZIKV	MTX3
ZIKV	EXOSC1
ZIKV	PGRMC2
ZIKV	SCCPDH
ZIKV	COX15
ZIKV	TM2D2
ZIKV	CFDP1
ZIKV	PHB2
ZIKV	POP1
ZIKV	PTCD3
ZIKV	TMEM120A
ZIKV	TMEM143
ZIKV	PRSS12
ZIKV	ZNF346
ZIKV	CMTM6
ZIKV	ATM
ZIKV	MRPL19
ZIKV	ATP1A1
ZIKV	ATP1A3
ZIKV	CPSF1
ZIKV	CPSF4
ZIKV	GALNT7
ZIKV	STOML2
ZIKV	TRMT6
ZIKV	NDUFB2
ZIKV	PCID2
ZIKV	GPATCH11
ZIKV	BCAP29
ZIKV	RPL13A
ZIKV	STOM
ZIKV	HAUS1
ZIKV	MRPL44
ZIKV	DHX38
ZIKV	STX12
ZIKV	IPO4
ZIKV	DHX8
ZIKV	BUD31
ZIKV	KRTCAP2
ZIKV	LARP1
ZIKV	LARP7
ZIKV	EIF2AK2
ZIKV	TMPO
ZIKV	TUBA1A
ZIKV	TUBB3
ZIKV	PHB
ZIKV	EIF3K
ZIKV	ELL
ZIKV	EIF3L
ZIKV	VDAC2
ZIKV	VDAC3
ZIKV	CTDP1
ZIKV	WDR82
