Abbre	Gene
EBOV	Emd
EBOV	Npc1
EBOV	Pon2
EBOV	Psen2
EBOV	Trp53
EBOV	Gart
EBOV	Dhx9
EBOV	Fbl
EBOV	Hnrnpl
EBOV	Bsg
EBOV	Cad
EBOV	Ddb1
EBOV	Slc3a2
EBOV	Pcna
EBOV	Phb
EBOV	Ppp2r2a
EBOV	Rcn2
EBOV	Rpn1
EBOV	Rpn2
EBOV	Smarcc2
EBOV	Cggbp1
EBOV	Prkra
EBOV	Bysl
EBOV	Aifm1
EBOV	Rab7
EBOV	Usp9x
EBOV	Rrp9
EBOV	Sec24c
EBOV	Mrps31
EBOV	Kmt2a
EBOV	Hax1
EBOV	Ssr4
EBOV	Sptlc1
EBOV	Prkdc
EBOV	Npm3
EBOV	Ssr3
EBOV	Phb2
EBOV	Ola1
EBOV	Ftsj3
EBOV	Tsr1
EBOV	Ddx54
EBOV	Exosc5
EBOV	Cct5
EBOV	Rfc4
EBOV	Srprb
EBOV	Cpsf2
EBOV	Cpsf3
EBOV	Ddx18
EBOV	Nat10
EBOV	Dlat
EBOV	Gnl2
EBOV	Xrn2
EBOV	Polr1a
EBOV	Gtpbp4
EBOV	Casc3
EBOV	Adnp
EBOV	Ilf3
EBOV	Tbl2
EBOV	Timm8b
EBOV	Fam120a
EBOV	Faf2
EBOV	Gprasp1
EBOV	Dnajc9
EBOV	Larp1
EBOV	Adar
EBOV	Exosc1
EBOV	Fut8
EBOV	Gatad2a
EBOV	Mrps10
EBOV	Rcc2
EBOV	Zfp326
EBOV	Klhl7
EBOV	Ddx24
EBOV	Mrps35
EBOV	Qk
EBOV	Spats2
EBOV	0610010K14Rik
EBOV	Tmx1
EBOV	Trmt1l
EBOV	Zfp512
EBOV	Cdc5l
EBOV	Pgam5
EBOV	Ythdc1
EBOV	Atxn2l
EBOV	Grsf1
EBOV	Rbmx
EBOV	Slc1a5
EBOV	Trim28
EBOV	Kpna6
EBOV	Baz1b
EBOV	Tbk1
EBOV	Hnrnph2
EBOV	Ikbke
EBOV	Nfatc3
EBOV	Gtf3c1
EBOV	Exosc10
EBOV	Bag2
EBOV	Aimp1
EBOV	Hnrnph1
EBOV	Hnrnpul1
EBOV	Mrpl4
EBOV	Ncoa5
EBOV	Mrps11
EBOV	Gadd45gip1
EBOV	Safb2
EBOV	Rpl22
EBOV	Lgals3
EBOV	Smarce1
EBOV	Timm8a1
EBOV	Phgdh
EBOV	Rnps1
EBOV	Nefh
EBOV	Gtf3c3
EBOV	Gtf3c5
EBOV	Cpsf1
EBOV	Edc4
EBOV	Mybbp1a
EBOV	Pop1
EBOV	Ptcd3
EBOV	Rif1
EBOV	Zc3h18
EBOV	Ptbp1
EBOV	3110082I17Rik
EBOV	Parp10
EBOV	Dnaja1
EBOV	Kpna1
EBOV	Rbbp7
EBOV	Gnl3
EBOV	Rbm34
EBOV	Wdr33
EBOV	Rrp1b
EBOV	Spop
EBOV	Clgn
EBOV	Wtap
EBOV	Nup153
EBOV	Hspa8
EBOV	Rab11b
EBOV	Myef2
EBOV	Rps27l
EBOV	Hnrnpab
EBOV	Atp2a2
EBOV	Rbm4
EBOV	Rps29
EBOV	Nkrf
EBOV	Vdac1
EBOV	Rps15
EBOV	Peg10
EBOV	Rpl39
EBOV	Srsf10
EBOV	Abt1
EBOV	Rbbp6
