Abbre	Gene
EBV	Fas
EBV	Emd
EBV	Eng
EBV	Gja1
EBV	Icam1
EBV	Pcca
EBV	Plod1
EBV	Cdkn1a
EBV	Tpp1
EBV	Ifngr1
EBV	Notch3
EBV	Pon2
EBV	Pccb
EBV	Trp53
EBV	Vwf
EBV	Tap1
EBV	Cd44
EBV	Gas6
EBV	Ggcx
EBV	Igf2r
EBV	Polr2a
EBV	Rpl28
EBV	Zap70
EBV	Aldh5a1
EBV	Adam10
EBV	Adcy9
EBV	Arhgdia
EBV	Cse1l
EBV	Ctnnd1
EBV	Daxx
EBV	Dhx9
EBV	Celsr3
EBV	Ep300
EBV	Gtf2b
EBV	Hspb1
EBV	Igfbp4
EBV	Il10ra
EBV	Parp1
EBV	Ahr
EBV	Araf
EBV	Bsg
EBV	Capn2
EBV	Clu
EBV	Col6a1
EBV	Cad
EBV	Cpt1a
EBV	Ctnna1
EBV	Ddb1
EBV	Fn1
EBV	Htt
EBV	H2-Ab1
EBV	Hmox2
EBV	Nr4a1
EBV	Hspd1
EBV	Il6st
EBV	Itih3
EBV	Jak1
EBV	Ipo5
EBV	Lamb1
EBV	Lamc1
EBV	Lifr
EBV	Lox
EBV	Map4
EBV	Mdm2
EBV	Slc3a2
EBV	Nfkb2
EBV	Palm
EBV	Pcna
EBV	Pcolce
EBV	Pdgfrb
EBV	Pold1
EBV	Ppm1b
EBV	Ppp2r2a
EBV	Psma2
EBV	Psma4
EBV	Psmb3
EBV	Psmb7
EBV	Psmc1
EBV	Psmc2
EBV	Psmd3
EBV	Psmd7
EBV	Ptpn1
EBV	Rcn2
EBV	Upf1
EBV	Rfc3
EBV	Rnh1
EBV	Robo1
EBV	Rpn2
EBV	S100a10
EBV	Atxn2
EBV	Sdhb
EBV	Slit3
EBV	Smarcb1
EBV	Ssb
EBV	Syk
EBV	Tapbp
EBV	Tbp
EBV	Tgfbr2
EBV	Sec62
EBV	Sumo1
EBV	Usp7
EBV	Fzd6
EBV	Ltbp4
EBV	Cul1
EBV	Nipsnap1
EBV	Uso1
EBV	Psmg1
EBV	Tradd
EBV	Dpm1
EBV	Ube2m
EBV	Nfkb1
EBV	Osmr
EBV	B2m
EBV	Eif2s1
EBV	Efemp1
EBV	Myo9b
EBV	Aifm1
EBV	Bag3
EBV	Rin1
EBV	Traf4
EBV	Cd74
EBV	Cnn2
EBV	Ddx6
EBV	Efnb1
EBV	Erbb2
EBV	Acsl3
EBV	Farsa
EBV	Golga2
EBV	Stau1
EBV	Traf6
EBV	Xpc
EBV	Bag6
EBV	Coil
EBV	Usp9x
EBV	Copb2
EBV	Slit2
EBV	Cltc
EBV	Bag5
EBV	Sec22b
EBV	Capzb
EBV	Nucb2
EBV	Sfpq
EBV	Akap12
EBV	Capn1
EBV	Ddost
EBV	Hccs
EBV	Lck
EBV	Mlf2
EBV	Pdlim7
EBV	Idh3a
EBV	Lamp1
EBV	Lgals3bp
EBV	Lpp
EBV	Terf2
EBV	Tfcp2
EBV	Traf1
EBV	Mkrn3
EBV	Taf1a
EBV	Scamp2
EBV	Scamp3
EBV	Hnrnpr
EBV	Stub1
EBV	Mcm6
EBV	Manf
EBV	Tax1bp1
EBV	Pnma1
EBV	Mrc2
EBV	Tab1
EBV	Hax1
EBV	Nedd8
EBV	Nucb1
EBV	Orc2
EBV	Pold2
EBV	Polr2i
EBV	Psme1
EBV	Rras
EBV	Ssr4
EBV	Tsg101
EBV	Mogs
EBV	Aimp2
EBV	Slc30a9
EBV	Ipo7
EBV	Tm9sf1
EBV	Agr2
EBV	Sptlc1
EBV	Prpf8
EBV	Erlin1
EBV	Spag5
EBV	Taf6l
EBV	Igf2bp1
EBV	Igf2bp3
EBV	Igf2bp2
EBV	Cgrrf1
EBV	Zmynd11
EBV	Vamp5
EBV	Clpx
EBV	Ruvbl2
EBV	Dnajb2
EBV	Zfpl1
EBV	Elf2
EBV	Idh3b
EBV	Maged1
EBV	Ddx20
EBV	Sec63
EBV	Phb2
EBV	Ergic3
EBV	Alg1
EBV	Nup107
EBV	Ube2i
EBV	Scfd1
EBV	Atp13a1
EBV	Snrnp200
EBV	Ipo9
EBV	Pfas
EBV	Surf4
EBV	Pigt
EBV	Cct5
EBV	Sacm1l
EBV	Srprb
EBV	Sec13
EBV	Sf3b2
EBV	Sf3b1
EBV	Ddx5
EBV	Scyl1
EBV	Grpel1
EBV	Alg5
EBV	Cdipt
EBV	Bax
EBV	Csf1
EBV	Laptm4a
EBV	Pick1
EBV	Rsu1
EBV	Glg1
EBV	Taf6
EBV	Axl
EBV	Adnp
EBV	Bcl6
EBV	Bcl2l11
