Abbre	Gene
H1N1	Adsl
H1N1	Brca2
H1N1	Cyba
H1N1	Emd
H1N1	Etfa
H1N1	Fanca
H1N1	Galk1
H1N1	Gcdh
H1N1	Gpi1
H1N1	Gsn
H1N1	Msh6
H1N1	Mlh1
H1N1	Msh2
H1N1	Npc1
H1N1	Oat
H1N1	Pcca
H1N1	Plod1
H1N1	Tnni3
H1N1	Tpp1
H1N1	Ext2
H1N1	Hsd17b4
H1N1	Pon2
H1N1	Alb
H1N1	Fgg
H1N1	Pms1
H1N1	Trp53
H1N1	Tsc2
H1N1	C7
H1N1	Vtn
H1N1	Agl
H1N1	Ahcy
H1N1	Anxa1
H1N1	Gart
H1N1	Ggcx
H1N1	Grin2a
H1N1	Igf2r
H1N1	Pdhb
H1N1	Polr2a
H1N1	Polr2b
H1N1	Rpl28
H1N1	Top2a
H1N1	Tyms
H1N1	Vcam1
H1N1	Zap70
H1N1	Plin2
H1N1	Cirbp
H1N1	Clns1a
H1N1	Cpd
H1N1	Cse1l
H1N1	Cstf1
H1N1	Cstf3
H1N1	Ctnnd1
H1N1	Dhx9
H1N1	Dhx15
H1N1	Dhcr7
H1N1	Dkc1
H1N1	Fbl
H1N1	Flna
H1N1	Hnrnpl
H1N1	Hspb1
H1N1	Parp1
H1N1	Araf
H1N1	Arcn1
H1N1	Arnt
H1N1	Bsg
H1N1	Capn2
H1N1	Cav1
H1N1	Cenpc1
H1N1	Clu
H1N1	Cad
H1N1	Cpt1a
H1N1	Ctnna1
H1N1	Ctnnb1
H1N1	Ddb1
H1N1	Dlst
H1N1	Dsc3
H1N1	Eif5a2
H1N1	Fdps
H1N1	Fmr1
H1N1	Grb2
H1N1	Hmox2
H1N1	Hspd1
H1N1	Ivd
H1N1	Jak1
H1N1	Jup
H1N1	Ipo5
H1N1	Krt19
H1N1	Krt35
H1N1	Lamb1
H1N1	Lrp1
H1N1	Mad2l1
H1N1	Map1a
H1N1	Map4
H1N1	Mcm3
H1N1	Slc3a2
H1N1	Mki67
H1N1	Mnat1
H1N1	Mpi
H1N1	Msn
H1N1	Mtap
H1N1	Ncbp1
H1N1	Ndufs8
H1N1	Nvl
H1N1	Pcna
H1N1	Phb
H1N1	Polr2c
H1N1	Polr2e
H1N1	Polr2g
H1N1	Ppm1b
H1N1	Ppp2r2a
H1N1	Prpsap2
H1N1	Psma2
H1N1	Psma4
H1N1	Psmb3
H1N1	Psmb7
H1N1	Psmc1
H1N1	Psmc2
H1N1	Psmd3
H1N1	Psmd7
H1N1	Psmd9
H1N1	Ptpn1
H1N1	Aldh18a1
H1N1	Rcn2
H1N1	Upf1
H1N1	Rfc1
H1N1	Rfc3
H1N1	Abce1
H1N1	Rpn1
H1N1	Rpn2
H1N1	S100a8
H1N1	S100a10
H1N1	Atxn2
H1N1	Sdhb
H1N1	Smarcc2
H1N1	Snapc4
H1N1	Snrpa1
H1N1	Uap1
H1N1	Sptbn1
H1N1	Trim21
H1N1	Ssb
H1N1	Ssr1
H1N1	Strn
H1N1	Stx5a
H1N1	Supt5
H1N1	Tapbp
H1N1	Tjp1
H1N1	Sec62
H1N1	Lbr
H1N1	Top1
H1N1	Tpp2
H1N1	Ttc3
H1N1	Ugdh
H1N1	Vbp1
H1N1	Vgf
H1N1	Cnbp
H1N1	Zbtb17
H1N1	Dek
H1N1	Cdc45
H1N1	Slc25a11
H1N1	Rae1
H1N1	Ppfibp1
H1N1	Pik3r3
H1N1	Nipsnap1
H1N1	Hat1
H1N1	Ybx3
H1N1	Agps
H1N1	Bhlhe40
H1N1	Khsrp
H1N1	Prkra
H1N1	Irs2
H1N1	Eif3a
H1N1	Eif3c
H1N1	Eif3f
H1N1	Eif4g3
H1N1	Mrpl40
H1N1	Ctnnal1
H1N1	Pex11b
H1N1	Dpm1
H1N1	Tmem11
H1N1	Sgpl1
H1N1	Mcm3ap
H1N1	Eif2s2
H1N1	Ube2m
H1N1	Osmr
H1N1	Gjb2
H1N1	Bnip3
H1N1	Bysl
H1N1	Ap2s1
H1N1	Eif2s1
H1N1	Gps1
H1N1	Aifm1
H1N1	Trip13
H1N1	Eftud2
H1N1	Eef1e1
H1N1	Bag3
H1N1	Tgfbr1
H1N1	Cd74
H1N1	Cox11
H1N1	Ddx6
H1N1	Erh
H1N1	Acsl3
H1N1	Farsa
H1N1	Flot2
H1N1	Kif11
H1N1	Mcm2
H1N1	Ndufs3
H1N1	Stau1
H1N1	Xpc
H1N1	Fancg
H1N1	Dap3
H1N1	Bag6
H1N1	Cdk2ap1
H1N1	Pabpn1
H1N1	Usp9x
H1N1	Nmi
H1N1	Atp6v0d1
H1N1	Prpf3
H1N1	Bub3
H1N1	Ddx21
H1N1	Etf1
H1N1	Mta2
H1N1	Copb2
H1N1	Ube4a
H1N1	Ddx23
H1N1	Cltc
H1N1	Bag5
H1N1	Polr1c
H1N1	Sec22b
H1N1	Prdx6
H1N1	Capzb
H1N1	Ddx1
H1N1	Dhx8
H1N1	Mtor
H1N1	Ndufa5
H1N1	Ndufa9
H1N1	Nrf1
H1N1	Pfn1
H1N1	Pik3r2
H1N1	Exosc9
H1N1	Sfpq
H1N1	Cbfa2t2
H1N1	Akap12
H1N1	Mvp
H1N1	Atp6v0a1
H1N1	Capn1
H1N1	Ddost
H1N1	Cttn
H1N1	Hccs
H1N1	Trp73
H1N1	Mlf2
H1N1	Smc3
H1N1	Chaf1a
H1N1	Smc4
H1N1	Sae1
H1N1	Idh3a
H1N1	Klc1
H1N1	Krt7
H1N1	Lamp1
H1N1	Lgals3bp
H1N1	Lman1
H1N1	Nfia
H1N1	Tfcp2
H1N1	Traf1
H1N1	Farsb
H1N1	Scamp3
H1N1	Arpc4
H1N1	Actr2
H1N1	Pdia6
H1N1	Txndc9
H1N1	Plin3
H1N1	Hnrnpr
H1N1	Mrps31
H1N1	Akap8
H1N1	Pura
H1N1	Stub1
H1N1	Bcas2
H1N1	Pak4
H1N1	Caprin1
H1N1	Mcm6
H1N1	Mcm7
H1N1	Meox2
H1N1	Tbcd
H1N1	Tbx3
H1N1	Cdc123
H1N1	Pnma1
H1N1	Cacna2d2
H1N1	Lancl1
H1N1	Yap1
H1N1	Cd2bp2
H1N1	Hax1
