Abbre	Gene
HAdV	Fas
HAdV	Emd
HAdV	Eng
HAdV	Gja1
HAdV	Nphp1
HAdV	Tpp1
HAdV	Hsd17b4
HAdV	Trp53
HAdV	Cd44
HAdV	Igf2r
HAdV	Cxadr
HAdV	Daxx
HAdV	Ep300
HAdV	Arcn1
HAdV	Atf3
HAdV	Bsg
HAdV	Cad
HAdV	Fn1
HAdV	Lox
HAdV	Mdm4
HAdV	Pdgfrb
HAdV	Ppm1b
HAdV	Rel
HAdV	Upf1
HAdV	Rpn1
HAdV	Atxn2
HAdV	Tapbp
HAdV	Tbp
HAdV	Sumo1
HAdV	Nfkb1
HAdV	Bnip3
HAdV	Cited1
HAdV	Bnip2
HAdV	Ddx6
HAdV	Dffa
HAdV	Copb2
HAdV	Sec22b
HAdV	Ddost
HAdV	E2f1
HAdV	Nfia
HAdV	Mogs
HAdV	Sec23a
HAdV	Igf2bp1
HAdV	Igf2bp3
HAdV	Igf2bp2
HAdV	Zmynd11
HAdV	Prkdc
HAdV	Maged1
HAdV	Ube2i
HAdV	Prpf31
HAdV	Cct5
HAdV	Sacm1l
HAdV	Srprb
HAdV	Ddx5
HAdV	Bax
HAdV	Dnajc1
HAdV	Bcl6
HAdV	Cnp
HAdV	S100a6
HAdV	Trpv2
HAdV	Sp1
HAdV	Mtch2
HAdV	Card10
HAdV	Mlec
HAdV	Bclaf1
HAdV	Exph5
HAdV	Ppp1r13b
HAdV	Amotl2
HAdV	Banp
HAdV	Rbms1
HAdV	Tmx3
HAdV	Cchcr1
HAdV	Eny2
HAdV	Pbxip1
HAdV	Vkorc1
HAdV	Tmem43
HAdV	Med28
HAdV	Ikbip
HAdV	Rab34
HAdV	Nfkbid
HAdV	Pml
HAdV	Rftn1
HAdV	Larp4
HAdV	Inca1
HAdV	Elavl1
HAdV	Cspg4
HAdV	Stim1
HAdV	Kat2b
HAdV	Itga3
HAdV	Pik3ca
HAdV	Glipr1
HAdV	Praf2
HAdV	Abhd12
HAdV	Hnrnph2
HAdV	Cspp1
HAdV	C1qbp
HAdV	Atf2
HAdV	Tmpo
HAdV	Ccna1
HAdV	Dyrk1b
HAdV	Hnrnpul1
HAdV	Usf1
HAdV	Esyt2
HAdV	Rbms2
HAdV	Thra
HAdV	Vapa
HAdV	Taf1
HAdV	Pgrmc2
HAdV	Sec61b
HAdV	Rbpms
HAdV	Ep400
HAdV	Trrap
HAdV	Stt3a
HAdV	Rab18
HAdV	Preb
HAdV	Myof
HAdV	Kat2a
HAdV	Ergic1
HAdV	Ptk7
HAdV	Frmpd4
HAdV	Nup205
HAdV	Scarb2
HAdV	Itgb3
HAdV	Rab5c
HAdV	Mapk9
HAdV	Set
HAdV	Ninl
HAdV	Ropn1
HAdV	Cdk1
HAdV	Crebbp
HAdV	Slc2a1
HAdV	Ctbp2
HAdV	Atp2a2
HAdV	Npm1
HAdV	Ppp1r13l
HAdV	Gpx8
HAdV	Csrp2
HAdV	Sort1
