Abbre	Gene
HCMV	Fas
HCMV	Atp7a
HCMV	Col7a1
HCMV	Cp
HCMV	Cpox
HCMV	Cstb
HCMV	Ddb2
HCMV	Ephx1
HCMV	Fah
HCMV	Gja1
HCMV	Hmbs
HCMV	Tbx5
HCMV	Met
HCMV	Naglu
HCMV	Ocrl
HCMV	Pcca
HCMV	Pkd1
HCMV	Umps
HCMV	Urod
HCMV	Ercc2
HCMV	Ifngr1
HCMV	Oxct1
HCMV	Aprt
HCMV	F2
HCMV	Fga
HCMV	Fgg
HCMV	Pccb
HCMV	Trp53
HCMV	Tsc2
HCMV	Vtn
HCMV	Anxa1
HCMV	Bckdha
HCMV	Blvrb
HCMV	Serpinf2
HCMV	Polr2a
HCMV	Polr2b
HCMV	Prim2
HCMV	Scnn1a
HCMV	Tnfrsf1a
HCMV	Tnfrsf1b
HCMV	Top2a
HCMV	Adam10
HCMV	Adcy9
HCMV	Aebp1
HCMV	Xiap
HCMV	Azgp1
HCMV	Bub1b
HCMV	Cdc27
HCMV	Rcbtb2
HCMV	Tbcb
HCMV	Cpd
HCMV	Cstf1
HCMV	Dab2
HCMV	Dad1
HCMV	Daxx
HCMV	Dkc1
HCMV	Dph2
HCMV	Lpar1
HCMV	Celsr3
HCMV	Ep300
HCMV	B4galnt1
HCMV	Il10ra
HCMV	Acp2
HCMV	Ahr
HCMV	Ak2
HCMV	Alcam
HCMV	Trim23
HCMV	Arnt
HCMV	Atp6v1e1
HCMV	Cfb
HCMV	Cav1
HCMV	Cd47
HCMV	Clu
HCMV	Crabp2
HCMV	Ctnna1
HCMV	Ctnnb1
HCMV	Ddb1
HCMV	Tymp
HCMV	Etfb
HCMV	Evpl
HCMV	Fdps
HCMV	Fkbp3
HCMV	Fnta
HCMV	Fntb
HCMV	Grb2
HCMV	Htt
HCMV	Hmgcs1
HCMV	Hspd1
HCMV	Il6st
HCMV	Itga2
HCMV	Itih4
HCMV	Itpr1
HCMV	Itpr3
HCMV	Ivd
HCMV	Jak1
HCMV	Loxl2
HCMV	Lrp6
HCMV	Ltbr
HCMV	Man2a1
HCMV	Map1a
HCMV	Map2
HCMV	Max
HCMV	Slc3a2
HCMV	Mest
HCMV	Mki67
HCMV	Mvd
HCMV	Ncbp1
HCMV	Nfkb2
HCMV	Ocln
HCMV	Furin
HCMV	Pdgfrb
HCMV	Pfdn5
HCMV	Pold1
HCMV	Polr2c
HCMV	Polr2e
HCMV	Polr2g
HCMV	Ppl
HCMV	Ppm1b
HCMV	Ppp2r2a
HCMV	Psmd3
HCMV	Ptpn11
HCMV	Rab3b
HCMV	Rcn2
HCMV	Robo1
HCMV	Rpn1
HCMV	Rpn2
HCMV	Sdc1
HCMV	Sh3bgrl
HCMV	Smarcb1
HCMV	Snx2
HCMV	Sod3
HCMV	Strn
HCMV	Tapbp
HCMV	Tgfbr2
HCMV	Tgfbr3
HCMV	Vav2
HCMV	Vbp1
HCMV	Zfp36
HCMV	Usp7
HCMV	Dek
HCMV	Naa10
HCMV	Fzd6
HCMV	Cul1
HCMV	Rae1
HCMV	Slc4a7
HCMV	Slc43a1
HCMV	Dgke
HCMV	Prkra
HCMV	Psmg1
HCMV	Rtca
HCMV	Stx16
HCMV	Rnmt
