Abbre	Gene
HCV	Agt
HCV	Serping1
HCV	Galk1
HCV	Gldc
HCV	Cfi
HCV	Itgb4
HCV	Mttp
HCV	Cdkn1a
HCV	Hsd17b4
HCV	Twist1
HCV	F2
HCV	Fgg
HCV	Trp53
HCV	Vwf
HCV	C7
HCV	Vtn
HCV	Gart
HCV	Ggcx
HCV	Por
HCV	Aebp1
HCV	Azgp1
HCV	Cav2
HCV	Cd68
HCV	Dhx9
HCV	Dhcr7
HCV	Celsr2
HCV	Ep300
HCV	Fbl
HCV	Flna
HCV	Gatm
HCV	Ambp
HCV	Trim23
HCV	Arnt
HCV	Cenpc1
HCV	Ctnnb1
HCV	Dlst
HCV	Ehhadh
HCV	Eif4a2
HCV	Etfb
HCV	Fn1
HCV	Grb2
HCV	Nr4a1
HCV	Hspd1
HCV	Jag2
HCV	Jak1
HCV	Jun
HCV	Ipo5
HCV	Krt19
HCV	Ltbr
HCV	Ltf
HCV	Map2
HCV	Slc3a2
HCV	Myd88
HCV	Pcna
HCV	Phb
HCV	Plp2
HCV	Ppp2r2a
HCV	Pkn2
HCV	Psma4
HCV	Pcyt2
HCV	Rpn2
HCV	Sfrp4
HCV	Slit3
HCV	Srp19
HCV	Ssb
HCV	Tgfbr2
HCV	Lbr
HCV	Vrk1
HCV	Axin1
HCV	Slc25a11
HCV	Ltbp4
HCV	Aurka
HCV	Fkbp6
HCV	Cadps
HCV	Becn1
HCV	Dpm1
HCV	Uba3
HCV	B2m
HCV	Bnip3
HCV	Ccng1
HCV	Efemp1
HCV	Tgfbr1
HCV	Vcan
HCV	Ddx6
HCV	Golga2
HCV	Bag6
HCV	Pabpn1
HCV	Rabep1
HCV	Slit2
HCV	Lpxn
HCV	Arhgef6
HCV	Cltc
HCV	Ddx1
HCV	Nucb2
HCV	Pfn1
HCV	Mvp
HCV	Fgb
HCV	Ddost
HCV	Cttn
HCV	Fos
HCV	Lck
HCV	Trp53bp2
HCV	Trp73
HCV	Smc4
HCV	Stmn1
HCV	Lman1
HCV	Sox3
HCV	Scamp3
HCV	Pdia6
HCV	Sorbs3
HCV	Plin3
HCV	Pak4
HCV	Nell1
HCV	Nucb1
HCV	Pcm1
HCV	Ssr4
HCV	Tsg101
HCV	Mogs
HCV	Smc1a
HCV	Ipo7
HCV	Lamtor5
HCV	Cct4
HCV	Drap1
HCV	Paip1
HCV	Erlin1
HCV	Ift88
HCV	Pmvk
HCV	Ebp
HCV	Sdccag8
HCV	Frs3
HCV	Hivep2
HCV	Afg3l2
HCV	Erp29
HCV	Ckap4
HCV	Prkdc
HCV	Maged1
HCV	Triobp
HCV	Ssr3
HCV	Supt16
HCV	Ddx20
HCV	Sec63
HCV	Phb2
HCV	Xab2
HCV	Ipo9
HCV	Kif17
HCV	Surf4
HCV	Vps35
HCV	Sacm1l
HCV	Srprb
HCV	Elac2
HCV	Ddx56
HCV	Guf1
HCV	Hao1
HCV	Ube2g2
HCV	Sf3b2
HCV	Ddx5
HCV	Dlat
HCV	Cbwd1
HCV	Xrn2
HCV	Noc2l
HCV	Phf5a
HCV	Cdipt
HCV	Cog2
HCV	Bax
HCV	Bcan
HCV	Klf3
HCV	Pick1
HCV	Strbp
HCV	Tcf7l2
HCV	Terf1
HCV	Bcl6
HCV	Cacybp
HCV	Rb1cc1
HCV	Bcar1
HCV	Dgat1
HCV	Fkbp8
HCV	H13
HCV	Cd93
HCV	Pfdn2
HCV	Pparg
HCV	Fbxo3
HCV	Arfip2
HCV	Rlf
HCV	Ssx2ip
HCV	Bzw2
HCV	Tram1
HCV	Arfip1
HCV	Phf14
HCV	Cep57
HCV	Arhgap32
