Abbre	Gene
HIV-1	Ddb2
HIV-1	Emd
HIV-1	Ercc3
HIV-1	Fech
HIV-1	Mlh1
HIV-1	Msh2
HIV-1	Plod1
HIV-1	Ercc2
HIV-1	Ext2
HIV-1	Pafah1b1
HIV-1	Neu1
HIV-1	Pcsk1
HIV-1	Pon2
HIV-1	Trp53
HIV-1	Vhl
HIV-1	Cd4
HIV-1	Bcl2
HIV-1	Ahcy
HIV-1	Cd3d
HIV-1	Cd3e
HIV-1	Gart
HIV-1	Icam2
HIV-1	Igf2r
HIV-1	Polr2a
HIV-1	Polr2b
HIV-1	Por
HIV-1	Rpl28
HIV-1	Top2a
HIV-1	Zap70
HIV-1	Adam10
HIV-1	Atp6ap1
HIV-1	Ccnh
HIV-1	Ccnt1
HIV-1	Cpd
HIV-1	Cstf3
HIV-1	Daxx
HIV-1	Dhx9
HIV-1	Dhx15
HIV-1	Dhcr7
HIV-1	Dok1
HIV-1	Ep300
HIV-1	Fbl
HIV-1	Extl3
HIV-1	Flna
HIV-1	Gtf2b
HIV-1	Hnrnpl
HIV-1	Hspb1
HIV-1	Ahr
HIV-1	Apex1
HIV-1	Runx1
HIV-1	Cdk7
HIV-1	Cad
HIV-1	Ddb1
HIV-1	Dsc3
HIV-1	E2f4
HIV-1	Ercc1
HIV-1	Fbn2
HIV-1	Fmr1
HIV-1	Fn1
HIV-1	Grb2
HIV-1	Gtf2f1
HIV-1	Hspd1
HIV-1	Irf1
HIV-1	Jun
HIV-1	Lrp1
HIV-1	Map4
HIV-1	Mcm3
HIV-1	Mdm2
HIV-1	Slc3a2
HIV-1	Mki67
HIV-1	Mnat1
HIV-1	Msn
HIV-1	Ndufs8
HIV-1	Nup88
HIV-1	Furin
HIV-1	Pcna
HIV-1	Phb
HIV-1	Polr2g
HIV-1	Ppp2r2a
HIV-1	Psma4
HIV-1	Psmb3
HIV-1	Psmb7
HIV-1	Psmc1
HIV-1	Psmc2
HIV-1	Psmd7
HIV-1	Rcn2
HIV-1	Rfc1
HIV-1	Rnh1
HIV-1	Abce1
HIV-1	Rpn1
HIV-1	Rpn2
HIV-1	Satb1
HIV-1	Smarca2
HIV-1	Smarcb1
HIV-1	Smarcc2
HIV-1	Sox4
HIV-1	Sptbn1
HIV-1	Ssb
HIV-1	Ssr1
HIV-1	Supt5
HIV-1	Suv39h1
HIV-1	Adam17
HIV-1	Tapbp
HIV-1	Tbp
HIV-1	Sec62
HIV-1	Lbr
HIV-1	Ube2d2a
HIV-1	Sumo1
HIV-1	Vbp1
HIV-1	Yy1
HIV-1	Cul1
HIV-1	Hat1
HIV-1	Cbx4
HIV-1	Agps
HIV-1	Socs1
HIV-1	Eif3a
HIV-1	Eif3c
HIV-1	Eif3f
HIV-1	Becn1
HIV-1	Sucla2
HIV-1	Tmem11
HIV-1	Arhgef7
HIV-1	Sgpl1
HIV-1	Eif2s2
HIV-1	Mbd2
HIV-1	Nfkb1
HIV-1	B2m
HIV-1	Ap2s1
HIV-1	Efemp1
HIV-1	Gps1
HIV-1	Aifm1
HIV-1	Trip13
HIV-1	Slc9a3r1
HIV-1	Plaa
HIV-1	Eef1e1
HIV-1	Arrb2
HIV-1	Cd74
HIV-1	Ddx6
HIV-1	Erh
HIV-1	Acsl3
HIV-1	Fdft1
HIV-1	Kif11
HIV-1	Ndufb10
HIV-1	Stau1
HIV-1	Traf6
HIV-1	Dap3
HIV-1	Rab7
HIV-1	Bag6
HIV-1	Mta1
HIV-1	Ddx21
HIV-1	Mta2
HIV-1	Copb2
HIV-1	Arhgef6
HIV-1	Sec22b
HIV-1	Ddx1
HIV-1	Nucb2
HIV-1	Sfpq
HIV-1	Capn1
HIV-1	Ccnc
HIV-1	Cd80
HIV-1	Ddost
HIV-1	Cttn
HIV-1	Gak
HIV-1	Gpm6a
HIV-1	Gtf2h1
HIV-1	Lck
HIV-1	Trp73
HIV-1	Vav1
HIV-1	Smc3
HIV-1	Pigk
HIV-1	Smc4
HIV-1	Idh3a
HIV-1	Stmn1
HIV-1	Lgals3bp
HIV-1	Lman1
HIV-1	Scamp3
HIV-1	Pdia6
HIV-1	Sorbs3
HIV-1	Hnrnpr
HIV-1	Pura
HIV-1	Stub1
HIV-1	Sf3a1
HIV-1	Caprin1
HIV-1	Mcm6
HIV-1	Mcm7
HIV-1	Kmt2a
HIV-1	Mllt1
HIV-1	Aff1
HIV-1	Cdc123
HIV-1	Hax1
HIV-1	Nedd8
HIV-1	Pin1
HIV-1	Pole
HIV-1	Ssr4
HIV-1	Tsg101
HIV-1	Mogs
HIV-1	Aimp2
HIV-1	Emg1
HIV-1	Ipo7
HIV-1	Nop56
HIV-1	Tm9sf1
HIV-1	Htatip2
HIV-1	Arfgef1
HIV-1	Cct4
HIV-1	Smc2
HIV-1	Prpf8
HIV-1	Tbl3
HIV-1	Spag5
HIV-1	Hic1
HIV-1	Yeats4
HIV-1	Ncoa2
HIV-1	Igf2bp1
HIV-1	Cct8
HIV-1	Nfat5
HIV-1	Sdccag8
HIV-1	Ruvbl2
HIV-1	Cops8
HIV-1	Dnajb2
HIV-1	Wdr3
HIV-1	Pdia5
HIV-1	Erp29
HIV-1	Ckap4
HIV-1	Prkdc
HIV-1	Sdf2
HIV-1	Hspa13
HIV-1	Cldn10
HIV-1	Maged1
HIV-1	Npm3
HIV-1	Kat7
HIV-1	Supt16
HIV-1	Ddx20
HIV-1	Snf8
HIV-1	Pnkp
HIV-1	Gpn1
HIV-1	Phb2
HIV-1	Brca1
HIV-1	Ergic3
HIV-1	Ola1
HIV-1	Prpf6
HIV-1	Rer1
HIV-1	Ube2i
HIV-1	Mus81
HIV-1	Snrnp200
HIV-1	Ipo9
HIV-1	Thumpd1
HIV-1	Wdr61
HIV-1	Xrn1
HIV-1	Pfas
HIV-1	Prpf31
HIV-1	Exosc5
HIV-1	Pes1
HIV-1	Surf4
HIV-1	Ddx47
HIV-1	Lsm12
HIV-1	Pigt
HIV-1	Cct5
HIV-1	Sacm1l
HIV-1	Srprb
HIV-1	Dhx36
HIV-1	Cpsf2
HIV-1	Ncapd2
HIV-1	Wdr36
HIV-1	Ergic2
HIV-1	Sf3b3
HIV-1	Wrn
HIV-1	Sf3b2
HIV-1	Sf3b1
HIV-1	Ddx18
HIV-1	Mrpl11
HIV-1	Nat10
HIV-1	Ddx5
HIV-1	Pelo
HIV-1	Atg3
HIV-1	Rfc2
HIV-1	Sirt6
HIV-1	Dimt1
HIV-1	Gtpbp4
HIV-1	Iars2
HIV-1	Atp6v1h
HIV-1	Casc3
HIV-1	Gimap1
HIV-1	Stt3b
HIV-1	Itm2b
HIV-1	Anapc1
HIV-1	Glg1
HIV-1	Tcf7l2
HIV-1	Aicda
HIV-1	Cd2ap
HIV-1	H13
HIV-1	Hp1bp3
HIV-1	Ilf3
HIV-1	Zbtb7a
HIV-1	Nfatc2
HIV-1	Notch2
HIV-1	Pld3
HIV-1	Ubtf
HIV-1	Orc4
HIV-1	Cops4
HIV-1	Fbxo3
HIV-1	Gtf3c4
HIV-1	Timm8b
HIV-1	Ikzf3
HIV-1	Sp1
HIV-1	Eif3k
HIV-1	Anapc2
HIV-1	Stoml2
HIV-1	Limd1
HIV-1	Mrps28
HIV-1	Bzw2
HIV-1	Trps1
HIV-1	Smug1
HIV-1	Mtch2
HIV-1	Akap8l
HIV-1	Stau2
HIV-1	Taf5l
HIV-1	Aff4
HIV-1	Cep57
HIV-1	Spcs2
HIV-1	Tox4
HIV-1	Pdap1
HIV-1	Exosc7
HIV-1	Emc1
HIV-1	Tab2
HIV-1	Bicd2
HIV-1	Larp1
HIV-1	Sun2
HIV-1	Ahctf1
HIV-1	Atl3
HIV-1	Gemin5
HIV-1	Gpatch4
HIV-1	Tor1aip1
HIV-1	Senp3
HIV-1	Fbxo6
HIV-1	Adar
HIV-1	Exosc1
HIV-1	Eif3l
HIV-1	Dync1li1
HIV-1	Egfl7
HIV-1	Cd320
HIV-1	Fut8
