Abbre	Gene
HRSV	Emd
HRSV	Ephx1
HRSV	Polr2a
HRSV	Polr2b
HRSV	Cav2
HRSV	Cstf1
HRSV	Dhcr7
HRSV	Cav1
HRSV	Cad
HRSV	Ddb1
HRSV	Hspd1
HRSV	Slc3a2
HRSV	Ptpn1
HRSV	Rfc3
HRSV	Rpn1
HRSV	Nipsnap1
HRSV	Agps
HRSV	Sucla2
HRSV	Dpm1
HRSV	Prkar2a
HRSV	Aifm1
HRSV	Trip13
HRSV	Med17
HRSV	Med27
HRSV	Med20
HRSV	Acsl3
HRSV	Fdft1
HRSV	Golga2
HRSV	Ndufs3
HRSV	Rab7
HRSV	Copb2
HRSV	Med23
HRSV	Sec22b
HRSV	Ccnc
HRSV	Ddost
HRSV	Smc3
HRSV	Scamp3
HRSV	Caprin1
HRSV	Tbcd
HRSV	Hax1
HRSV	Mogs
HRSV	Smc1a
HRSV	Ipo7
HRSV	Sptlc1
HRSV	Arfgef1
HRSV	Spag5
HRSV	Clpx
HRSV	Taldo1
HRSV	Afg3l2
HRSV	Prkdc
HRSV	Ddx20
HRSV	Scfd1
HRSV	Nsdhl
HRSV	Sacm1l
HRSV	Srprb
HRSV	Aup1
HRSV	Cav3
HRSV	Stt3b
HRSV	Ppt1
HRSV	H13
HRSV	Pycr2
HRSV	Med4
HRSV	Klhdc2
HRSV	Akap8l
HRSV	Faf2
HRSV	Ube3c
HRSV	Clcc1
HRSV	Hectd1
HRSV	Rai14
HRSV	Tor1aip1
HRSV	Dhrs7
HRSV	Dync1li1
HRSV	Amotl2
HRSV	Trap1
HRSV	Ptov1
HRSV	Lpcat1
HRSV	Arl8b
HRSV	Atad3a
HRSV	Lrrc59
HRSV	Med8
HRSV	Wrnip1
HRSV	Ncln
HRSV	Tomm22
HRSV	Nlrx1
HRSV	Ptges2
HRSV	Mtdh
HRSV	Med29
HRSV	Tmx1
HRSV	Med25
HRSV	Fancd2
HRSV	Pgam5
HRSV	Amot
HRSV	Rab2a
HRSV	Med13
HRSV	Trim28
HRSV	Dnaja2
HRSV	Pik3cb
HRSV	Sptlc2
HRSV	Tm9sf4
HRSV	Med14
HRSV	Med13l
HRSV	Trafd1
HRSV	Rela
HRSV	Clpb
HRSV	Pikfyve
HRSV	Ddx58
HRSV	Unc45a
HRSV	Lrpprc
HRSV	Esyt2
HRSV	Vat1
HRSV	Atp1b3
HRSV	Acsl1
HRSV	Mtx1
HRSV	Rad23b
HRSV	Ruvbl1
HRSV	Rab11a
HRSV	Bcap31
HRSV	Pgrmc2
HRSV	Sumo3
HRSV	Srp72
HRSV	Acp1
HRSV	Phgdh
HRSV	Mdn1
HRSV	Stt3a
HRSV	Esyt1
HRSV	Med24
HRSV	Nup93
HRSV	Nup210
HRSV	Exoc6
HRSV	Far1
HRSV	Nup205
HRSV	Huwe1
HRSV	Ipo8
HRSV	Rab14
HRSV	Rab5c
HRSV	Sec61a1
HRSV	Dnaja1
HRSV	Rab6a
HRSV	Slc7a5
HRSV	Smad3
HRSV	Letm1
HRSV	Timm50
HRSV	Hspb2
HRSV	Med26
HRSV	Med12
HRSV	Sco2
HRSV	Hspa8
HRSV	Rab11b
HRSV	Tmed9
HRSV	Osbpl8
HRSV	Xpo5
HRSV	Atp2a2
HRSV	Npm1
HRSV	Tpm3
HRSV	Atr
HRSV	Cfl1
HRSV	Rab8a
HRSV	Rab4a
HRSV	Vdac1
HRSV	Rdh13
HRSV	Rps13
HRSV	Tuba1b
