Abbre	Gene
KSHV	Adsl
KSHV	Fech
KSHV	Msh2
KSHV	Nphp1
KSHV	Pepd
KSHV	Plod1
KSHV	Tpp1
KSHV	Ercc2
KSHV	Trp53
KSHV	Vhl
KSHV	Il6ra
KSHV	Bcl2
KSHV	Pde3b
KSHV	Polr2a
KSHV	Polr2b
KSHV	Tyms
KSHV	Atp6ap1
KSHV	Cdc27
KSHV	Cdkn2c
KSHV	Chuk
KSHV	Cse1l
KSHV	Daxx
KSHV	Ep300
KSHV	Fbl
KSHV	Hif1a
KSHV	Parp1
KSHV	Apeh
KSHV	Apex1
KSHV	Caml
KSHV	Ctnna1
KSHV	Mpp7
KSHV	Dlst
KSHV	Dsc3
KSHV	Fbn2
KSHV	Grb2
KSHV	Il6st
KSHV	Irf1
KSHV	Mdm2
KSHV	Ncbp1
KSHV	Nup88
KSHV	Nvl
KSHV	Pawr
KSHV	Pcna
KSHV	Pfdn5
KSHV	Polr2c
KSHV	Polr2e
KSHV	Polr2g
KSHV	Ppp1r7
KSHV	Ppp1r10
KSHV	Ppp2r2a
KSHV	Ptpn9
KSHV	Ptpn11
KSHV	Rad51d
KSHV	Rcn2
KSHV	Sdhb
KSHV	Smarcc2
KSHV	Soat1
KSHV	Tbp
KSHV	Tfap2c
KSHV	Sec62
KSHV	Sumo1
KSHV	Usp7
KSHV	Pip4k2b
KSHV	Cul1
KSHV	Rae1
KSHV	Uri1
KSHV	Rnmt
KSHV	Tmem11
KSHV	Sgpl1
KSHV	Cdc16
KSHV	Wasf1
KSHV	Ampd2
KSHV	Cox8a
KSHV	Gtpbp1
KSHV	Tgfbr1
KSHV	Galnt2
KSHV	Ndufb10
KSHV	Xpc
KSHV	Rab7
KSHV	Cdk2ap1
KSHV	Usp9x
KSHV	Atp6v0d1
KSHV	Prpf4
KSHV	Prpf3
KSHV	Syngr1
KSHV	Cox7a2l
KSHV	Rgl2
KSHV	Tjp2
KSHV	Mecp2
KSHV	Ndufb8
KSHV	Ndufb9
KSHV	Nrf1
KSHV	Akap12
KSHV	Atp6v0a1
KSHV	Hccs
KSHV	Rala
KSHV	Parp2
KSHV	Lman1
KSHV	Tfcp2
KSHV	Rnf41
KSHV	Tbcd
KSHV	Hax1
KSHV	Pole
KSHV	Polr2i
KSHV	Polr2j
KSHV	Tsg101
KSHV	Timm44
KSHV	Paip1
KSHV	Paics
KSHV	Rgs14
KSHV	Ncoa2
KSHV	Cct8
KSHV	Sdccag8
KSHV	Sugt1
KSHV	Atf7
KSHV	Prkdc
KSHV	Sdf2
KSHV	Nudt21
KSHV	Phb2
KSHV	Tdp1
KSHV	Zmat2
KSHV	Ube2i
KSHV	Rmnd5a
KSHV	Nsa2
KSHV	Cox15
KSHV	Eif2a
KSHV	Sacm1l
KSHV	Osgep
KSHV	Rpf2
KSHV	Cpsf2
KSHV	Gpn3
KSHV	Cpsf3
KSHV	Ccdc25
KSHV	Fahd1
KSHV	Dlat
KSHV	Pus7
KSHV	Ipo11
KSHV	Yars2
KSHV	Eif6
KSHV	Atp6v1h
KSHV	Rbm19
KSHV	Shoc2
KSHV	Itm2b
KSHV	Ppt1
KSHV	Glg1
KSHV	Terf1
KSHV	Aspm
KSHV	Ift81
KSHV	Fkbp10
KSHV	Mrps33
KSHV	Gtf2i
KSHV	Ikbkb
KSHV	Notch2
KSHV	Zfp346
KSHV	Gtpbp10
KSHV	Gtf3c4
KSHV	Acap2
KSHV	Ostf1
