Abbre	Gene
LCMV	Dld
LCMV	Ahcy
LCMV	Rpl28
LCMV	Dhx9
LCMV	Dhx15
LCMV	Flna
LCMV	Hnrnpl
LCMV	Hspb1
LCMV	Parp1
LCMV	Cad
LCMV	Eif4a2
LCMV	Krt19
LCMV	Slc3a2
LCMV	Ncbp1
LCMV	Phb
LCMV	Psmc2
LCMV	Smarcc2
LCMV	Snrpa1
LCMV	Sptbn1
LCMV	Trim21
LCMV	Ssb
LCMV	Tjp1
LCMV	Vbp1
LCMV	Ybx3
LCMV	Eif3f
LCMV	Aifm1
LCMV	Eftud2
LCMV	Ddx6
LCMV	Erh
LCMV	Mta1
LCMV	Ddx21
LCMV	Ddx23
LCMV	Cltc
LCMV	Ddx1
LCMV	Sfpq
LCMV	Krt7
LCMV	Pdia6
LCMV	Hnrnpr
LCMV	Sf3a1
LCMV	Caprin1
LCMV	Lasp1
LCMV	Cherp
LCMV	Cct4
LCMV	Prpf8
LCMV	Igf2bp1
LCMV	Igf2bp3
LCMV	Cct8
LCMV	Ruvbl2
LCMV	Ckap4
LCMV	Prkdc
LCMV	Nudt21
LCMV	Snrnp200
LCMV	Cct5
LCMV	Sf3b3
LCMV	Sf3b2
LCMV	Sf3b1
LCMV	Mrpl11
LCMV	Ddx5
LCMV	Dlat
LCMV	Ilf3
LCMV	Myo1b
LCMV	Pdcd6
LCMV	Pfdn2
LCMV	Cyfip2
LCMV	Sap30bp
LCMV	Nckap1
LCMV	Bclaf1
LCMV	Larp1
LCMV	Eif3l
LCMV	Ddx41
LCMV	Mrpl37
LCMV	Rbms1
LCMV	Nufip2
LCMV	Prpf38a
LCMV	U2surp
LCMV	Pgam5
LCMV	Atxn2l
LCMV	Rbmx
LCMV	Snrnp70
LCMV	Tagln2
LCMV	Krt75
LCMV	Hsph1
LCMV	Hnrnph2
LCMV	Eef1d
LCMV	Srsf4
LCMV	Bag4
LCMV	Thrap3
LCMV	Hnrnph1
LCMV	Hnrnpul1
LCMV	Gatad2b
LCMV	Ythdf3
LCMV	Rtcb
LCMV	Dnlz
LCMV	Rpl22
LCMV	Flnc
LCMV	Cltb
LCMV	Ruvbl1
LCMV	Pabpc4
LCMV	Map1b
LCMV	Acp1
LCMV	Phgdh
LCMV	Fam98a
LCMV	Sf3b5
LCMV	Lrrfip1
LCMV	Dnaja1
LCMV	Ogdh
LCMV	Set
LCMV	Slc7a5
LCMV	Luc7l2
LCMV	Timm50
LCMV	Tnrc6b
LCMV	Ahnak
LCMV	Smarcc1
LCMV	Tuba4a
LCMV	Myl12a
LCMV	Hspa8
LCMV	Hspa2
LCMV	Dpysl2
LCMV	Pcbp2
LCMV	Hnrnpab
LCMV	Atp2a2
LCMV	Npm1
LCMV	Rps29
LCMV	Nkrf
LCMV	Ybx1
LCMV	Luc7l
LCMV	Snrpd1
LCMV	Rps12
LCMV	Srsf6
LCMV	Aldoa
LCMV	Rps13
LCMV	Snrpf
LCMV	Ahnak2
LCMV	Rps25
LCMV	Srsf7
LCMV	Tuba1b
LCMV	2310033P09Rik
LCMV	Snrpb
LCMV	Nop2
LCMV	Rbm39
LCMV	Hnrnpa0
