Abbre	Gene
MERS-CoV	Ercc3
MERS-CoV	Naglu
MERS-CoV	Hsd17b4
MERS-CoV	Trp53
MERS-CoV	Igf2r
MERS-CoV	Por
MERS-CoV	Aldh7a1
MERS-CoV	Atp6v1b2
MERS-CoV	Ddb1
MERS-CoV	Nvl
MERS-CoV	Ppp1r7
MERS-CoV	Ppp2r2a
MERS-CoV	Psmd9
MERS-CoV	Rnaseh1
MERS-CoV	Rnh1
MERS-CoV	Srp19
MERS-CoV	Tpp2
MERS-CoV	Usp7
MERS-CoV	Prkra
MERS-CoV	Eif3c
MERS-CoV	Prkar2a
MERS-CoV	Acsl3
MERS-CoV	Galnt2
MERS-CoV	Golga2
MERS-CoV	Dap3
MERS-CoV	Bag6
MERS-CoV	Rrp9
MERS-CoV	Mtor
MERS-CoV	Nme4
MERS-CoV	Pigk
MERS-CoV	Sae1
MERS-CoV	Lman1
MERS-CoV	Cebpz
MERS-CoV	Pcm1
MERS-CoV	Mogs
MERS-CoV	Ipo7
MERS-CoV	Tbl3
MERS-CoV	Fam189b
MERS-CoV	Zfpl1
MERS-CoV	Ascc3
MERS-CoV	Nup50
MERS-CoV	Ola1
MERS-CoV	Ftsj3
MERS-CoV	Scfd1
MERS-CoV	Dcakd
MERS-CoV	Tcf25
MERS-CoV	Atp13a1
MERS-CoV	Nol10
MERS-CoV	Dnpep
MERS-CoV	Pigt
MERS-CoV	Ddx27
MERS-CoV	Wdr36
MERS-CoV	Dhx37
MERS-CoV	Mrpl11
MERS-CoV	Gnl2
MERS-CoV	Ipo11
MERS-CoV	Trmt2a
MERS-CoV	Man2b2
MERS-CoV	Nedd1
MERS-CoV	Rtkn
MERS-CoV	Mrps33
MERS-CoV	Zfr
MERS-CoV	Zfp346
MERS-CoV	Keap1
MERS-CoV	Gtse1
MERS-CoV	Mrps28
MERS-CoV	Fam162a
MERS-CoV	Akap8l
MERS-CoV	Sugp2
MERS-CoV	Sarm1
MERS-CoV	Clcc1
MERS-CoV	Trim9
MERS-CoV	Letmd1
MERS-CoV	Atl3
MERS-CoV	Ubr5
MERS-CoV	Exosc1
MERS-CoV	Trip4
MERS-CoV	Pcyox1
MERS-CoV	Rsl24d1
MERS-CoV	Armcx3
MERS-CoV	Rbms1
MERS-CoV	Fut8
MERS-CoV	Ociad1
MERS-CoV	Rcbtb1
MERS-CoV	Ccar1
MERS-CoV	Ngly1
MERS-CoV	Dcp1a
MERS-CoV	Mib1
MERS-CoV	Gphn
MERS-CoV	Usp28
MERS-CoV	Qtrt1
MERS-CoV	Mrps25
MERS-CoV	Ythdc2
MERS-CoV	Spats2
MERS-CoV	Tmem43
MERS-CoV	Fyco1
MERS-CoV	Chpf
MERS-CoV	Wls
MERS-CoV	Ptges2
MERS-CoV	Exosc8
MERS-CoV	Zcchc9
MERS-CoV	Dicer1
MERS-CoV	Erc1
MERS-CoV	Cnpy4
MERS-CoV	Yipf6
MERS-CoV	Dis3l
MERS-CoV	Tor1aip2
MERS-CoV	Unk
MERS-CoV	Zfp787
MERS-CoV	Zfp746
MERS-CoV	Foxc1
MERS-CoV	Kpna3
MERS-CoV	Kpna4
MERS-CoV	Stim1
MERS-CoV	Map7
MERS-CoV	Ddx10
MERS-CoV	Fxr2
MERS-CoV	Smad2
MERS-CoV	Zbtb16
MERS-CoV	Sptlc2
MERS-CoV	Kpna6
MERS-CoV	Cep170
MERS-CoV	Rchy1
MERS-CoV	Abhd12
MERS-CoV	Cenpf
MERS-CoV	C1qbp
MERS-CoV	Sel1l
