Abbre	Gene
MV	Cpt2
MV	Emd
MV	Ephx1
MV	Gcdh
MV	Trp53
MV	Cse1l
MV	Dad1
MV	Dhcr7
MV	Parp1
MV	Arcn1
MV	Bsg
MV	Cad
MV	Ddb1
MV	Dlst
MV	Jak1
MV	Mad2l1
MV	Slc3a2
MV	Pcna
MV	Phb
MV	Psmc2
MV	Psmd3
MV	Rcn2
MV	Rfc3
MV	Rpn1
MV	Rpn2
MV	Ssr1
MV	Usp7
MV	Slc25a11
MV	Nipsnap1
MV	Dpm1
MV	Eif2s1
MV	Aifm1
MV	Ddx6
MV	Ndufs3
MV	Rab7
MV	Mta1
MV	Syngr1
MV	Mta2
MV	Vamp3
MV	Sec22b
MV	Ndufa5
MV	Ddost
MV	Stat2
MV	Mlf2
MV	Smc3
MV	Smc4
MV	Lamp1
MV	Lman1
MV	Scamp3
MV	Stub1
MV	Hax1
MV	Ssr4
MV	Ipo7
MV	Sptlc1
MV	Cct4
MV	Prpf8
MV	Clpx
MV	Ruvbl2
MV	Lztr1
MV	Afg3l2
MV	Prkdc
MV	Slc39a7
MV	Maged1
MV	Nudt21
MV	Ube2c
MV	Cdc42ep1
MV	Ssr3
MV	Phb2
MV	Ptrh2
MV	Rft1
MV	Alg1
MV	Cct5
MV	Sacm1l
MV	Srprb
MV	Osgep
MV	Slc25a10
MV	Sf3b3
MV	Pelo
MV	Cdipt
MV	Aup1
MV	Bax
MV	Fkbp8
MV	H13
MV	Tnpo2
MV	Stoml2
MV	Fam162a
MV	Akap8l
MV	Faf2
MV	Rab21
MV	Ufl1
MV	Poldip2
MV	Dhrs7
MV	Trap1
MV	Pcyox1
MV	Timmdc1
MV	Gatad2a
MV	Cln6
MV	Tmem33
MV	Adrm1
MV	Tomm22
MV	Pi4ka
MV	Coa7
MV	Tmem109
MV	Ndufs7
MV	Chchd6
MV	Tmx1
MV	Erp44
MV	Maged2
MV	Fancd2
MV	Pgam5
MV	Atxn2l
MV	Foxk2
MV	Slc16a1
MV	Tyk2
MV	Tagln2
MV	Asph
MV	Tm9sf2
MV	Dock3
MV	Slc1a5
MV	Trim28
MV	Dnaja2
MV	Mthfd2
MV	Hsph1
MV	Ranbp1
MV	Hspa4l
MV	Slc25a13
MV	Rchy1
MV	Abhd12
MV	Dnaja4
MV	Tars2
MV	Cyb5b
MV	Dock7
MV	Arl8a
MV	C1qbp
MV	Gtf3c1
MV	Tmpo
MV	Uvrag
MV	Sqstm1
MV	Bag2
MV	Hnrnph1
MV	Trafd1
MV	Rela
MV	Clpb
MV	Sdf4
MV	Ddx58
MV	Ndufaf3
MV	Rhbdd2
MV	Ifih1
MV	Lrpprc
MV	Esyt2
MV	Slc25a4
MV	Dnaja3
MV	Vat1
MV	Tecr
MV	Rpl22
MV	Xrcc6
MV	Irak1
MV	Atp1b3
MV	Cox4i1
MV	Ppp2r5d
MV	Srsf2
MV	Uqcrc2
MV	Vapa
MV	Ruvbl1
MV	Rab11a
MV	Ranbp9
MV	Cox17
MV	Bcap31
MV	Pgrmc2
MV	Sec61b
MV	Xpot
MV	Phgdh
MV	Stt3a
MV	Xrcc5
MV	Gtf3c3
MV	Gtf3c5
MV	Timm10
MV	Tnpo3
MV	Ndufaf4
MV	Ndufa8
MV	Nup93
MV	Tma7
MV	Gid8
MV	Agk
MV	Ccdc47
MV	Mms19
MV	Sfxn1
MV	Bzw1
MV	Ccdc124
MV	Far1
MV	Kndc1
MV	Nup205
MV	Huwe1
MV	Ap1g1
MV	Slamf1
MV	Slc25a12
MV	Rad23a
MV	Rab14
MV	Fanci
MV	Tubb2b
MV	Rab5c
MV	Sec61a1
MV	Dnaja1
MV	Rab6a
MV	Rbbp7
MV	Slc7a5
MV	Aurkb
MV	Tubb4a
MV	Dnajb1
MV	Ppp2r5a
MV	Ppp2r5e
MV	Letm1
MV	Ube2s
MV	Timm50
MV	Gigyf1
MV	Slc25a18
MV	Dnajc7
MV	Sco2
MV	Slc2a1
MV	Osbpl8
MV	Xpo5
MV	Dhx58
MV	Tubb6
MV	Thoc2
MV	Ppp2r1b
MV	Ssbp1
MV	Pcbp2
MV	Atp2a2
MV	Npm1
MV	Ccdc85c
MV	Foxk1
MV	Ybx1
MV	Cfl1
MV	Vdac1
MV	Ppp6r3
MV	Wdr6
MV	Higd1a
MV	Txn1
MV	Irf7
MV	Nap1l1
MV	Snrpf
MV	Tuba1b
MV	Eef2
