Abbre	Gene
VACV	Pccb
VACV	Trp53
VACV	Tnf
VACV	Anxa1
VACV	Bid
VACV	Chuk
VACV	Dhx9
VACV	Hspb1
VACV	Ctnna1
VACV	Jun
VACV	Jup
VACV	Sptbn1
VACV	Strn
VACV	Ofd1
VACV	Pik3r3
VACV	Uri1
VACV	Eif2s2
VACV	Mbd2
VACV	Prkar2a
VACV	Tank
VACV	Bad
VACV	Dusp1
VACV	Golga2
VACV	Stau1
VACV	Traf6
VACV	Usp9x
VACV	Bap1
VACV	Ppig
VACV	Cltc
VACV	Pik3r2
VACV	Sfpq
VACV	Pdia6
VACV	Hnrnpr
VACV	Cd2bp2
VACV	Erlin1
VACV	Cgrrf1
VACV	Ddx19a
VACV	Phlda1
VACV	Aup1
VACV	Bax
VACV	Cdr2
VACV	Lrig1
VACV	Mast2
VACV	Vasp
VACV	Bcl2l11
VACV	Ikbkb
VACV	Ilf3
VACV	Zfpm2
VACV	Acap2
VACV	Azi2
VACV	Stau2
VACV	Tbkbp1
VACV	Zc3h11a
VACV	Cobll1
VACV	Sun2
VACV	Rai14
VACV	Adar
VACV	Pdlim1
VACV	Deaf1
VACV	Palmd
VACV	Akirin2
VACV	Mast1
VACV	Son
VACV	Ctnnbip1
VACV	Mccc2
VACV	Tnip2
VACV	Fyco1
VACV	Cwf19l2
VACV	Erp44
VACV	Tchp
VACV	Nus1
VACV	Trim11
VACV	Klc3
VACV	Rilpl1
VACV	Lzts2
VACV	Sbsn
VACV	Wnk2
VACV	Nynrin
VACV	Aplp2
VACV	Rbmx
VACV	Matn2
VACV	Pik3ca
VACV	Pik3cb
VACV	Kif2c
VACV	Utrn
VACV	Cit
VACV	Slk
VACV	Pdcd6ip
VACV	Tbk1
VACV	Myoz1
VACV	Khnyn
VACV	Acaca
VACV	Ncor2
VACV	Appbp2
VACV	Rnf11
VACV	Slc25a4
VACV	Xpa
VACV	Rpl22
VACV	Ckb
VACV	Col6a3
VACV	Dsp
VACV	Tpd52
VACV	Rad50
VACV	Ncor1
VACV	Btrc
VACV	Nefh
VACV	Gtf3c3
VACV	Snx5
VACV	Exoc7
VACV	Lap3
VACV	Abhd5
VACV	Scrib
VACV	Cep135
VACV	Sptbn2
VACV	Gps2
VACV	Tubb2b
VACV	Cdc42bpb
VACV	Ddx19b
VACV	Map2k7
VACV	Egln1
VACV	Eno3
VACV	Hspa2
VACV	Hnrnpab
VACV	Npm1
VACV	Lmo7
VACV	Mia3
VACV	Ybx1
VACV	Larp7
VACV	Luc7l
VACV	Bin1
VACV	Cxcl2
VACV	Ubc
VACV	Ahnak2
