Abbre	Gene
ZIKV	Cpox
ZIKV	Ephx1
ZIKV	Msh6
ZIKV	Stk11
ZIKV	Rpl28
ZIKV	Dhcr7
ZIKV	Dkc1
ZIKV	Bsg
ZIKV	Cox7b
ZIKV	Ddb1
ZIKV	Slc3a2
ZIKV	Mki67
ZIKV	Mtap
ZIKV	Ndufb6
ZIKV	Nfx1
ZIKV	Pde2a
ZIKV	Phb
ZIKV	Ppp1r10
ZIKV	Rcn2
ZIKV	Rfc1
ZIKV	Rpn1
ZIKV	Rpn2
ZIKV	Sdhb
ZIKV	Stxbp1
ZIKV	Supt5
ZIKV	Top1
ZIKV	Vgf
ZIKV	Slc25a11
ZIKV	Ofd1
ZIKV	Eif3a
ZIKV	Eif3c
ZIKV	Eif3f
ZIKV	Stx16
ZIKV	Napa
ZIKV	Pex11b
ZIKV	Tmem11
ZIKV	Cox8a
ZIKV	Ndufb7
ZIKV	Aifm1
ZIKV	Bcr
ZIKV	Flot2
ZIKV	Mgst3
ZIKV	Ndufa1
ZIKV	Ndufb2
ZIKV	Ndufc2
ZIKV	Xpc
ZIKV	Dap3
ZIKV	Usp9x
ZIKV	Ddx21
ZIKV	Mta2
ZIKV	Ppig
ZIKV	Dhx8
ZIKV	Mtor
ZIKV	Ndufb8
ZIKV	Ndufb9
ZIKV	Exosc9
ZIKV	Ddost
ZIKV	Rala
ZIKV	Stat2
ZIKV	Parp2
ZIKV	Smc4
ZIKV	Scamp3
ZIKV	Cebpz
ZIKV	Trim13
ZIKV	Plin3
ZIKV	Mrps31
ZIKV	Hax1
ZIKV	Timm17b
ZIKV	Cherp
ZIKV	Ipo7
ZIKV	Nop56
ZIKV	Sptlc1
ZIKV	Smc2
ZIKV	Erlin1
ZIKV	Ell
ZIKV	Ebp
ZIKV	Zfpl1
ZIKV	Ckap4
ZIKV	Ift27
ZIKV	Prkdc
ZIKV	Maged1
ZIKV	Ddx52
ZIKV	Krr1
ZIKV	Ssr3
ZIKV	Abcb8
ZIKV	Ddx20
