Abbre	Gene
EBV	Gja1
EBV	Pex5
EBV	Cnn1
EBV	Cse1l
EBV	Ctbp1
EBV	Dhx9
EBV	Hspb1
EBV	Igfbp4
EBV	Cad
EBV	Ddb1
EBV	Eef1b2
EBV	Htt
EBV	Mdm2
EBV	Ptpn1
EBV	Rap1a
EBV	Rcn2
EBV	Smarcb1
EBV	Tbp
EBV	Usp7
EBV	Cul5
EBV	Cul4b
EBV	Cul3
EBV	Cul2
EBV	Cul1
EBV	Cntnap1
EBV	Tradd
EBV	Ube2m
EBV	Aip
EBV	Nfkb1
EBV	B2m
EBV	Aifm1
EBV	Traf4
EBV	Ddx6
EBV	Stau1
EBV	Ddost
EBV	Idh3a
EBV	Lamp1
EBV	Sdcbp
EBV	Vamp7
EBV	Prmt5
EBV	Hax1
EBV	Nefl
EBV	Aimp2
EBV	Prpf8
EBV	Ruvbl2
EBV	Ap2a2
EBV	Sf3b1
EBV	Scyl1
EBV	Pick1
EBV	Bcl2l11
EBV	Cnp
EBV	Ilf3
EBV	Mtch2
EBV	Snd1
EBV	Tollip
EBV	Ndfip1
EBV	Pml
EBV	Crtc2
EBV	Csnk2a2
EBV	Rbmx
EBV	Ywhab
EBV	Dlg1
EBV	Pdia4
EBV	Src
EBV	Ywhag
EBV	Ehd2
EBV	Hnrnpu
EBV	Myc
EBV	Sqstm1
EBV	Rela
EBV	Epn1
EBV	Lrpprc
EBV	Dnaja3
EBV	Ywhah
EBV	Snap23
EBV	Hgs
EBV	Homer3
EBV	Fbln5
EBV	Rabac1
EBV	Atp2b4
EBV	Wwp2
EBV	Ptbp1
EBV	Camk2d
EBV	Rbbp7
EBV	Sh3gl1
EBV	Hdac4
EBV	Ank3
EBV	Necab2
EBV	Cdk1
EBV	Hsp90aa1
EBV	Pcbp1
EBV	Hspa8
EBV	Ppp2r1a
EBV	Ssbp1
EBV	Egfr
EBV	Cul4a
EBV	Psmc6
EBV	Kat5
EBV	Cap2
EBV	Pi4k2a
EBV	Ppp1ca
EBV	Eif4g1
EBV	Prkaca
EBV	Stx12
EBV	Rpl10
EBV	Dynll1
EBV	Ubqln1
