Abbre	Gene
HCMV	Col1a2
HCMV	Gja1
HCMV	Ocrl
HCMV	Tsc2
HCMV	Bckdha
HCMV	Ctbp1
HCMV	Atp6v1e1
HCMV	Cfb
HCMV	Cd47
HCMV	Ctnnb1
HCMV	Ddb1
HCMV	Grb2
HCMV	Htt
HCMV	Itpr1
HCMV	Ivd
HCMV	Map1a
HCMV	Map2
HCMV	Ptpn11
HCMV	Rap1a
HCMV	Rcn2
HCMV	Smarcb1
HCMV	Strn
HCMV	Usp7
HCMV	Cul4b
HCMV	Cul3
HCMV	Cul1
HCMV	Cntnap1
HCMV	Napa
HCMV	Wasf1
HCMV	B2m
HCMV	Gda
HCMV	Tgfbr1
HCMV	Dag1
HCMV	Stau1
HCMV	Mta2
HCMV	Atp6v0a1
HCMV	Apba2
HCMV	Rbl2
HCMV	Sdcbp
HCMV	Vamp7
HCMV	Hax1
HCMV	Thy1
HCMV	Arpc1a
HCMV	Cct7
HCMV	Ruvbl2
HCMV	Synpo
HCMV	Napb
HCMV	Ap2a2
HCMV	Psen1
HCMV	Raly
HCMV	Sirpa
HCMV	Itm2b
HCMV	Vamp2
HCMV	Bcar1
HCMV	Ilf3
HCMV	Shc1
HCMV	Ube3a
HCMV	Clic4
HCMV	Ddah2
HCMV	Mtch2
HCMV	Necap2
HCMV	Fkbp11
HCMV	Pdzrn3
HCMV	Ccdc93
HCMV	Prrc2a
HCMV	Mrps35
HCMV	Rnf123
HCMV	Derl1
HCMV	Pml
HCMV	Madd
HCMV	Pgam5
HCMV	Ublcp1
HCMV	Ak1
HCMV	Cdh2
HCMV	Ckm
HCMV	Csnk2a2
HCMV	Rbmx
HCMV	Ptpra
HCMV	Ptprs
HCMV	Sh3gl2
HCMV	Ywhab
HCMV	Bdh1
HCMV	Dlg1
HCMV	Dvl3
HCMV	Pdia4
HCMV	Ywhag
HCMV	Ndrg2
HCMV	Acin1
HCMV	Hnrnpu
HCMV	Ptk2b
HCMV	Hnrnpul2
HCMV	Apc
HCMV	Nr3c1
HCMV	Herc1
HCMV	C1qc
HCMV	Git1
HCMV	Sv2a
HCMV	Efhd2
HCMV	Atp1b1
HCMV	Cox5b
HCMV	Rpa2
HCMV	Ywhah
HCMV	Homer3
HCMV	Stx8
HCMV	Scamp1
HCMV	Hes1
HCMV	Bcap31
HCMV	Rabac1
HCMV	Btrc
HCMV	Vti1a
HCMV	Sigmar1
HCMV	Epn2
HCMV	Nefh
HCMV	Atp2b4
HCMV	Sptbn2
HCMV	Wwp2
HCMV	Rtn1
HCMV	Col3a1
HCMV	Cdk9
HCMV	Gsk3b
HCMV	Tnc
HCMV	Prkca
HCMV	Rbbp7
HCMV	Sh3gl1
HCMV	Hdac4
HCMV	Cops5
HCMV	App
HCMV	Sirt1
HCMV	Mink1
HCMV	Numbl
HCMV	Ppp2r1a
HCMV	Nolc1
HCMV	Rab8b
HCMV	Egfr
HCMV	Mapt
HCMV	Cul4a
HCMV	Crk
HCMV	Sorbs1
HCMV	Larp7
HCMV	Psmc6
HCMV	Kat5
HCMV	Pi4k2a
HCMV	Csnk1a1
HCMV	Stx6
HCMV	Prkaca
HCMV	Actg2
HCMV	Stx12
HCMV	Eps15
HCMV	Rpl10
HCMV	Dynll1
HCMV	Actbl2
HCMV	Top2b
HCMV	Smarca4
