Abbre	Gene
HCV	Dhx9
HCV	Flna
HCV	Ctnnb1
HCV	Gfap
HCV	Grb2
HCV	Jun
HCV	Map2
HCV	Rap1a
HCV	Axin1
HCV	Cadps
HCV	Uba3
HCV	B2m
HCV	Ccng1
HCV	Tgfbr1
HCV	Ddx6
HCV	Ddost
HCV	Lman1
HCV	Nefl
HCV	Prkdc
HCV	Supt16h
HCV	Bcan
HCV	Pick1
HCV	Bcar1
HCV	Lrrc59
HCV	Pml
HCV	Serpinh1
HCV	Elavl1
HCV	Csnk2a2
HCV	Pdia4
HCV	Acin1
HCV	Ptgs2
HCV	Actn2
HCV	Thbs1
HCV	Slc25a4
HCV	Vapb
HCV	Dnaja3
HCV	Atp1b1
HCV	Map3k11
HCV	Bckdk
HCV	Homer3
HCV	Stx8
HCV	Fbln5
HCV	Ncstn
HCV	Fyn
HCV	Rab14
HCV	Nras
HCV	Hras
HCV	Smad3
HCV	Mthfd1
HCV	Cdk1
HCV	Dync1i1
HCV	Hsp90aa1
HCV	Hspa8
HCV	Pclo
HCV	Ssbp1
HCV	Sorbs2
HCV	Csnk1a1
HCV	Bin1
HCV	Stx12
HCV	Actbl2
HCV	Ubqln1
