Abbre	Gene
KSHV	Cse1l
KSHV	Ctbp1
KSHV	Grb2
KSHV	Mdm2
KSHV	Ptpn11
KSHV	Rcn2
KSHV	Sdc2
KSHV	Tbp
KSHV	Usp7
KSHV	Cul5
KSHV	Cul3
KSHV	Cul1
KSHV	Ikbkg
KSHV	Wasf1
KSHV	Tgfbr1
KSHV	Herc2
KSHV	Syngr1
KSHV	Snap29
KSHV	Cdk5
KSHV	Atp6v0a1
KSHV	Lman1
KSHV	Prmt5
KSHV	Hax1
KSHV	Prkdc
KSHV	Itm2b
KSHV	Gtf2i
KSHV	Mtch2
KSHV	Snd1
KSHV	Pgam5
KSHV	Dpysl3
KSHV	Snrnp70
KSHV	Pdia4
KSHV	Siah2
KSHV	Src
KSHV	Hnrnpu
KSHV	Myc
KSHV	Hnrnpul1
KSHV	Atp1b1
KSHV	Cox4i1
KSHV	Cox5b
KSHV	Mapk1
KSHV	Rpa2
KSHV	Gosr1
KSHV	Fyn
KSHV	Wwp2
KSHV	Itgb3
KSHV	Cdk9
KSHV	Gpc4
KSHV	Cops5
KSHV	App
KSHV	Vangl2
KSHV	Hdac2
KSHV	Ppp2r1a
KSHV	Cul4a
KSHV	Crk
KSHV	Crem
KSHV	Kat5
KSHV	Ppp1ca
KSHV	Pdha1
KSHV	Prkaca
KSHV	Prss1
KSHV	Nme2
KSHV	Alyref
