Abbre	Gene
EBV	RPL3
EBV	RPS5
EBV	UGA2
EBV	RDI1
EBV	CSE1
EBV	SUA7
EBV	URA2
EBV	EFB1
EBV	SSE1
EBV	KAP95
EBV	POL3
EBV	PRE5
EBV	PRE8
EBV	PRE10
EBV	PRE9
EBV	PUP2
EBV	PRE7
EBV	PUP3
EBV	PRE4
EBV	PRE3
EBV	PUP1
EBV	RPT2
EBV	RPN2
EBV	RPN3
EBV	RPN8
EBV	RPN6
EBV	RPN9
EBV	NAM7
EBV	RFC5
EBV	RFA1
EBV	SDH2
EBV	CRM1
EBV	USO1
EBV	UBC12
EBV	SUI2
EBV	COP1
EBV	DHH1
EBV	FRS2
EBV	SMD2
EBV	SEC27
EBV	CHC1
EBV	SEC22
EBV	CAP2
EBV	CYT2
EBV	IDH2
EBV	RPN11
EBV	RUB1
EBV	RPB9
EBV	NMD5
EBV	LCB1
EBV	PRP8
EBV	RPT3
EBV	MCX1
EBV	IDH1
EBV	PHB2
EBV	ALG1
EBV	UBC9
EBV	SLY1
EBV	SPF1
EBV	BRR2
EBV	ERV29
EBV	GPI16
EBV	CCT5
EBV	SAC1
EBV	DBP2
EBV	MGE1
EBV	ALG5
EBV	PIS1
EBV	TAF6
EBV	ARL1
EBV	PFK1
EBV	HMT1
EBV	RIM20
EBV	SRY1
EBV	FUR1
EBV	SNX3
EBV	MDJ1
EBV	APE2
EBV	TSC13
EBV	RPL22A
EBV	YKU70
EBV	RVB1
EBV	SEC10
EBV	LOS1
EBV	MCM4
EBV	NIC96
EBV	GET4
EBV	GPI17
EBV	DAP1
EBV	TIF5
EBV	PDI1
EBV	SEC61
EBV	CKB2
EBV	PFK2
EBV	RPN10
EBV	RNA1
EBV	ISW1
EBV	SIS1
EBV	GEM1
EBV	BIM1
EBV	PMR1
EBV	RPD3
EBV	TPD3
EBV	RSP5
EBV	CKA2
EBV	RPT4
EBV	ESA1
EBV	GLC7
EBV	RPS15
EBV	RPL28
EBV	TPK2
EBV	TPK1
EBV	RPS13
EBV	NAP1
