Abbre	Gene
HCMV	CCC2
HCMV	HEM14
HCMV	RAD3
HCMV	APT1
HCMV	RPB2
HCMV	PRI2
HCMV	ALF1
HCMV	DPH2
HCMV	ADK1
HCMV	VMA4
HCMV	CIR1
HCMV	ERG20
HCMV	RAM2
HCMV	VPS34
HCMV	POL3
HCMV	RPB7
HCMV	PRE10
HCMV	PRE4
HCMV	PRE3
HCMV	RPN3
HCMV	RPN6
HCMV	RFA1
HCMV	PAC10
HCMV	GLE2
HCMV	PEX3
HCMV	TLG2
HCMV	DPL1
HCMV	RAD27
HCMV	PCH2
HCMV	MAS1
HCMV	GUD1
HCMV	IDI1
HCMV	CAP2
HCMV	YUH1
HCMV	ESS1
HCMV	RPB9
HCMV	SEC23
HCMV	ATG7
HCMV	ARC40
HCMV	SEC7
HCMV	CCT7
HCMV	CCT4
HCMV	RPT3
HCMV	MCX1
HCMV	MAP2
HCMV	IDH1
HCMV	PWP1
HCMV	VPS45
HCMV	TRM7
HCMV	VHC1
HCMV	TAE1
HCMV	NHP2
HCMV	TSR1
HCMV	TRM1
HCMV	SLY1
HCMV	TCP1
HCMV	SPF1
HCMV	ERV14
HCMV	PUT2
HCMV	UBA4
HCMV	NMD3
HCMV	GPI16
HCMV	MHO1
HCMV	CCT5
HCMV	LIA1
HCMV	SAC1
HCMV	KAE1
HCMV	REX2
HCMV	MEF1
HCMV	GPN3
HCMV	YCS4
HCMV	YSH1
HCMV	GCD7
HCMV	RPP0
HCMV	UBC7
HCMV	ERB1
HCMV	ALG9
HCMV	KRE33
HCMV	ARP5
HCMV	RCM1
HCMV	ARG1
HCMV	RAT1
HCMV	MGE1
HCMV	PUS7
HCMV	NOP58
HCMV	CDH1
HCMV	PNG1
HCMV	OTU1
HCMV	GUT1
HCMV	SPS19
HCMV	RRP12
HCMV	SRY1
HCMV	OXA1
HCMV	LSB6
HCMV	SNX3
HCMV	YPT1
HCMV	AAH1
HCMV	RFA2
HCMV	RVB1
HCMV	GAA1
HCMV	UTP20
HCMV	TRA1
HCMV	SSC1
HCMV	NOC3
HCMV	YPT6
HCMV	ERG2
HCMV	SPT6
HCMV	MTR10
HCMV	GCN2
HCMV	LSM1
HCMV	CDC36
HCMV	RRS1
HCMV	SAM50
HCMV	GET4
HCMV	GOT1
HCMV	EMW1
HCMV	UTP22
HCMV	SEC15
HCMV	BNA2
HCMV	TWF1
HCMV	STE7
HCMV	SLY41
HCMV	ERG11
HCMV	SEC61
HCMV	SRM1
HCMV	CKB2
HCMV	RPN10
HCMV	TMA19
HCMV	ISW1
HCMV	CIA1
HCMV	SEC24
HCMV	GEM1
HCMV	SEC21
HCMV	YLH47
HCMV	PMR1
HCMV	HLJ1
HCMV	SNF7
HCMV	MYO1
HCMV	RPD3
HCMV	TPD3
HCMV	SAC6
HCMV	CDC55
HCMV	RSP5
HCMV	CKA2
HCMV	MRPL23
HCMV	NAS6
HCMV	OSH6
HCMV	RPT4
HCMV	ESA1
HCMV	CCR4
HCMV	UBC8
HCMV	ENV9
HCMV	RTT10
HCMV	TPK2
HCMV	TPK1
HCMV	PRS3
HCMV	ATG8
HCMV	TOP2
