Abbre	Gene
HCV	FOX2
HCV	ADE5,7
HCV	NCP1
HCV	NOP1
HCV	KGD2
HCV	CIR1
HCV	KAP95
HCV	PHB1
HCV	VPS34
HCV	PRE9
HCV	PUP2
HCV	PRE4
HCV	ERG24
HCV	TUF1
HCV	CRM1
HCV	VPS30
HCV	APL5
HCV	COP1
HCV	DHH1
HCV	CHC1
HCV	SMC4
HCV	NMD5
HCV	CCT4
HCV	AFG3
HCV	PHB2
HCV	FAP7
HCV	TCP1
HCV	ERV29
HCV	VPS35
HCV	SAC1
HCV	DBP9
HCV	GUF1
HCV	UBC7
HCV	DBP2
HCV	LAT1
HCV	RAT1
HCV	RDS3
HCV	PIS1
HCV	MOB1
HCV	PNG1
HCV	SPB4
HCV	ARL1
HCV	HSP10
HCV	YRB1
HCV	CYB5
HCV	MRS2
HCV	GRX5
HCV	MDJ1
HCV	RPL22A
HCV	PKP1
HCV	POR1
HCV	RVB1
HCV	SSC1
HCV	GET4
HCV	ELF1
HCV	GPI17
HCV	DAP1
HCV	PDI1
HCV	CKB2
HCV	CYT1
HCV	RPN10
HCV	ADE3
HCV	PMR1
HCV	TUB2
HCV	CKA2
HCV	CYB2
HCV	FAD1
HCV	TRX3
HCV	NAP1
HCV	CTP1
