Abbre	Gene
KSHV	ADE13
KSHV	HEM15
KSHV	MSH2
KSHV	RAD3
KSHV	RPB2
KSHV	CDC21
KSHV	CSE1
KSHV	NOP1
KSHV	KGD2
KSHV	RPB7
KSHV	RFA1
KSHV	SDH2
KSHV	GLE2
KSHV	DPL1
KSHV	CDC16
KSHV	YPT7
KSHV	VMA6
KSHV	PRP4
KSHV	PHO85
KSHV	CYT2
KSHV	POL2
KSHV	RPB9
KSHV	PPT1
KSHV	TIM44
KSHV	PHB2
KSHV	TRM7
KSHV	UBC9
KSHV	ICP55
KSHV	COX15
KSHV	GCD14
KSHV	SAC1
KSHV	DNM1
KSHV	KAE1
KSHV	RPF2
KSHV	GPN3
KSHV	YSH1
KSHV	UNG1
KSHV	FMP41
KSHV	LAT1
KSHV	PUS7
KSHV	MSY1
KSHV	TIF6
KSHV	MRD1
KSHV	HMT1
KSHV	SRY1
KSHV	VPS74
KSHV	MRS2
KSHV	KSS1
KSHV	RFA2
KSHV	GOS1
KSHV	SEC10
KSHV	SSC1
KSHV	MTR10
KSHV	CDC36
KSHV	SAM50
KSHV	GOT1
KSHV	CAB1
KSHV	NOP9
KSHV	SUB2
KSHV	STE7
KSHV	PDI1
KSHV	KGD1
KSHV	CIA1
KSHV	CIT2
KSHV	RPD3
KSHV	TPD3
KSHV	SEH1
KSHV	OSH7
KSHV	CDC55
KSHV	ESA1
KSHV	GLC7
KSHV	PDA1
KSHV	TPK2
KSHV	SRP1
