Abbre	Gene
LCMV	LPD1
LCMV	SAH1
LCMV	RPL3
LCMV	RPS3
LCMV	RPS5
LCMV	URA2
LCMV	EFB1
LCMV	SSE1
LCMV	PHB1
LCMV	PUP2
LCMV	PRE3
LCMV	RPN6
LCMV	RPN9
LCMV	RFA1
LCMV	MNP1
LCMV	TUF1
LCMV	PAC10
LCMV	SNU114
LCMV	COP1
LCMV	DHH1
LCMV	SMD2
LCMV	PIM1
LCMV	CHC1
LCMV	CCT7
LCMV	CCT4
LCMV	PRP8
LCMV	TSA2
LCMV	TCP1
LCMV	BRR2
LCMV	CCT5
LCMV	RPP0
LCMV	MRPL19
LCMV	DBP2
LCMV	LAT1
LCMV	SSE2
LCMV	RPL22A
LCMV	RPS20
LCMV	RVB1
LCMV	SSC1
LCMV	PDI1
LCMV	KGD1
LCMV	RPN10
LCMV	TUB2
LCMV	LUC7
LCMV	RPL5
LCMV	RPS12
LCMV	RPL28
LCMV	RPS13
