Abbre	Gene
MERS-CoV	SSL2
MERS-CoV	FOX2
MERS-CoV	NCP1
MERS-CoV	VMA2
MERS-CoV	HCS1
MERS-CoV	NAS2
MERS-CoV	NIP1
MERS-CoV	RRP9
MERS-CoV	TOR2
MERS-CoV	GPI8
MERS-CoV	AOS1
MERS-CoV	MAK21
MERS-CoV	NMD5
MERS-CoV	UTP13
MERS-CoV	RPT3
MERS-CoV	OLA1
MERS-CoV	SLY1
MERS-CoV	SPF1
MERS-CoV	ICP55
MERS-CoV	ENP2
MERS-CoV	APE4
MERS-CoV	GPI16
MERS-CoV	MRPL19
MERS-CoV	NOG2
MERS-CoV	CSL4
MERS-CoV	RLP24
MERS-CoV	YTM1
MERS-CoV	PNG1
MERS-CoV	KSS1
MERS-CoV	MTC5
MERS-CoV	MTR10
MERS-CoV	RRS1
MERS-CoV	EMW1
MERS-CoV	UTP22
MERS-CoV	GPI17
MERS-CoV	SIS1
MERS-CoV	TPD3
MERS-CoV	CKA2
MERS-CoV	TPK2
MERS-CoV	SRP1
