Abbre	Gene
MV	YAT1
MV	RPL3
MV	CSE1
MV	URA2
MV	KGD2
MV	EFB1
MV	SSE1
MV	KAP95
MV	MAD2
MV	PHB1
MV	RPN3
MV	RFC5
MV	TUF1
MV	CRM1
MV	SUI2
MV	COP1
MV	DHH1
MV	YPT7
MV	SEC22
MV	SMC3
MV	SMC4
MV	NMD5
MV	LCB1
MV	CCT7
MV	CCT4
MV	PRP8
MV	MCX1
MV	TSA2
MV	AFG3
MV	STI1
MV	YKE4
MV	UBC11
MV	PHB2
MV	RFT1
MV	ALG1
MV	TCP1
MV	TPC1
MV	CCT5
MV	SAC1
MV	KAE1
MV	RPP0
MV	DIC1
MV	PIS1
MV	YDJ1
MV	SSE2
MV	YRB1
MV	CYB5
MV	MDJ1
MV	TSC13
MV	RPL22A
MV	YKU70
MV	POR1
MV	RVB1
MV	YPT31
MV	LOS1
MV	MTR10
MV	NIC96
MV	MET18
MV	DAP1
MV	SEC61
MV	IPL1
MV	SIS1
MV	SEC21
MV	YLH47
MV	TUB2
MV	TPD3
MV	OSH7
MV	RPL5
MV	RTT10
MV	TRX3
MV	NAP1
MV	CTP1
