Abbre	Gene
ZIKV	MSH6
ZIKV	RPL3
ZIKV	RPS3
ZIKV	RPS5
ZIKV	GCN3
ZIKV	KAP95
ZIKV	MEU1
ZIKV	FAP1
ZIKV	PHB1
ZIKV	RFC1
ZIKV	SDH2
ZIKV	SPT5
ZIKV	TOP1
ZIKV	RPG1
ZIKV	NIP1
ZIKV	TLG2
ZIKV	PRP22
ZIKV	TOR2
ZIKV	SMC4
ZIKV	MAK21
ZIKV	NMD5
ZIKV	NOP56
ZIKV	LCB1
ZIKV	SMC2
ZIKV	ERG3
ZIKV	ROK1
ZIKV	KRR1
ZIKV	VPS45
ZIKV	PHB2
ZIKV	YSA1
ZIKV	COX15
ZIKV	ENP2
ZIKV	SKI6
ZIKV	ERV29
ZIKV	IMP3
ZIKV	GCD14
ZIKV	SAC1
ZIKV	DBP7
ZIKV	DBP9
ZIKV	GCD7
ZIKV	RPP0
ZIKV	ERB1
ZIKV	RRB1
ZIKV	HAS1
ZIKV	FIG4
ZIKV	MRPL19
ZIKV	KRE33
ZIKV	NOG2
ZIKV	RFC4
ZIKV	ALG8
ZIKV	DIM1
ZIKV	BMS1
ZIKV	NOG1
ZIKV	PIS1
ZIKV	CSL4
ZIKV	BRX1
ZIKV	OMA1
ZIKV	SPB4
ZIKV	YDJ1
ZIKV	HMT1
ZIKV	RRP12
ZIKV	OXA1
ZIKV	MRPL9
ZIKV	TSC13
ZIKV	RPL22A
ZIKV	RPS20
ZIKV	POR1
ZIKV	GOS1
ZIKV	LOS1
ZIKV	UTP20
ZIKV	CMR1
ZIKV	NIC96
ZIKV	GOT1
ZIKV	UTP22
ZIKV	NOP9
ZIKV	UTP23
ZIKV	DAP1
ZIKV	SEC61
ZIKV	PFK2
ZIKV	SEC21
ZIKV	NIP7
ZIKV	CHD1
ZIKV	CDC31
ZIKV	MRPL23
ZIKV	RPS15
ZIKV	RPL5
ZIKV	RPS12
ZIKV	RPL28
ZIKV	RHB1
ZIKV	RPS13
ZIKV	NAP1
ZIKV	CTP1
