Abbre	Gene
EBV	tp53
EBV	rpl3
EBV	rpl28
EBV	rps5
EBV	dhx9
EBV	hspb1
EBV	parp1
EBV	kpnb1
EBV	pcna
EBV	rpa1
EBV	rpn2
EBV	rxra
EBV	vim
EBV	xpo1
EBV	usp7
EBV	cul5
EBV	cul4b
EBV	bag6
EBV	fxr1
EBV	tfcp2
EBV	hnrnpr
EBV	cct3
EBV	orc2
EBV	pold2
EBV	syncrip
EBV	phb2
EBV	tnpo1
EBV	ube2i
EBV	ddx5
EBV	nono
EBV	uhrf1
EBV	orc4
EBV	atad3a
EBV	tshz3
EBV	ywhab
EBV	tmpo
EBV	sqstm1
EBV	orc1
EBV	rps2
EBV	ndc80
EBV	mcm4
EBV	nup93
EBV	ptbp1
EBV	dnaja1
EBV	hdac1
EBV	npm1
EBV	sumo2
EBV	ddx17
EBV	srpk1
EBV	rpl13a
EBV	rps13
