Abbre	Gene
HCMV	tp53
HCMV	cdc27
HCMV	dph2
HCMV	ctnnb1
HCMV	ncbp1
HCMV	polr2c
HCMV	rpa1
HCMV	rpn2
HCMV	vim
HCMV	usp7
HCMV	cul4b
HCMV	rae1
HCMV	arhgef7
HCMV	bag6
HCMV	med23
HCMV	hnrnpr
HCMV	cct3
HCMV	ap3m2
HCMV	gpn3
HCMV	ncapd2
HCMV	rplp0
HCMV	uhrf1
HCMV	ahctf1
HCMV	fzr1
HCMV	atad3a
HCMV	spc24
HCMV	ywhab
HCMV	fzd7
HCMV	anxa2
HCMV	ncor2
HCMV	stag1
HCMV	btrc
HCMV	hspa9
HCMV	ncapd3
HCMV	cnot10
HCMV	ncapg
HCMV	cdk9
HCMV	wdhd1
HCMV	gnl3
HCMV	ube2s
HCMV	smg1
HCMV	mink1
HCMV	rrp1b
HCMV	hdac1
HCMV	tbl1xr1
HCMV	sumo2
