Gene	Virus	Virus_num	Virally_targeted
A2M	Epstein-Barr virus,Hepatitis E virus,Human cytomegalovirus	3	Specific
A2ML1	Human cytomegalovirus	1	Specific
A4GNT	Hepatitis delta virus	1	Specific
AAAS	Human cytomegalovirus,Influenza A virus (H1N1),Zika virus	3	Specific
AACS	Human cytomegalovirus	1	Specific
AAK1	Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 6b	3	Specific
AAMP	Human papillomavirus 31	1	Specific
AAR2	Influenza A virus (H1N1),Influenza A virus (H3N2),SARS-CoV-2,Zika virus	4	Specific
AARS1	Influenza A virus (H1N1),SARS-CoV-2	2	Specific
AARS2	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
AASDHPPT	Hepatitis C virus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
AASS	SARS-CoV-2	1	Specific
AATF	Human immunodeficiency virus 1,Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1,SARS-CoV-2	5	Specific
ABAT	Human adenovirus C	1	Specific
ABCA1	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11	3	Specific
ABCA13	Epstein-Barr virus,Human polyomavirus 1,Macaca mulatta polyomavirus 1,Merkel cell polyomavirus	4	Specific
ABCA2	Influenza A virus (H3N2)	1	Specific
ABCA4	Dengue virus 2	1	Specific
ABCA7	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
ABCB10	Human immunodeficiency virus 1,SARS-CoV-2	2	Specific
ABCB11	SARS-CoV-2	1	Specific
ABCB6	Human cytomegalovirus,Human papillomavirus 11,Zika virus	3	Specific
ABCB7	Hepatitis delta virus,Human papillomavirus 6b,SARS-CoV-1	3	Specific
ABCB8	SARS-CoV-2,Zika virus	2	Specific
ABCC1	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2	8	Specific
ABCC10	SARS-CoV-2	1	Specific
ABCC2	Influenza A virus (H1N1)	1	Specific
ABCC4	Dengue virus 2,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b	4	Specific
ABCD1	Epstein-Barr virus,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b	4	Specific
ABCD3	Dengue virus 2,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 18,Influenza A virus (H1N1),Merkel cell polyomavirus	6	Specific
ABCE1	Chandipura virus ,Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1)	4	Specific
