Gene	Virus	Abbre	Baltimore	Family
GLYR1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CEP63	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SART3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GOLGA6L10	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ALG10	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ERLIN2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AQR	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EARS2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SAMM50	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GOLT1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RRP1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BUB3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CEP250	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GDAP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPL12	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HLA-B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSMC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GCN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAF2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EXTL2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ARF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GTF3C5	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMEM245	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
YTHDC2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
KPNA2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GBF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SAAL1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SSR4	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AKR7A3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ERC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPS21	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS26	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAR1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RRP15	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AKAP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
APOB	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EMG1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMEM115	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RSL1D1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ESYT2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ERGIC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EWSR1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BCLAF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SCLT1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
YIF1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TMPO	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VTI1B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HM13	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GOLGB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EMILIN1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RAI14	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CIP2A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VPS26C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VKORC1L1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEC16A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ESF1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ETFA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
VAC14	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RNASET2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
EXOSC7	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AIFM1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SAE1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAM3C	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
WWC1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SLC25A13	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FANCI	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TNFRSF10B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
DYNC1H1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
COPG2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HACD3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
AKAP9	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
PSME3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPP14	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GOLGA8O	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
XPO7	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GCDH	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPL12	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
HADHA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
TUBAL3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RRP1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SH3GLB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
SEL1L	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RASEF	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RBM27	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCDC66	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ALDH3A2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
MRPS27	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FAM210A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LAMB1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
RPL24	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
CCDC167	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
FLNA	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
XRN2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LPCAT1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
LEO1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
G6PC3	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
NUBP2	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
BAZ1A	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
ESYT1	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
GPR89B	Dengue virus 2	DENV-2	(+)ssRNA	Flaviviridae
