	Hs	Mm	Rn	Xl	Dm	Ce	Sc
3	1	1	1	1	1	2	0
5	1	1	1	0	1	1	0
6	1	1	1	1	1	2	1
7	1	1	1	1	1	0	0
9	1	1	1	1	0	0	0
12	1	1	1	1	1	0	1
13	1	1	1	1	2	1	0
14	1	1	1	1	0	0	0
16	1	1	1	1	1	0	1
17	1	1	1	1	1	0	1
20	1	1	1	1	0	0	0
26	1	1	1	0	0	0	0
27	1	1	1	1	0	0	0
28	1	1	1	1	0	0	0
29	1	1	1	1	0	0	1
32	1	1	1	1	1	0	1
33	1	1	1	1	0	0	0
35	1	1	1	0	1	1	1
39	1	1	1	1	1	1	0
41	1	1	1	0	0	0	0
44	1	1	1	0	0	0	0
45	1	1	1	1	0	0	0
47	1	1	1	2	0	0	0
48	1	1	1	1	0	0	0
52	1	1	1	1	0	0	0
55	1	1	1	0	0	0	0
56	1	1	1	1	0	0	0
59	1	1	1	1	0	0	0
60	1	1	1	1	0	0	0
61	1	1	1	1	0	0	0
62	1	1	1	1	0	0	0
63	1	1	1	0	0	0	0
65	1	1	1	0	0	0	0
69	1	1	1	1	0	0	0
73	1	1	1	1	0	0	0
74	1	1	1	1	1	0	0
75	1	1	1	1	0	0	0
76	1	1	1	1	1	0	1
77	1	1	1	1	1	1	1
78	1	1	1	1	0	0	0
79	1	1	1	0	0	0	0
80	1	1	1	1	0	0	0
83	1	1	1	1	0	0	0
84	1	1	1	1	1	1	1
85	1	1	1	1	1	1	0
88	1	1	1	0	0	0	0
89	1	1	1	1	0	0	0
91	1	1	1	0	0	0	0
92	1	1	1	1	0	0	0
93	1	1	1	1	0	0	0
94	1	1	1	1	1	1	0
95	1	1	1	0	0	0	0
96	1	1	1	1	1	1	1
100	1	1	1	1	1	1	1
104	1	1	1	1	0	0	0
106	1	1	1	1	0	0	0
107	1	1	1	1	0	0	0
108	1	1	1	1	0	0	0
109	1	1	1	1	0	0	0
110	1	1	1	1	1	1	0
112	1	1	1	0	0	0	0
