Virus	Abbre	Carrier	Carrier TaxId	Carrier Taxa
Dengue virus 2	DENV-2	mastomys natalensis	10112	rodents
Dengue virus 2	DENV-2	callithrix jacchus	9483	primates
Dengue virus 2	DENV-2	marmosa murina	126295	mammals
Dengue virus 2	DENV-2	carollia perspicillata	40233	mammals
Dengue virus 2	DENV-2	aedes furcifer	299627	invertebrates
Dengue virus 2	DENV-2	aedes albopictus	7160	invertebrates
Dengue virus 2	DENV-2	cavia porcellus	10141	rodents
Dengue virus 2	DENV-2	homo sapiens	9606	primates
Dengue virus 2	DENV-2	mandrillus sphinx	9561	primates
Dengue virus 2	DENV-2	aedes aegypti	7159	invertebrates
Dengue virus 2	DENV-2	artibeus jamaicensis	9417	mammals
Dengue virus 2	DENV-2	loxodonta africana	9785	mammals
Dengue virus 2	DENV-2	molossus pretiosus	1982945	 
Dengue virus 2	DENV-2	mus musculus	10090	rodents
Dengue virus 2	DENV-2	phyllostomus discolor	89673	mammals
Dengue virus 2	DENV-2	aedes scutellaris	373850	invertebrates
Dengue virus 2	DENV-2	culex pseudovishnui	100677	invertebrates
Dengue virus 2	DENV-2	papio anubis	9555	primates
Dengue virus 2	DENV-2	didelphis marsupialis	9268	mammals
Dengue virus 2	DENV-2	macaca mulatta	9544	primates
Dengue virus 2	DENV-2	artibeus lituratus	27634	mammals
Dengue virus 2	DENV-2	chlorocebus aethiops	9534	primates
Dengue virus 2	DENV-2	chlorocebus sabaeus	60711	primates
Dengue virus 2	DENV-2	glossophaga soricina	27638	mammals
Dengue virus 2	DENV-2	toxorhynchites splendens	498392	invertebrates
Dengue virus 2	DENV-2	aedes notoscriptus	508665	invertebrates
Dengue virus 2	DENV-2	aedes katherinensis	508664	invertebrates
Dengue virus 2	DENV-2	aedes pseudoscutellaris	316597	invertebrates
Dengue virus 2	DENV-2	culex quinquefasciatus	7176	invertebrates
Dengue virus 2	DENV-2	molossus sinaloae	58076	mammals
Dengue virus 2	DENV-2	epomophorus labiatus	903567	 
Dengue virus 2	DENV-2	molossus rufus	124751	mammals
Dengue virus 2	DENV-2	macaca fascicularis	9541	primates
Dengue virus 2	DENV-2	aotus azarai	30591	primates
Dengue virus 2	DENV-2	anopheles stephensi	30069	invertebrates
Dengue virus 2	DENV-2	syncerus caffer	9970	mammals
Dengue virus 2	DENV-2	culex vaxus	1899257	 
Ebola virus	EBOV	cercopithecus cephus	9535	primates
Ebola virus	EBOV	mus musculus	10090	rodents
Ebola virus	EBOV	eptesicus fuscus	29078	mammals
Ebola virus	EBOV	epomophorus gambianus	372077	mammals
Ebola virus	EBOV	macaca mulatta	9544	primates
Ebola virus	EBOV	panthera tigris	9694	mammals
Ebola virus	EBOV	hystrix cristata	10137	rodents
Ebola virus	EBOV	eidolon helvum	77214	mammals
Ebola virus	EBOV	phacochoerus africanus	41426	mammals
Ebola virus	EBOV	pteropus giganteus	143291	mammals
Ebola virus	EBOV	cercopithecus nictitans	36228	primates
Ebola virus	EBOV	pteropus rufus	196297	mammals
