OG	C. elegans	D. melanogaster	H. sapiens	M. musculus	R. norvegicus	S. cerevisiae	X. laevis
77	cpt-2	CG2107	CPT2	Cpt2	Cpt2	YAT1	cpt2
84	dld-1	CG7430	DLD	Dld	Dld	LPD1	dld
96	Y66D12A.15	hay	ERCC3	Ercc3	Ercc3	SSL2	ercc3
100	CELE_F27D4.1	wal	ETFA	Etfa	Etfa	AIM45	etfa
115	fum-1	l(1)G0255	FH	Fh1	Fh	FUM1	LOC100491219
126	ZK1058.3	Galt	GALT	Galt	Galt	GAL7	galt
129	CELE_T04A8.7	CG33138	GBE1	Gbe1	Gbe1	GLC3	gbe1
132	cat-4	Pu	GCH1	Gch1	Gch1	FOL2	gch1
141	R12C12.1	CG3999	GLDC	Gldc	Gldc	GCV2	gldc
145	gpi-1	Pgi	GPI	Gpi1	Gpi	PGI1	gpi
149	msh-6	Msh6	MSH6	Msh6	LOC100360342	MSH6	msh6
231	C16A3.10	Oat	OAT	Oat	Oat	CAR2	oat.1
257	CELE_F52B11.2	CG10688	PMM2	Pmm2	Pmm2	SEC53	pmm1
331	dif-1	colt	SLC25A20	Slc25a20	Slc25a20	CRC1	slc25a20.2
344	Y50D7A.2	Xpd	ERCC2	Ercc2	Ercc2	RAD3	ercc2
358	dhs-28	Mfe2	HSD17B4	Hsd17b4	Hsd17b4	FOX2	hsd17b4
409	CELE_F25B4.1	CG6415	AMT	Amt	Amt	GCV1	amt
413	T19B4.3	Aprt	APRT	Aprt	Aprt	APT1	aprt
536	agl-1	CG9485	AGL	Agl	Agl	GDB1	agl
542	gta-1	CG7433	ABAT	Abat	Abat	UGA1	abat
554	ahcy-1	Ahcy13	AHCY	Ahcy	Ahcy	SAH1	ahcy
637	F38B6.4	ade3	GART	Gart	Gart	ADE5,7	gart
665	guk-1	CG11811	GUK1	Guk1	Guk1	GUK1	guk1
712	pdhb-1	CG11876	PDHB	Pdhb	Pdhb	PDB1	pdhb
721	ama-1	RpII215	POLR2A	Polr2a	Polr2a	RPO21	polr2a
722	rpb-2	RpII140	POLR2B	Polr2b	Polr2b	RPB2	polr2b
725	emb-8	Cpr	POR	Por	Por	NCP1	por
731	pri-2	DNApol-alpha60	PRIM2	Prim2	Prim2	PRI2	prim2
747	rpl-3	RpL3	RPL3	Rpl3	Rpl3	RPL3	rpl3
779	rps-3	RpS3	RPS3	Rps3	Rps3	RPS3	rps3
783	rps-5	RpS5a	RPS5	Rps5	Rps5	RPS5	rps5
834	Y110A7A.4	Ts	TYMS	Tyms	Tyms	CDC21	tyms
840	alh-7	Ssadh	ALDH5A1	Aldh5a1	Aldh5a1	UGA2	aldh5a1
856	aco-2	Acon	ACO2	Aco2	Aco2	ACO1	aco2
908	rhi-1	RhoGDI	ARHGDIA	Arhgdia	Arhgdia	RDI1	arhgdia
975	chk-1	grp	CHEK1	Chek1	Chek1	CHK1	chek1
1014	suf-1	su(f)	CSTF3	Cstf3	Cstf3	RNA14	cstf3
1032	dars-1	Aats-asp	DARS	Dars	Dars	DPS1	dars
1040	F56D2.6	CG11107	DHX15	Dhx15	Dhx15	PRP43	dhx15
1045	K01G5.5	Nop60B	DKC1	Dkc1	Dkc1	CBF5	dkc1
1058	CELE_Y60A3A.14	CG5287	DPAGT1	Dpagt1	Dpagt1	ALG7	LOC100487779
1059	dph-1	CG11652	DPH1	Dph1	Dph1	DPH1	dph1
1061	C02F5.3	CG6195	DRG2	Drg2	Drg2	RBG2	drg2
1080	ZK1098.4	eIF2B-alpha	EIF2B1	Eif2b1	Eif2b1	GCN3	eif2b1
1099	fib-1	Fib	FBL	Fbl	Fbl	NOP1	fbl
1148	gcs-1	Gclc	GCLC	Gclc	Gclc	GSH1	gclc
1158	ttb-1	TfIIB	GTF2B	Gtf2b	Gtf2b	SUA7	gtf2b
1159	CELE_T16H12.4	Ssl1	GTF2H2	Gtf2h2	Gtf2h2	SSL1	gtf2h2
1161	brf-1	Brf	BRF1	Brf1	Brf1	BRF1	brf1
1213	aars-2	Aats-ala	AARS	Aars	Aars	ALA1	aars
1227	let-754	Adk2	AK2	Ak2	Ak2	ADK1	ak2
1256	arf-6	Arf51F	ARF6	Arf6	Arf6	ARF3	arf6.2
1273	atp-2	ATPsyn-beta	ATP5B	Atp5b	Atp5b	ATP2	atp5b
1279	spe-5	Vha55	ATP6V1B2	Atp6v1b2	Atp6v1b2	VMA2	atp6v1b2
1282	vha-8	Vha26	ATP6V1E1	Atp6v1e1	Atp6v1e1	VMA4	atp6v1e1
1283	atp-3	Oscp	ATP5O	Atp5o	Atp5o	ATP5	atp5o
1328	cars-1	Aats-cys	CARS	Cars	Cars	YNL247W	cars
1336	cct-6	Tcp-1zeta	CCT6A	Cct6a	Cct6a	CCT6	cct6a
1354	unc-59	pnut	SEPT7	Sept7	Sept7	CDC3	sept7
1363	cdk-7	Cdk7	CDK7	Cdk7	Cdk7	KIN28	cdk7
1412	pyr-1	r	CAD	Cad	Cad	URA2	cad
1453	dhps-1	CG8005	DHPS	Dhps	Dhps	DYS1	dhps
1480	eef-1B.1	Ef1beta	EEF1B2	Eef1b2	Eef1b2	EFB1	eef1b2
1503	CELE_F23C8.5	CG7834	ETFB	Etfb	Etfb	CIR1	etfb
1534	fnta-1	CG2976	FNTA	Fnta	Fnta	RAM2	fnta
1547	gars-1	Aats-gly	GARS	Gars	Gars	GRS1	gars
1571	got-1.2	Got1	GOT1	Got1	Got1	AAT2	got1
1592	hars-1	Aats-his	HARS	Hars	Hars	HTS1	LOC100489846
1624	C30C11.4	Hsc70Cb	HSPA4	Hspa4	Hspa4	SSE1	hspa4
1626	hsp-60	Hsp60	HSPD1	Hspd1	Hspd1	HSP60	hspd1
1707	imb-1	Fs(2)Ket	KPNB1	Kpnb1	Kpnb1	KAP95	kpnb1
1710	imb-3	Karybeta3	IPO5	Ipo5	Ipo5	PSE1	ipo5
1768	mdf-2	mad2	MAD2L1	Mad2l1	Mad2l1	MAD2	mad2l1
1821	mnat-1	Mat1	MNAT1	Mnat1	Mnat1	TFB3	mnat1
1825	ZK632.4	CG8417	MPI	Mpi	Mpi	PMI40	mpi
1857	F10G8.6	CG17904	NUBP1	Nubp1	Nubp1	NBP35	nubp1
1875	nfx-1	stc	NFX1	Nfx1	Nfx1	FAP1	nfx1
1902	mac-1	smid	NVL	Nvl	Nvl	RIX7	nvl
1945	pcn-1	mus209	PCNA	Pcna	Pcna	POL30	pcna
1980	phb-1	l(2)37Cc	PHB	Phb	Phb	PHB1	phb
1982	piga-1	CG6401	PIGA	Piga	Piga	SPT14	piga
1986	vps-34	Pi3K59F	PIK3C3	Pik3c3	Pik3c3	VPS34	pik3c3
2004	tag-135	Tango4	PLRG1	Plrg1	Plrg1	PRP46	plrg1
2014	F10C2.4	DNApol-delta	POLD1	Pold1	Pold1	POL3	pold1
2017	rpb-3	RpII33	POLR2C	Polr2c	Polr2c	RPB3	polr2c
2019	rpb-7	Rpb7	POLR2G	Polr2g	Polr2g	RPB7	polr2g
2032	T09A5.9	sds22	PPP1R7	Ppp1r7	Ppp1r7	SDS22	ppp1r7
2038	pph-4.1	Pp4-19C	PPP4C	Ppp4c	Ppp4c	PPH3	ppp4c
2081	pas-2	Pros25	PSMA2	Psma2	Psma2	PRE8	psma2
2082	pas-7	Prosalpha7	PSMA3	Psma3	Psma3	PRE10	psma3
2083	pas-3	Pros29	PSMA4	Psma4	Psma4	PRE9	psma4
2084	pas-5	Prosalpha5	PSMA5	Psma5	Psma5	PUP2	psma5
2087	pbs-6	Pros26	PSMB1	Psmb1	Psmb1	PRE7	psmb1
2088	pbs-4	CG17331	PSMB2	Psmb2	Psmb2	PRE1	psmb2
2089	pbs-3	Prosbeta3	PSMB3	Psmb3	Psmb3	PUP3	psmb3
2095	rpt-2	Pros26.4	PSMC1	Psmc1	Psmc1	RPT2	psmc1
2096	rpt-1	Rpt1	PSMC2	Psmc2	Psmc2	RPT1	psmc2
2097	rpt-5	Tbp-1	PSMC3	Psmc3	Psmc3	RPT5	psmc3
2101	rpn-1	Rpn1	PSMD2	Psmd2	Psmd2	RPN1	psmd2
2102	rpn-3	Rpn3	PSMD3	Psmd3	Psmd3	RPN3	psmd3
2104	rpn-8	Mov34	PSMD7	Psmd7	Psmd7	RPN8	psmd7
2108	rpn-6.1	Rpn6	PSMD11	Psmd11	Psmd11	RPN6	psmd11
2110	rpn-9	Rpn9	PSMD13	Psmd13	Psmd13	RPN9	psmd13
2155	rad-51	spn-A	RAD51	Rad51	Rad51	RAD51	rad51
2185	smg-2	Upf1	UPF1	Upf1	Upf1	NAM7	upf1
2188	rfc-3	RfC38	RFC3	Rfc3	Rfc3	RFC5	rfc3
2205	abce-1	pix	ABCE1	Abce1	Abce1	RLI1	abce1
2212	mrpl-12	mRpL12	MRPL12	Mrpl12	Mrpl12	MNP1	mrpl12
2255	sdhb-1	SdhB	SDHB	Sdhb	Sdhb	SDH2	sdhb
2308	swsn-4	brm	SMARCA2	Smarca2	Smarca2	STH1	smarca2
2381	syx-5	Syx5	STX5	Stx5a	Stx5	SED5	stx5
2384	spt-5	Spt5	SUPT5H	Supt5	Supt5h	SPT5	supt5h
2467	top-1	Top1	TOP1	Top1	Top1	TOP1	LOC100496521
2506	let-70	eff	UBE2D2	Ube2d2a	Ube2d2	UBC4	ube2d3
2554	xpo-1	emb	XPO1	Xpo1	Xpo1	CRM1	xpo1
2592	math-33	Usp7	USP7	Usp7	Usp7	UBP15	usp7
2616	F34D10.2	CDC45L	CDC45	Cdc45	Cdc45	CDC45	cdc45
2676	rae-1	Rae1	RAE1	Rae1	Rae1	GLE2	rae1
2701	hat-1	CG2051	HAT1	Hat1	Hat1	HAT1	hat1
2729	R07B7.5	cn	KMO	Kmo	Kmo	BNA4	kmo
