OG	Human	Species	Human_gene	Gene
5	H. sapiens	M. musculus	ACADVL	Acadvl
5	H. sapiens	R. norvegicus	ACADVL	Acadvl
5	H. sapiens	D. melanogaster	ACADVL	CG7461
5	H. sapiens	C. elegans	ACADVL	acdh-12
7	H. sapiens	M. musculus	ACVR1	Acvr1
7	H. sapiens	X. laevis	ACVR1	acvr1
7	H. sapiens	R. norvegicus	ACVR1	Acvr1
7	H. sapiens	D. melanogaster	ACVR1	sax
9	H. sapiens	X. laevis	SGCA	sgca
9	H. sapiens	R. norvegicus	SGCA	Sgca
9	H. sapiens	M. musculus	SGCA	Sgca
12	H. sapiens	S. cerevisiae	ADSL	ADE13
12	H. sapiens	R. norvegicus	ADSL	Adsl
12	H. sapiens	D. melanogaster	ADSL	CG3590
12	H. sapiens	M. musculus	ADSL	Adsl
12	H. sapiens	X. laevis	ADSL	adsl
14	H. sapiens	M. musculus	AGT	Agt
14	H. sapiens	R. norvegicus	AGT	Agt
14	H. sapiens	X. laevis	AGT	agt
16	H. sapiens	R. norvegicus	ALAD	Alad
16	H. sapiens	X. laevis	ALAD	alad
16	H. sapiens	M. musculus	ALAD	Alad
16	H. sapiens	D. melanogaster	ALAD	Pbgs
16	H. sapiens	S. cerevisiae	ALAD	HEM2
17	H. sapiens	M. musculus	ALAS2	Alas2
17	H. sapiens	D. melanogaster	ALAS2	Alas
17	H. sapiens	R. norvegicus	ALAS2	Alas2
17	H. sapiens	S. cerevisiae	ALAS2	HEM1
17	H. sapiens	X. laevis	ALAS2	alas2
20	H. sapiens	M. musculus	AMPD1	Ampd1
20	H. sapiens	X. laevis	AMPD1	ampd1
20	H. sapiens	R. norvegicus	AMPD1	Ampd1
26	H. sapiens	R. norvegicus	APOH	Apoh
26	H. sapiens	M. musculus	APOH	Apoh
27	H. sapiens	R. norvegicus	FAS	Fas
27	H. sapiens	X. laevis	FAS	fas
27	H. sapiens	M. musculus	FAS	Fas
28	H. sapiens	R. norvegicus	AR	Ar
28	H. sapiens	X. laevis	AR	ar
28	H. sapiens	M. musculus	AR	Ar
29	H. sapiens	R. norvegicus	ARG1	Arg1
29	H. sapiens	S. cerevisiae	ARG1	CAR1
29	H. sapiens	X. laevis	ARG1	arg1
29	H. sapiens	M. musculus	ARG1	Arg1
32	H. sapiens	R. norvegicus	ASL	Asl
32	H. sapiens	S. cerevisiae	ASL	ARG4
32	H. sapiens	D. melanogaster	ASL	CG9510
32	H. sapiens	M. musculus	ASL	Asl
32	H. sapiens	X. laevis	ASL	asl
33	H. sapiens	M. musculus	ASPA	Aspa
33	H. sapiens	X. laevis	ASPA	aspa
33	H. sapiens	R. norvegicus	ASPA	Aspa
35	H. sapiens	D. melanogaster	ATP7A	ATP7
35	H. sapiens	R. norvegicus	ATP7A	Atp7a
35	H. sapiens	M. musculus	ATP7A	Atp7a
35	H. sapiens	C. elegans	ATP7A	cua-1
35	H. sapiens	S. cerevisiae	ATP7A	CCC2
39	H. sapiens	M. musculus	BCKDHB	Bckdhb
39	H. sapiens	X. laevis	BCKDHB	bckdhb
39	H. sapiens	C. elegans	BCKDHB	tag-173
39	H. sapiens	R. norvegicus	BCKDHB	Bckdhb
39	H. sapiens	D. melanogaster	BCKDHB	CG17691
41	H. sapiens	M. musculus	BRCA2	Brca2
41	H. sapiens	R. norvegicus	BRCA2	Brca2
44	H. sapiens	M. musculus	SERPING1	Serping1
44	H. sapiens	R. norvegicus	SERPING1	Serping1
45	H. sapiens	R. norvegicus	C2	C2
45	H. sapiens	X. laevis	C2	c2
45	H. sapiens	M. musculus	C2	C2
48	H. sapiens	R. norvegicus	C8B	C8b
48	H. sapiens	M. musculus	C8B	C8b
48	H. sapiens	X. laevis	C8B	c8b
52	H. sapiens	R. norvegicus	CAPN3	Capn3
52	H. sapiens	X. laevis	CAPN3	LOC100497532
52	H. sapiens	M. musculus	CAPN3	Capn3
55	H. sapiens	M. musculus	CD3G	Cd3g
55	H. sapiens	R. norvegicus	CD3G	Cd3g
56	H. sapiens	M. musculus	CD40LG	Cd40lg
56	H. sapiens	R. norvegicus	CD40LG	Cd40lg
56	H. sapiens	X. laevis	CD40LG	cd40lg
59	H. sapiens	M. musculus	CHRNA1	Chrna1
59	H. sapiens	X. laevis	CHRNA1	chrna1
59	H. sapiens	R. norvegicus	CHRNA1	Chrna1
60	H. sapiens	X. laevis	CHRNE	chrne
60	H. sapiens	R. norvegicus	CHRNE	Chrne
60	H. sapiens	M. musculus	CHRNE	Chrne
61	H. sapiens	M. musculus	LYST	Lyst
61	H. sapiens	X. laevis	LYST	lyst
61	H. sapiens	R. norvegicus	LYST	Lyst
62	H. sapiens	M. musculus	ERCC8	Ercc8
62	H. sapiens	R. norvegicus	ERCC8	Ercc8
62	H. sapiens	X. laevis	ERCC8	ercc8
63	H. sapiens	M. musculus	CLCN1	Clcn1
63	H. sapiens	R. norvegicus	CLCN1	Clcn1
65	H. sapiens	R. norvegicus	CLCNKB	Clcnka
65	H. sapiens	M. musculus	CLCNKB	Clcnka
69	H. sapiens	X. laevis	COL1A2	col1a2
69	H. sapiens	M. musculus	COL1A2	Col1a2
69	H. sapiens	R. norvegicus	COL1A2	Col1a2
73	H. sapiens	M. musculus	COL7A1	Col7a1
73	H. sapiens	R. norvegicus	COL7A1	Col7a1
73	H. sapiens	X. laevis	COL7A1	col7a1
74	H. sapiens	X. laevis	COMP	comp
74	H. sapiens	M. musculus	COMP	Comp
74	H. sapiens	D. melanogaster	COMP	Tsp
74	H. sapiens	R. norvegicus	COMP	Comp
75	H. sapiens	X. laevis	CP	cp
75	H. sapiens	M. musculus	CP	Cp
75	H. sapiens	R. norvegicus	CP	Cp
76	H. sapiens	S. cerevisiae	CPOX	HEM13
76	H. sapiens	X. laevis	CPOX	cpox
76	H. sapiens	M. musculus	CPOX	Cpox
76	H. sapiens	R. norvegicus	CPOX	Cpox
